Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
NhiÖm vô id	§èi tho¹i ph©n khu	§èi tho¹i 1	§èi tho¹i 2	§èi tho¹i 3	§èi tho¹i 4	§èi tho¹i 5	§èi tho¹i 6	§èi tho¹i 7	§èi tho¹i 8	§èi tho¹i 9	§èi tho¹i 10	§èi tho¹i 11	§èi tho¹i 12	§èi tho¹i 13	§èi tho¹i 14	§èi tho¹i 15	§èi tho¹i 16	§èi tho¹i 17	§èi tho¹i 18	§èi tho¹i 19	§èi tho¹i 20	Miªu t¶, sö dông hiÓn thŞ trong giao diÖn nhiÖm vô	Sö dông trong th«ng tin nh¾c nhë	
1	get_talk	NpcName: Kh¸ch quan, muèn gäi mãn g× kh«ng?	PlayerName: «ng chñ, lªn ngay 2 mãn thŞt, 3 bÇu r­îu nhĞ, ph¶i lµ r­îu th­îng h¹ng ®Êy.	NpcName: thËt xin lçi. kh¸ch quan ®Õn kh«ng ®óng lóc råi, rau thŞt cã thÓ lËp tøc chuÈn bŞ cho kh¸ch quan, nh­ng r­îu ngon th× kh«ng cßn n÷a.	PlayerName: c¶ mét tiÖm ¨n lín nh­ thÕ nµy mµ kh«ng cã r­îu ngon sao?	NpcName: chóng t«i còng kh«ng thÓ lµm g× h¬n, thËt kh«ng giÊu g× ngµi, r­îu tèt cña chóng t«i ®Òu ®­îc lµm t¹i Long M«n TrÊn l©n cËn. Nh­ng vµi ngµy gÇn ®©y ®ét nhiªn kh«ng giao hµng n÷a,, kh¸ch ®Õn dïng c¬m ®Òu nãi b¸ t¸nh c¶ Long M«n TrÊn ®Òu bŞ tróng ®éc c¶ råi. KhiÕn bªn ®©y chóng t«i ®Òu lo l¾ng, nªn t¹m thêi kh«ng d¸m liªn hÖ víi hä.	PlayerName: thÕ µ? Ta muèn ®i ®iÒu tra xem thùc h­ thÕ nµo, «ng h·y cho ta biÕt Long M«n TrÊn ph¶i ®i theo ®­êng nµo?	NpcName: <sex> ngµi kh«ng sî sao? HiÖn nay kh«ng ai d¸m bĞn m¹ng ®Õn Long M«n TrÊn c¶, ai nÊy ®Òu sî m×nh sÏ bŞ tróng ®éc, ta khuyªn <sex> còng kh«ng nªn ®i th× h¬n. Ta nghe nãi ph¸i Hoa S¬n cã mét lo¹i kú d­îc, cã thÓ chèng b¹ch ®éc, <sex> nªn t×m tr­ëng m«n ph¸i Hoa Son Nh¹c BÊt QuÇn t×m hiÓu xem t×nh h×nh thÕ nµo ®·.	PlayerName: ®­îc, ®a t¹ ®· khuyÕn c¸o.													§Õn Hoa S¬n t×m Nh¹c BÊt QuÇn		
1	finish_talk	NpcName: <sex> ®Õn Hoa S¬n cã viÖc g× sao?																						
2	get_talk	PlayerName: Nh¹c tr­ëng m«n, t¹i h¹ ®Õn cÇu xin thÇn d­îc tõ ngµi. Chñ qu¸n r­îu t¹i Ph­îng T­êng Phñ b¶o r»ng b¸ t¸nh Long M«n TrÊn tróng kú ®éc tõ tµ ph¸i t¹i h¹ mong ®­îc ®i t×m hiÓu sù t×nh, biÕt r»ng Hoa S¬n ph¸i cã thÇn d­îc b¸ch ®éc bÊt thÊm, cã ®­îc thÇn d­îc t¹i h¹ cã thÓ dÔ dµng ®iÒu tra tµ ph¸i.	NpcName: å, thËt sù cã chuyÖn nh­ thÕ sao, th©n lµ nh©n sÜ vâ l©m sao ta l¹i cã thÓ phã mÆt lµm ng¬. Kú d­îc mµ c¸c h¹ cÇn t×m chİnh lµ Thanh Linh T¸n do ph¸i Hoa S¬n ta ®Æc chÕ, nh­ng ®­îc liÖu chÕ thuèc hiÖn t¹i kh«ng ®ñ, <sex> cÇn gióp ta t×m vÒ Thanh Lang V­¬ng Nha vµ Thæ Lang V­¬ng Nha lµm d­îc liÖu chÕ thuèc, chØ cÇn ®Õn B¾c TuyÒn Ch©u Phñ, tiªu diÖt 10 Sãi X¸m, 10 Sãi Xanh th× Thanh Lang V­¬ng vµ Thæ Lang V­¬ng sÏ xuÊt hiÖn.	PlayerName: t¹i h¹ lËp tøc ®Õn B¾c TuyÒn Ch©u Phñ thi hµnh.	NpcName: ®­îc, ta chê tin tèt tõ <sex>.																	Tiªu diÖt 10 Sãi xanh, dô ra Thanh Lang V­¬ng,  thu thËp Thanh Lang V­¬ng Nha;  tiªu diÖt 10 Sãi x¸m, dô ra Thæ Lang V­¬ng,  thu thËp Thæ Lang V­¬ng Nha		
2	finish_talk	PlayerName: Nh¹c tr­ëng m«n, ®©y lµ Thanh Lang V­¬ng Nha vµ Thæ Lang V­¬ng Nha.																						
3	get_talk	NpcName: <sex> qu¶ nhiªn th©n thñ bÊt phµm, thu thËp d­îc liÖu nhanh nh­ thÕ, ta lËp tøc ®i chÕ d­îc ®©y.	PlayerName: Nh¹c tr­ëng m«n qu¸ khen, ®a t¹ kú d­îc cña ngµi.	NpcName: <sex> kh«ng nªn kh¸ch s¸o, ®©y chİnh lµ Thanh Linh T¸n, <sex> saukhi vµo Long M«n TrÊn h·y sö dông ngay ®Ó phßng th©n, nÕu nh­ <sex> ph¸t hiÖn sù t×nh nghiªm träng cã thÓ ®Õn t×m B¸ch HiÓu Sinh t¹i BiÖn Kinh cÇu trî.	PlayerName: t¹i h¹ ®· râ, ta lËp tøc ®Õn Long M«n TrÊn t×m hiÓu t×nh h×nh ®©y.																			
3	finish_talk	PlayerName: C¸c h¹ chİnh lµ B¸ch HiÓu Sinh?																						
4	get_talk	NpcName: ®óng thÕ, xin hái <sex> t×m ta cã viÖc chi??	PlayerName: Nghe danh tiªn sinh häc cao hiÓu réng, tóc trİ ®a m­u. H«m nay v·n bèi ®Õn thØnh gi¸o tiªn sinh vÒ vÊn ®Ò nan gi¶i.	NpcName: <sex> ®Ò cao ta råi. <sex> cã viÖc g× cø nãi, nÕu lµ viÖc trong kh¶ n¨ng cña ta sÏ hÕt lßng gióp ®ì.	PlayerName: c¶m t¹ tiªn sinh. Vèn lµ t¹i h¹ ph¸t hiÖn b¸ t¸nh t¹i Ph­îng T­êng Phñ ®· tróng mét lo¹i mª d­îc, chØ biÕt lËp ®i lËp l¹i mét ‘NhËt NguyÖt ThÇn Gi¸o, nhÊt thèng giang hå, nhËt xuÊt ®«ng ph­¬ng, nhÊt thÕ bÊt b¹i’. v·n bèi muèn biÕt ph¶i ch¨ng hä ®· tróng ®éc cña NhËt NguyÖt ThÇn Gi¸o, kh«ng biÕt tiªn sinh cã thÓ gi¶i ®éc nµy kh«ng?	NpcName: th× ra b¸ t¸nh t¹i n¬i Êy qu¶ thËt ®· tróng ®éc. ChØ lµ ®éc ®­îc thÕ qian ®a d¹ng phøc t¹p. Ta biÕt r»ng B¹ch Danh Danh cña Ngò §éc Gi¸o tinh th«ng thÕ gian kú ®éc, <sex> cã thÓ ®Õn t×m B¹ch Danh Danh thØnh gi¸o c« ta, ta tin r»ng c¸c h¹ sÏ t×m ®­îc ®¸p ¸n cÇn biÕt.	PlayerName: ®a t¹ tiªn sinh chØ gi¸o. V·n bèi lËp tøc ®Õn Ngò §éc Gi¸o thØnh gi¸o B¹ch Danh Danh																	
4	finish_talk	NpcName: hahaha, <sex> ®Õn Ngò §éc Gi¸o t×m ta cã viÖc chi? Ph¶i ch¨ng lµ muèn nÕm thö ®éc d­îc míi cña ta võa tinh chÕ?																						
5	get_talk	PlayerName: B¹ch gi¸o chñ qu¶ lµ biÕt triªu ng­êi, v·n bèi chñ yÕu ®Õn thØnh gi¸o ngµi vÒ mét lo¹i kú ®éc, kh«ng biÕt gi¸o chñ cã thÓ gióp t¹i h¹ gi¶i ®¸p. 	NpcName: muèn nhËn ®­îc sù gióp ®ì cña ta cßn ph¶i xem b¶n lÜnh cña c¸c h¹ thÕ nµo ®·. S½n ®©y ta ®ang cÇn mét sè nguyªn liÖu ®Ó ®iÒu chÕ lo¹i ®éc d­îc míi, nÕu c¸c h¹ cã thÓ t×m gióp ta, ta sÏ gi¶i ®¸p mäi th¾c m¾c vÒ ®éc d­îc.	PlayerName: v·n bèi s½n sang, kh«ng biÕt  B¹ch gi¸o chñ cÇn t×m nh÷ng nguyªn liÖu g×?	NpcName: haha <sex> qu¶ nhiªn lµ ng­êi chİnh trùc th¼ng th¾ng. Ta ®ang cÇn huyÕt thanh cña ¸c Lµ ®Ó lµm nguyªn liÖu luyÖn d­îc, ®©y lµ Thanh Phong B×nh dïng ®Ó chøa huyÕt dŞch. <sex> h·y nhanh chãng ®Õn B¹ch Thñy §éng tÇng 2 tiªu diÖt 10 con ¸c Lµ trİch lÊy 10 giät huyÕt t­¬i mang vÒ ®©y.	PlayerName: t¹i h¹ nhÊt ®Şnh kh«ng ®Ó gi¸o chñ thÊt väng.																§Õn B¹ch Thñy §éng tÇng 2 thu thËp huyÕt ¸c Lµ		
