ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8
1	<color=Gold>ThiÕu L©m §ao Ph¸p<color=White>: Chİnh x¸c t¨ng <color=Blue1>[=Value1]%	3	22		state_accuracy_percent_adjust	0	5			1	-3	1	8																																																																														
2	<color=Gold>ThiÕu L©m C«n Ph¸p<color=White>: Phong ma c«n ph¸p, phßng thñ néi-ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	3	25		state_physical_parmor_poi_add	0	10			1	18	1	0		25	state_magic_parmor_poi_add	0	10			1	18	1	0		163	state_physical_parmor_poi_add	0	10			1	18	1	0		163	state_magic_parmor_poi_add	0	10			1	18	1	0		28	state_physical_parmor_poi_add	0	10			1	18	1	0		28	state_magic_parmor_poi_add	0	10			1	18	1	0		168	state_physical_parmor_poi_add	0	10			1	18	1	0		168	state_magic_parmor_poi_add	0	10			1	18	1	0	
3	<color=Gold>Tr¶m Ma §ao Ph¸p<color=White>: Hç trî c«ng kİch <color=Blue1>[=Value1]<color=White>	1	24		imme_damage_life	1	500			1			1		161	imme_damage_life	1	500			1			1																																																																			
4	<color=Gold>Phong Ma C«n Ph¸p<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value3]%<color=White> tèc ®é tÊn c«ng trong 3 gi©y, gi¶m <color=Blue1>[=Value1]%<color=White> tèc ®é thi triÓn vâ c«ng.	1	25		state_burst_dec_rate	1	20			1	54	1	1		163	state_burst_dec_rate	1	20			1	54	1	1		25	state_attack_speed_dec	1	40			1	54	1	1		163	state_attack_speed_dec	1	40			1	54	1	1																																													
5	<color=Gold>Kim Chung Tr¸o<color=White>: Lùc phßng thñ + <color=Blue1>[=Value1]<color=White>	4	26		state_i_defence_point_add	1	250			1	-1	1	1		165	state_i_defence_point_add	1	250			1	-1	1	1																																																																			
6	<color=Gold>Nhiªn Méc §ao Ph¸p<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ ngo¹i c«ng trong 10 gi©y	1	27		state_physical_parmor_per_dec	1	25			1	180	1	1		167	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																			
7	<color=Gold>V« Th­êng C«n Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Rate1]% color=White> di chuyÓn t¨ng 40% trong 3 gi©y<color=White>	1	28		state_move_speed_percent_add	0	40	1	75		54	1	2		168	state_move_speed_percent_add	0	40	1	75		54	1	2																																																																			
8	<color=Gold>X¶ Th©n quyÕt<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	29		state_cast_interval_reduce	0	108			1	-3	1	8																																																																														
9	<color=Gold>§¹i Thõa Nh­ Lai T©m Ph¸p<color=White>: Tû lÖ miÔn dŞch hçn lo¹n <color=Blue1>[=Value1]%<color=White>	4	30		state_confusion_immune	0	45			1	-3	1	8																																																																														
10	<color=Gold>§¹t Ma Vò Kinh<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	31		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
11	<color=Gold>ThÊt B¶o ChiÕu Ph¸p<color=White>: Tô khİ tèi ®a t¨ng <color=Blue1>[=Value1] <color=White> « <color=White>	3	34		state_gas_limit_add	0	4			1	-3	1	8		176	state_gas_limit_add	0	4			1	-3	1	8																																																																			
12	<color=Gold>La H¸n QuyÒn<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ néi c«ng trong 10 gi©y 	2	35		state_magic_parmor_per_dec	1	25			1	180	1	1		177	state_magic_parmor_per_dec	1	25			1	180	1	1		178	state_magic_parmor_per_dec	1	25			1	180	1	1																																																								
13	<color=Gold>Ca DiÖp Thèi<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White>sau khi thi triÓn sÏ håi phôc 1 « né khİ <color=White>	2	36		imme_agggas_point	0	1	1	75				2		180	imme_agggas_point	0	1	1	75				0																																																																			
14	<color=Gold>HuÖ Nh·n Chó<color=White>: TÊt c¶ c«ng kİch cã tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nĞ tr¸nh ®èi ph­¬ng<color=White>	3	37		state_ignore_dodge	1	10			1	-1	1	1		181	state_ignore_dodge	1	10			1	-1	1	1																																																																			
15	<color=Gold>Vi §µ QuyÒn<color=White>: KĞo dµi thêi gian trong <color=Blue1>[=Value1] <color=White>gi©y<color=White>	2	38		state_cast_effect_time_add	0	15			1	-3	1	8																																																																														
16	<color=Gold>V¨n Thï XuÊt V©n Tho¸i<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value1] <color=White> «	2	39		state_missle_damage_range_add	0	7			1	2	1	0		184	state_missle_damage_range_add	0	7			1	2	1	0		185	state_missle_damage_range_add	0	7			1	2	1	0																																																								
17	<color=Gold>La H¸n TrËn<color=White>: Ph¹m vi hç trî <color=Blue1>[=Value1]%<color=White>, tiªu hao néi lùc gi¶m <color=Blue1>[=Value2]%<color=White>	4	40		state_aura_range_p_add	0	100			1	1	1	0		40	state_mana_cost_reduce	0	50			1	1	1	0																																																																			
18	<color=Gold>§¹i Tu Di Ch­ëng<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> KhiÕn ®èi ph­¬ng ®øng yªn trong 2 gi©y<color=White>	2	41		state_fetter	1			25		36	1	1		186	state_fetter	1			25		36	1	1		187	state_fetter	1			25		36	1	1																																																								
19	<color=Gold>V« ¶nh C­íc<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value4] <color=White> «, lùc tÊn c«ng c­íc cuèi cïng t¨ng <color=Blue1>[=Value1]%<color=White>	2	189		state_m_attack_percent_add	0	220			1	3	1	0		190	state_m_attack_percent_add	0	220			1	3	1	0		191	state_m_attack_percent_add	0	220			1	3	1	0		42	state_missle_damage_range_add	0	6			1	2	1	0		188	state_missle_damage_range_add	0	6			1	2	1	0		189	state_missle_damage_range_add	0	6			1	2	1	0		190	state_missle_damage_range_add	0	6			1	2	1	0		191	state_missle_damage_range_add	0	6			1	2	1	0	
20	<color=Gold>ThiÕu L©m Long Tr¶o Thñ<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	192	43	state_sub1_rate_add	0	10			1	-3	1	8																																																																														
21	<color=Gold>Phôc Hæ Khİ C«ng<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	2	46		state_burst_enhance_rate	0	35			1	-3	1	8																																																																														
22	<color=Gold>ThiÕu L©m Tu T©m Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nĞ tr¸nh ®èi ph­¬ng<color=White>	4	47		state_cost_free	0	10			1	-3	1	8																																																																														
23	<color=Gold>Ngò ChuyÓn ChØ<color=White>: xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	48		state_sub1_rate_add	0	50			1	-3	1	8																																																																														
24	<color=Gold>Ph¸ Ma Chó<color=White>: Hç trî c«ng kİch <color=Blue1>[=Value1]<color=White>	3	49		imme_damage_life	1	5000			1			1		198	imme_damage_life	1	5000			1			1																																																																			
25	<color=Gold>Kim Cang BÊt Ho¹i<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> 2 gi©y sau khi bŞ c«ng kİch, phßng thñ ngo¹i c«ng t¨ng 25%, phßng thñ néi c«ng t¨ng 15%<color=White>	4	50		state_magic_parmor_poi_add	0	15	1	30		36	1	7		50	state_physical_parmor_poi_add	0	25	1	-1		36	1	7		200	state_magic_parmor_poi_add	0	15	1	30		36	1	7		200	state_physical_parmor_poi_add	0	25	1	-1		36	1	7																																													
26	<color=Gold>Nh©n §µ La L«i Ên Ph¸<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ néi c«ng trong 10 gi©y	2	51		state_magic_parmor_per_dec	1	25			1	180	1	1		201	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																			
27	<color=Gold>Cµ Sa Phôc Ma ThÇn Th«ng<color=White>: Hç trî c«ng kİch <color=Blue1>[=Value1]<color=White>	2	52		imme_damage_life	1	600			1			1		202	imme_damage_life	1	600			1			1																																																																			
28	<color=Gold>V« T­íng ThÇn C«ng<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	53		state_cast_interval_reduce	0	810			1	-3	1	8																																																																														
29	<color=Gold>S­ Tö Hèng<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	2	54		state_cast_interval_reduce	0	90			1	-3	1	8																																																																														
30	<color=Gold>BÊt §éng Minh V­¬ng Chó<color=White>: Ph¹m vi hiÖu qu¶ t¨ng <color=Blue1>[=Value1] <color=White>	4	55		state_missle_damage_range_add	0	9			1	2	1	0		208	state_missle_damage_range_add	0	9			1	2	1	0		209	state_missle_damage_range_add	0	9			1	2	1	0																																																								
31	<color=Gold>§¹i Lùc Kim Cang ChØ<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	56		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
32	<color=Gold>¸m Khİ ChÕ T¸c ThuËt<color=White>: Phßng thñ néi c«ng t¨ng <color=Blue1>[=Value1]<color=White>	3	59		state_i_defence_point_add	0	80			1	-3	1	8		59	state_o_defence_point_add	0	80			1	-3	1	8																																																																			
33	<color=Gold>T©m Nh·n<color=White>: Bá qua phßng thñ cña ®èi ph­¬ng <color=Blue1>[=Value1]%<color=White>	3	60		state_ignore_defence	1	10			1	-1	1	1		212	state_ignore_defence	1	10			1	-1	1	1																																																																			
34	<color=Gold>§éc Thİch Cèt<color=White>: KĞo dµi thêi gian tróng ®éc<color=Blue1>[=Value1]%<color=White>	3	312	61	state_poison_perdure_add	1	35			1	3	1	9																																																																														
35	<color=Gold>Gi¶i §éc Bİ ThuËt<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> khiÕn ®èi ph­¬ng trong <color=Blue1>[=Time1] <color=White> gi©y gi¶m kh¸ng ®éc s¸t<color=White>.	4	62		state_poison_persist_time_dec	1	100	1	75		30		1																																																																														
36	<color=Gold>C©u Hån TÜnh<color=White>: T¨ng hiÖu qu¶ ®éc g©y hçn lo¹n cho ®èi ph­¬ng<color=Blue1>[=Value1]%<color=White>	4	63		state_poison_damage_add	1	35			1	144	1	1	state_confusion																																																																													
37	<color=Gold>C¬ Quan Ph¸ Gi¶i ThuËt<color=White>: T¨ng <color=Blue1>[=Value1]% tèc ®é ®Æt bÉy	4	64		state_burst_enhance_rate2	0	100			1	-3	1	8																																																																														
38	<color=Gold>Truy T©m TiÔn<color=White>: Thøc thø nhÊt, thøc thø hai lÇn l­ît hç trî c«ng kİch  <color=Blue1>[=Value1], [=Value2]<color=White>	1	65		imme_damage_life	1	150			1			1		213	imme_damage_life	1	240			1			1		214	imme_damage_life	1	240			1			1																																																								
39	<color=Gold>Thu Hµo Minh Tra<color=White>: Cã tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nĞ tr¸nh cña ®èi ph­¬ng<color=White>	3	66		state_ignore_dodge	1	10			1	-1	1	1																																																																														
40	<color=Gold>Xuyªn T©m Thİch<color=White>: Thêi gian ®éc ph¸t t¸n t¨ng <color=Blue1>[=Value1]%<color=White>	3	67		state_state_effect_interval_add	1	25			1	-1	1	1																																																																														
41	<color=Gold>Thèi §éc ThuËt<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> khi tÊn c«ng cã bæ sung thªm hiÖu qu¶ ®éc s¸t<color=White>	3	68		state_quench_posion_effect_skill	1	45			1	-1	1	1																																																																														
42	<color=Gold>§o¹t Ph¸ch Phiªn<color=White>: KĞo dµi g©y mª ®èi ph­¬ng <color=Blue1>[=Value1]%<color=White>	4	69		state_deep_sleep	1	50			1	-1	1	1																																																																														
43	<color=Gold>B¹o Vò Lª Hoa Ch©m<color=White>: Thøc thø nhÊt, thøc thø hai, thøc thø 3 lÇn l­ît hç trî c«ng kİch <color=Blue1>[=Value1], [=Value2], [=Value3]<color=White>	1	70		imme_damage_life	1	100			1			1		215	imme_damage_life	1	200			1			1		216	imme_damage_life	1	250			1			1		217	imme_damage_life	1	250			1			1		218	imme_damage_life	1	250			1			1																																		
44	<color=Gold>Hµm Sa X¹ ¶nh<color=White>: Tû lÖ xuÊt chiªu Truy T©m TiÔn, B¹o Vò Lª Hoa Ch©m t¨ng <color=Blue1>[=Value1]%<color=White>	4	65		state_sub1_rate_add	0	30			1	-3	1	8		70	state_sub1_rate_add	0	30			1	-3	1	8																																																																			
45	<color=Gold>Táa MÖnh Ch©m<color=White>: KhiÕn ®èi ph­¬ng kh«ng thÓ sö dông bÊt kú d­îc phÈm trong <color=Blue1>[=Time1/18] <color=White>gi©y<color=White>	3	72		state_block_medicine	1				1	180		1																																																																														
46	<color=Gold>M·n Thiªn Hoa Vò<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	73		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
47	<color=Gold>Quan ¢m QuyÕt<color=White>: T¨ng <color=Blue1>[=Value1]%<color=White> søc s¸t th­¬ng ®èi víi qu¸i thuéc tİnh ©m	4	76		state_life_add_damage_yin_add	0	30			1	18	1	0		219	state_life_add_damage_yin_add	0	30			1	18	1	0																																																																			
48	<color=Gold>Nga My PhËt ı<color=White>: Hç trî chİnh diÖn <color=Blue1>[=Value1]%<color=White>	3	77		state_attack_buff_time	0	30			1	-3	1	8		77	state_defence_buff_time	0	30			1	-3	1	8																																																																			
49	<color=Gold>Ngäc N÷ KiÕm Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Rate1]%<color=White> ®¸nh lui môc tiªu<color=White>	2	78		imme_knockback	1	9	1	25				1		220	imme_knockback	1	9	1	25				1																																																																			
50	<color=Gold>§é Nguyªn QuyÕt<color=White>: HiÖu qu¶ t¨ng <color=Blue1>[=Value2]%<color=White> rót ng¾n thêi gian duy tr× <color=Blue1>[=Value1]%<color=White>	4	79		state_skill_persist_time_dec	1	50			1	27	1	0		79	state_assist_effect_add	1	50			1	27	1	0		221	state_skill_persist_time_dec	1	50			1	27	1	0		221	state_assist_effect_add	1	50			1	27	1	0																																													
51	<color=Gold>PhËt Quang Phæ ChiÕu<color=White>: Toµn bé thuéc tİnh c¬ b¶n cña ®éi viªn trong vßng s¸ng t¨ng <color=Blue1>[=Value1]<color=White>	4	80		state_add_strength	1	20			1	-1	1	1		80	state_add_energy	1	20			1	-1	1	1		80	state_add_vitality	1	20			1	-1	1	1		80	state_add_dexterity	1	20			1	-1	1	1		80	state_add_observe	1	20			1	-1	1	1																																		
52	<color=Gold>Liªn Hoa T©m Kinh<color=White>: Sö dông vâ c«ng nµy tû lÖ phßng ngù néi ngo¹i c«ng t¨ng  <color=Blue1>[=Value1]%<color=White>	3	81		state_burst_time_defence_add	1	10			1	-1	1	1		222	state_burst_time_defence_add	1	10			1	-1	1	1																																																																			
