LineId	Name	GroupID	AttrId	AttrLv	Rate	AttrWorth	ConflictGroupID		Mở khóa:  đặc trưng=8:2		D:C:B=4:3:3
ID duy nhất	unuse line(2~10)	ID được tham chiếu									
	unuse line(2~10)	Có thể trùng lặp									
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
1	Phát triển D-C	0									
2	Phát triển nhóm điền vào D	1									3	Hao mòn vũ khí giảm: /1% 	1	13141	1	192	200	21				
4	Sức lực+/1	1	13142	1	184	200	22				
5	Tăng giới hạn trọng lượng/1%	1	13143	1	184	200	23				
6	Thể lực	1	13144	1	184	200	24				
7	Thể lực 1%	1	13145	1	184	200	25				
8	Điểm kinh nghiệm nhận được tăng: /1% 	1	13146	1	184	200	26				
9	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	1	13147	1	184	200	27				
10	Tọa thiền mỗi 10 giây hồi phục nội lực/1	1	13148	1	184	200	28				
11	Tọa thiền mỗi 10 giây hồi phục thể lực/1	1	13149	1	184	200	29				
12	Hiệu quả dược phẩm hồi nội/1%	1	13150	1	184	200	30				
13	yêu cầu đẳng cấp giảm /1	1	13151	1	184	200	31				
14	Tiêu diệt địch nhân khôi phục sinh lực	1	13152	1	184	200	32				
15	Tiêu diệt địch nhân khôi phục nội lực	1	13153	1	184	200	33				
16	Phát triển thuộc tính chính D	1									
17	Sức mạnh	1	13081	1	266	300	1				
18	Thân pháp	1	13082	1	266	300	2				
19	Nội công 	1	13083	1	266	300	3				
20	Linh hoạt	1	13084	1	266	300	4				
21	Gân cốt	1	13085	1	266	300	5				
22	Nội lực 	1	13086	1	266	300	6				
23	Nội lực %	1	13087	1	266	300	7				
24	Điểm sinh lực	1	13088	1	266	300	8				
25	Sinh mệnh %	1	13089	1	272	300	9				
26	Phát triển nhóm công kích D	1									
27	Ngọai công lớn nhất trên vũ khí tăng 1	1	13108	1	200	400	10				
28	Ngoại công nhỏ nhất trên vũ khí tăng /1	1	13109	1	200	400	11				
29	Nội công lớn nhất trên vũ khí tăng /1	1	13110	1	200	400	12				
30	Nội công nhỏ nhất trên vũ khí tăng /1	1	13111	1	200	400	13				
31	Tăng điểm số tổng lực công kích ngoại công	1	13112	1	200	400	14				
32	Tăng điểm số tổng lực công kích nội công	1	13113	1	200	400	15				
33	Sát thương tăng /1	1	13114	1	0	400	16				
34	Sát thương độc	1	13115	1	0	400	17				
35	Độc sát tăng /1	1	13116	1	0	400	18				
36	Ngoại công tăng: /1% 	1	13117	1	0	400	19				
37	Nội công tăng /1% 	1	13118	1	0	400	20				
38	Phát triển nhóm điền vào C	1									
39	Hao mòn vũ khí giảm: /1% 	1	13154	1	124	300	21				
40	Sức lực+/1	1	13155	1	123	300	22				
41	Tăng giới hạn trọng lượng/1%	1	13156	1	123	300	23				
42	Thể lực	1	13157	1	123	300	24				
43	Thể lực 1%	1	13158	1	123	300	25				
44	Điểm kinh nghiệm nhận được tăng: /1% 	1	13159	1	123	300	26				
45	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	1	13160	1	123	300	27				
46	Tọa thiền mỗi 10 giây hồi phục nội lực/1	1	13161	1	123	300	28				
47	Tọa thiền mỗi 10 giây hồi phục thể lực/1	1	13162	1	123	300	29				
48	Hiệu quả dược phẩm hồi nội/1%	1	13163	1	123	300	30				
49	yêu cầu đẳng cấp giảm /1	1	13164	1	123	300	31				
50	Tiêu diệt địch nhân khôi phục sinh lực	1	13165	1	123	300	32				
51	Tiêu diệt địch nhân khôi phục nội lực	1	13166	1	123	300	33				
52	Phát triển thuộc tính chính C	1									
53	Sức mạnh	1	13090	1	177	400	1				
54	Thân pháp	1	13091	1	177	400	2				
55	Nội công 	1	13092	1	177	400	3				
56	Linh hoạt	1	13093	1	177	400	4				
57	Gân cốt	1	13094	1	177	400	5				
58	Nội lực 	1	13095	1	177	400	6				
59	Nội lực %	1	13096	1	177	400	7				
60	Điểm sinh lực	1	13097	1	177	400	8				
61	Sinh mệnh %	1	13098	1	184	400	9				
62	Phát triển nhóm công kích C	1									
63	Ngọai công lớn nhất trên vũ khí tăng 1	1	13119	1	90	500	10				
64	Ngoại công nhỏ nhất trên vũ khí tăng /1	1	13120	1	90	500	11				
65	Nội công lớn nhất trên vũ khí tăng /1	1	13121	1	90	500	12				
66	Nội công nhỏ nhất trên vũ khí tăng /1	1	13122	1	90	500	13				
67	Tăng điểm số tổng lực công kích ngoại công	1	13123	1	88	500	14				
68	Tăng điểm số tổng lực công kích nội công	1	13124	1	88	500	15				
69	Sát thương tăng /1	1	13125	1	88	500	16				
70	Sát thương độc	1	13126	1	88	500	17				
71	Độc sát tăng /1	1	13127	1	88	500	18				
72	Ngoại công tăng: /1% 	1	13128	1	0	500	19				
73	Nội công tăng /1% 	1	13129	1	0	500	20				
74	Phát triển D-B	0									
75	Phát triển nhóm điền vào D	2									
76	Hao mòn vũ khí giảm: /1% 	2	13141	1	164	200	21				
77	Sức lực+/1	2	13142	1	153	200	22				
78	Tăng giới hạn trọng lượng/1%	2	13143	1	153	200	23				
79	Thể lực	2	13144	1	153	200	24				
80	Thể lực 1%	2	13145	1	153	200	25				
81	Điểm kinh nghiệm nhận được tăng: /1% 	2	13146	1	153	200	26				
82	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	2	13147	1	153	200	27				
83	Tọa thiền mỗi 10 giây hồi phục nội lực/1	2	13148	1	153	200	28				
84	Tọa thiền mỗi 10 giây hồi phục thể lực/1	2	13149	1	153	200	29				
85	Hiệu quả dược phẩm hồi nội/1%	2	13150	1	153	200	30				
86	yêu cầu đẳng cấp giảm /1	2	13151	1	153	200	31				
87	Tiêu diệt địch nhân khôi phục sinh lực	2	13152	1	153	200	32				
88	Tiêu diệt địch nhân khôi phục nội lực	2	13153	1	153	200	33				
89	Phát triển thuộc tính chính D	2									
90	Sức mạnh	2	13081	1	222	300	1				
91	Thân pháp	2	13082	1	222	300	2				
92	Nội công 	2	13083	1	222	300	3				
93	Linh hoạt	2	13084	1	222	300	4				
94	Gân cốt	2	13085	1	222	300	5				
95	Nội lực 	2	13086	1	222	300	6				
96	Nội lực %	2	13087	1	222	300	7				
97	Điểm sinh lực	2	13088	1	222	300	8				
98	Sinh mệnh %	2	13089	1	224	300	9				
99	Phát triển nhóm công kích D	2									
100	Ngọai công lớn nhất trên vũ khí tăng 1	2	13108	1	170	400	10				
101	Ngoại công nhỏ nhất trên vũ khí tăng /1	2	13109	1	166	400	11				
102	Nội công lớn nhất trên vũ khí tăng /1	2	13110	1	166	400	12				
103	Nội công nhỏ nhất trên vũ khí tăng /1	2	13111	1	166	400	13				
104	Tăng điểm số tổng lực công kích ngoại công	2	13112	1	166	400	14				
105	Tăng điểm số tổng lực công kích nội công	2	13113	1	166	400	15				
106	Sát thương tăng /1	2	13114	1	0	400	16				
107	Sát thương độc	2	13115	1	0	400	17				
108	Độc sát tăng /1	2	13116	1	0	400	18				
109	Ngoại công tăng: /1% 	2	13117	1	0	400	19				
110	Nội công tăng /1% 	2	13118	1	0	400	20				
111	Phát triển nhóm điền vào C	2	0	0							
112	Hao mòn vũ khí giảm: /1% 	2	13154	1	96	300	21				
113	Sức lực+/1	2	13155	1	92	300	22				
114	Tăng giới hạn trọng lượng/1%	2	13156	1	92	300	23				
115	Thể lực	2	13157	1	92	300	24				
116	Thể lực 1%	2	13158	1	92	300	25				
117	Điểm kinh nghiệm nhận được tăng: /1% 	2	13159	1	92	300	26				
118	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	2	13160	1	92	300	27				
119	Tọa thiền mỗi 10 giây hồi phục nội lực/1	2	13161	1	92	300	28				
120	Tọa thiền mỗi 10 giây hồi phục thể lực/1	2	13162	1	92	300	29				
121	Hiệu quả dược phẩm hồi nội/1%	2	13163	1	92	300	30				
122	yêu cầu đẳng cấp giảm /1	2	13164	1	92	300	31				
123	Tiêu diệt địch nhân khôi phục sinh lực	2	13165	1	92	300	32				
124	Tiêu diệt địch nhân khôi phục nội lực	2	13166	1	92	300	33				
125	Phát triển thuộc tính chính C	2									
126	Sức mạnh	2	13090	1	133	400	1				
127	Thân pháp	2	13091	1	133	400	2				
128	Nội công 	2	13092	1	133	400	3				
129	Linh hoạt	2	13093	1	133	400	4				
130	Gân cốt	2	13094	1	133	400	5				
131	Nội lực 	2	13095	1	133	400	6				
132	Nội lực %	2	13096	1	133	400	7				
133	Điểm sinh lực	2	13097	1	133	400	8				
134	Sinh mệnh %	2	13098	1	136	400	9				
135	Phát triển nhóm công kích C	2									
136	Ngọai công lớn nhất trên vũ khí tăng 1	2	13119	1	69	500	10				
137	Ngoại công nhỏ nhất trên vũ khí tăng /1	2	13120	1	69	500	11				
138	Nội công lớn nhất trên vũ khí tăng /1	2	13121	1	66	500	12				
139	Nội công nhỏ nhất trên vũ khí tăng /1	2	13122	1	66	500	13				
140	Tăng điểm số tổng lực công kích ngoại công	2	13123	1	66	500	14				
141	Tăng điểm số tổng lực công kích nội công	2	13124	1	66	500	15				
142	Sát thương tăng /1	2	13125	1	66	500	16				
143	Sát thương độc	2	13126	1	66	500	17				
144	Độc sát tăng /1	2	13127	1	66	500	18				
145	Ngoại công tăng: /1% 	2	13128	1	0	500	19				
146	Nội công tăng /1% 	2	13129	1	0	500	20				
147	Phát triển nhóm điền vào B	2	0	0							
148	Hao mòn vũ khí giảm: /1% 	2	13167	1	68	400	21				
149	Sức lực+/1	2	13168	1	61	400	22				
150	Tăng giới hạn trọng lượng/1%	2	13169	1	61	400	23				
151	Thể lực	2	13170	1	61	400	24				
152	Thể lực 1%	2	13171	1	61	400	25				
153	Điểm kinh nghiệm nhận được tăng: /1% 	2	13172	1	61	400	26				
154	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	2	13173	1	61	400	27				
155	Tọa thiền mỗi 10 giây hồi phục nội lực/1	2	13174	1	61	400	28				
156	Tọa thiền mỗi 10 giây hồi phục thể lực/1	2	13175	1	61	400	29				
157	Hiệu quả dược phẩm hồi nội/1%	2	13176	1	61	400	30				
158	yêu cầu đẳng cấp giảm /1	2	13177	1	61	400	31				
159	Tiêu diệt địch nhân khôi phục sinh lực	2	13178	1	61	400	32				
160	Tiêu diệt địch nhân khôi phục nội lực	2	13179	1	61	400	33				
161	Phát triển thuộc tính chính B	2									
162	Sức mạnh	2	13099	1	88	500	1				
163	Thân pháp	2	13100	1	88	500	2				
164	Nội công 	2	13101	1	88	500	3				
165	Linh hoạt	2	13102	1	88	500	4				
166	Gân cốt	2	13103	1	88	500	5				
167	Nội lực 	2	13104	1	88	500	6				
168	Nội lực %	2	13105	1	88	500	7				
169	Điểm sinh lực	2	13106	1	88	500	8				
170	Sinh mệnh %	2	13107	1	96	500	9				
171	Phát triển nhóm công kích B	2									
172	Ngọai công lớn nhất trên vũ khí tăng 1	2	13130	1	38	600	10				
173	Ngoại công nhỏ nhất trên vũ khí tăng /1	2	13131	1	38	600	11				
174	Nội công lớn nhất trên vũ khí tăng /1	2	13132	1	36	600	12				
175	Nội công nhỏ nhất trên vũ khí tăng /1	2	13133	1	36	600	13				
176	Tăng điểm số tổng lực công kích ngoại công	2	13134	1	36	600	14				
177	Tăng điểm số tổng lực công kích nội công	2	13135	1	36	600	15				
