ID	Name	EquipWorth	AttrGroup1	GrowStep1	GrowLvUp1	AttrGroup2	GrowStep2	GrowLvUp2	AttrGroup3	GrowStep3	GrowLvUp3
ID duy nhÊt	unuse line(2~10)	Gi¸ trÞ l­îng trang bÞ mang theo tæng thÓ									
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
	unuse line(2~10)										
1	Ph¸t triÓn trang bÞ xanh b×nh th­êng	900	1	1	1	2	2	2			
2	Ph¸t triÓn trang bÞ lam b×nh th­êng	1100	1	1	1	2	2	2			
3	Ph¸t triÓn trang bÞ tÝm b×nh th­êng	1200	1	1	1	2	2	2	2	3	3
4	Ph¸t triÓn trang bÞ tÝm kim	1700	3	1	1	2	2	2	2	3	3
5	Ph¸t triÓn trang bÞ tÝm méc	1700	4	1	1	2	2	2	2	3	3
6	Ph¸t triÓn trang bÞ tÝm thñy	1700	5	1	1	2	2	2	2	3	3
7	Ph¸t triÓn trang bÞ tÝm háa	1700	6	1	1	2	2	2	2	3	3
8	Ph¸t triÓn trang bÞ tÝm thæ	1700	7	1	1	2	2	2	2	3	3
9	Ph¸t triÓn trang bÞ tÝm ©m	1800	8	1	1	2	2	2	2	3	3
10	T­íng Qu©n Trang	2000	14	1	1	14	1	1			
11	Nguyªn So¸i Trang	2000	15	1	1	15	1	1			
12	Thiªn H¹ V« Song Kh«i	3000	24	0	0	27	0	0	28	0	0
13	Thiªn H¹ V« Song Gi¸p	3000	25	0	0	27	0	0	28	0	0
14	Thiªn H¹ V« Song Trang	3000	26	0	0	27	0	0	28	0	0
15	¸o Choµng Du HiÖp	5000	30	1	1	31	1	1			
16	¸o Choµng ThiÕt HuyÕt	5000	36	1	1	37	1	1			
17	¸o Choµng V©n Du	5000	42	1	1	43	1	1			
18	Huy Ch­¬ng Du HiÖp	5000	30	1	1	31	1	1			
19	Huy Ch­¬ng ThiÕt HuyÕt	5000	36	1	1	37	1	1			
20	Huy Ch­¬ng V©n Du	5000	42	1	1	43	1	1			
21	Tr­êng Hµi Du HiÖp	5000	30	1	1	31	1	1			
22	ChiÕn Hµi ThiÕt HuyÕt	5000	36	1	1	37	1	1			
23	§¹o Hµi V©n Du	5000	42	1	1	43	1	1			
24	Linh §å §Çu	6000	48	0	0	49	0	0	50	0	0
25	Linh §å Y	6000	51	0	0	52	0	0			
26	Linh §å Khè (S¸t th­¬ng)	6000	53	0	0	54	0	0			
27	Linh §å Khè (Ngo¹i c«ng)	6000	53	0	0	55	0	0			
28	Linh §å Khè (Néi kÝch)	6000	53	0	0	56	0	0			
29	Vò KhÝ Linh §å (S¸t th­¬ng)	6000	57	0	0	58	0	0			30	Vò KhÝ Linh §å (Ngo¹i c«ng)	6000	59	0	0	60	0	0			
31	Vò KhÝ Linh §å (Néi kÝch)	6000	61	0	0	62	0	0			
32	CÇm Linh §å ®Æc biÖt	6000	57	0	0	62	0	0			
33	Nãn Hµo HiÖp (PhÕ)	6000	73	0	0	73	0	0	73	0	0
34	¸o Hµo HiÖp (PhÕ)	6000	74	0	0	74	0	0	74	0	0
35	QuÇn Hµo HiÖp (PhÕ)	6000	75	0	0	75	0	0	75	0	0
36	Vò KhÝ Hµo HiÖp (PhÕ)	6000	76	0	0	76	0	0	76	0	0
37	NhÉn Hµo HiÖp (PhÕ)	6000	77	0	0	77	0	0	77	0	0
38	Hµo HiÖp §Çu	6000	78	0	0	79	0	0	80	0	0
39	Hµo HiÖp y	6000	81	0	0	82	0	0	83	0	0
40	QuÇn Hµo HiÖp	6000	84	0	0	85	0	0	86	0	0
41	NhÉn Hµo HiÖp	6000	99	0	0	100	0	0			
42	Vò KhÝ Hµo HiÖp (S¸t th­¬ng)	6000	87	0	0	88	0	0	89	0	0
43	Vò KhÝ Hµo HiÖp (CÇm)	6000	90	0	0	91	0	0	92	0	0
44	Vò KhÝ Hµo HiÖp (Néi kÝch)	6000	93	0	0	94	0	0	95	0	0
45	Vò KhÝ Hµo HiÖp (Ngo¹i c«ng)	6000	96	0	0	97	0	0	98	0	0
46	¸o kho¸c HiÖp Cèt	6000	116	1	1	117	1	1	118	1	1
47	¸o kho¸c Qñy Phï	6000	123	1	1	124	1	1	125	1	1
48	¸o kho¸c §»ng V©n	6000	130	1	1	131	1	1	132	1	1
49	Huy ch­¬ng HiÖp Cèt	6000	116	1	1	117	1	1	118	1	1
50	Huy ch­¬ng Qñy Phï	6000	123	1	1	124	1	1	125	1	1
51	Huy ch­¬ng §»ng V©n	6000	130	1	1	131	1	1	132	1	1
52	HiÖp Cèt Tr­êng Ngoa	6000	116	1	1	117	1	1	118	1	1
53	Qñy Phï ChiÕn Ngoa	6000	123	1	1	124	1	1	125	1	1
54	§»ng V©n §¹o Ngoa	6000	130	1	1	131	1	1	132	1	1
55	TÝn vËt bang héi cÊp 1	6000	137	0	0	138	0	0	139	0	0
56	TÝn vËt bang héi cÊp 2	6000	140	0	0	141	0	0	142	0	0
57	TÝn vËt bang héi cÊp 3	6000	143	0	0	144	0	0	145	0	0
58	TÝn vËt bang héi cÊp 4	6000	146	0	0	147	0	0	148	0	0
59	TÝn vËt bang héi cÊp 5	6000	149	0	0	150	0	0	151	0	0
60	TÝn vËt bang héi cÊp 6	6000	152	0	0	153	0	0	154	0	0
61	TÝn vËt bang héi cÊp 7	6000	155	0	0	156	0	0	157	0	0
62	TÝn vËt bang héi cÊp 8	6000	158	0	0	159	0	0	160	0	0
63	TÝn vËt bang héi cÊp 9	6000	161	0	0	162	0	0	163	0	0
64	TÝn vËt bang héi cÊp 10	6000	164	0	0	165	0	0	166	0	0
65	TÝn vËt bang héi cÊp 11	6000	167	0	0	168	0	0	169	0	0
