EnhanceType	Enhance	gG1	gD1	gP1	gNum1	gBind1	gG2	gD2	gP2	gNum2	gBind2	gG3	gD3	gP3	gNum3	gBind3
	§é t¨ng 	Ph¶n håi ®¹o cô lo¹i lín 1	Ph¶n håi ®¹o cô lo¹i phô 1	Ph¶n håi chi tiÕt ®¹o cô 1	Sè l­îng ph¶n håi: 1	Khãa kh«ng	Ph¶n håi ®¹o cô lo¹i lín 2	Ph¶n håi ®¹o cô lo¹i phô 2	Ph¶n håi chi tiÕt ®¹o cô 2	Sè l­îng ph¶n håi: 2	Khãa kh«ng	Ph¶n håi ®¹o cô lo¹i lín 3	Ph¶n håi ®¹o cô lo¹i phô 3	Ph¶n håi chi tiÕt ®¹o cô 3	Sè l­îng ph¶n håi: 3	Khãa kh«ng
1	0	2	2	7	0	1	2	2	8	0	1	2	1	1009	0	1
1	1	2	2	7	1	1	2	2	8	0	1	2	1	1009	0	1
1	2	2	2	7	2	1	2	2	8	0	1	2	1	1009	0	1
1	3	2	2	7	4	1	2	2	8	0	1	2	1	1009	0	1
1	4	2	2	7	8	1	2	2	8	0	1	2	1	1009	0	1
1	5	2	2	7	16	1	2	2	8	0	1	2	1	1009	0	1
1	6	2	2	7	16	1	2	2	8	10	1	2	1	1009	0	1
1	7	2	2	7	16	1	2	2	8	20	1	2	1	1009	0	1
1	8	2	2	7	16	1	2	2	8	40	1	2	1	1009	0	1
1	9	2	2	7	16	1	2	2	8	80	1	2	1	1009	0	1
1	10	2	2	7	16	1	2	2	8	160	1	2	1	1009	0	1
1	11	2	2	7	16	1	2	2	8	160	1	2	1	1009	4	1
1	12	2	2	7	16	1	2	2	8	160	1	2	1	1009	8	1
1	13	2	2	7	16	1	2	2	8	160	1	2	1	1009	16	1
1	14	2	2	7	16	1	2	2	8	160	1	2	1	1009	32	1
1	15	2	2	7	16	1	2	2	8	160	1	2	1	1009	64	1
1	16	2	2	7	16	1	2	2	8	160	1	2	1	1009	40	1
1	17	2	2	7	16	1	2	2	8	160	1	2	1	30950	4	1
1	18	2	2	7	16	1	2	2	8	160	1	2	1	30950	9	1
1	19	2	2	7	16	1	2	2	8	160	1	2	1	30950	20	1
1	20	2	2	7	16	1	2	2	8	160	1	2	1	30950	45	1
2	0	2	1	31096	0	1	2	201	13	0	1					
2	1	2	1	31096	1	1	2	201	13	0	1					
2	2	2	1	31096	1	1	2	201	13	0	1					
2	3	2	1	31096	1	1	2	201	13	0	1					
2	4	2	1	31096	2	1	2	201	13	0	1					
2	5	2	1	31096	3	1	2	201	13	0	1					
2	6	2	1	31096	4	1	2	201	13	0	1					
2	7	2	1	31096	6	1	2	201	13	0	1					
2	8	2	1	31096	9	1	2	201	13	0	1					
2	9	2	1	31096	10	1	2	201	13	0	1					
2	10	2	1	31096	20	1	2	201	13	0	1					
2	11	2	1	31096	30	1	2	201	13	0	1					
2	12	2	1	31096	40	1	2	201	13	0	1					
2	13	2	1	31096	50	1	2	201	13	10	1					
2	14	2	1	31096	65	1	2	201	13	20	1					
2	15	2	1	31096	95	1	2	201	13	50	1					
