Sort	Page	X	Y	Description	Information	GiveItem1Type	GiveItem1Genre	GiveItem1Detail	GiveItem1Particular	GiveItem1Count	WantItem1Type	WantItem1Genre	WantItem1Detail	WantItem1Particular	WantItem1Count	TimeLimit	DayLimit
1	1	1	1	Bao Tiªu Dao Ngäc	<color=Gray>1000 Xu<enter><color=Gold>1000 Xu	6	2	1	30605	1	10				1000	30	
1	1	1	2	Tói Tiªu Dao Ngäc	<color=Gray>100 Xu<enter><color=Gold>100 Xu	6	2	1	30604	1	10				100	30	
1	1	1	3	Tói H¹t Gièng	<color=Gray>40 Xu<enter><color=Gold>40 Xu	6	2	1	30087	1	10				40	30	
1	1	1	4	Hßa ThÞ BÝch	<color=Gray>1099 Xu<enter><color=Gold>1200 Xu	6	2	1	1001	1	10				1200	7	
1	1	2	1	Hoµng Kim §¹i Ng©n PhiÕu	<color=Gray>1000 Xu<enter><color=Gold>1000 Xu	6	2	1	30490	1	10				1000	30	
1	1	2	2	§¹i ng©n phiÕu	<color=Gray>100 Xu<enter><color=Gold>100 Xu	6	2	1	199	1	10				100	30	
1	1	2	3	C©y B¸t Nh· lín	<color=White>30 Xu<enter><color=Gold>15 Xu	6	2	0	398	1	10				15	30	
1	1	2	4	Bµn Long BÝch	<color=Gray>32 Xu<enter><color=Gold>21 Xu	6	2	1	1000	1	10				21	7	
1	1	3	1	Bao Thiªn Kiªu LÖnh Lín	<color=Gray>3000 Xu<enter><color=Gold>1000 Xu	6	2	95	2087	1	10				1000	30	
1	1	3	2	Bao Thiªn Kiªu LÖnh Nhá	<color=Gray>600 Xu<enter><color=Gold>200 Xu	6	2	95	2086	1	10				200	30	
1	1	3	3	C©y B¸t Nh· nhá	<color=White>10 Xu<enter><color=Gold>5 Xu	6	2	0	504	1	10				5	30	
1	1	3	4	ThÎ Th¸ng	<color=Gray>400 Xu<enter><color=Gold>400 Xu	6	2	1	30740	1	10				400	7	
1	2	1	1	ThiÕt Tinh CÊp 3	<color=Gray>30 Xu<enter><color=Gold>30 Xu	6	2	1	30535	1	10				30	15	
