Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Long Phụng kết	2	3	1	2	2	999												\image\item\other\skius_001a1.spr	\image\item\other\skius_001a0.spr	Có thể gọi đồng đội đến hỗ trợ		Tiêu hao		1									
Long Hoàng lệnh	2	3	2	2	2	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	Bang chủ dùng lệnh này để gọi bang chúng.		Tiêu hao		1									
Càn Khôn kết	2	3	3	2	2	999												\image\item\other\skius_003a1.spr	\image\item\other\skius_003a0.spr	Có thể dùng để trở lại nơi xuất phát.		Tiêu hao		1									
Thiên Phật Châu	2	3	4	0	2	999												\image\item\other\skius_004a1.spr	\image\item\other\skius_004a0.spr	Có thể làm thay đổi thuộc tính ngũ hành		Tiêu hao		1									
ám khí	2	11	0	0	0	2000												\image\item\other\skius_005a1.spr	\image\item\other\skius_005a0.spr	Đệ tử Đường Môn luôn đeo bên người.		Tiêu hao		1	1								
Cơ quan	2	3	6	0	1	999												\image\item\other\skius_006a1.spr	\image\item\other\skius_006a0.spr	Đệ tử Đường Môn dùng để đặt bẫy		Tiêu hao		1									
Xá Lợi Kim đơn	2	3	7	2	2	999												\image\item\other\skius_007a1.spr	\image\item\other\skius_007a0.spr	"Được làm từ cốt phật, có thể hồi sinh bất tử."		Tiêu hao		1									
Cự Tử lệnh	2	3	8	2	2	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	Nắm giữ tín vật này mới có thể sử dụng Hắc Tử kiếm pháp.		Tiêu hao		1									
Mê Hồn Tuyến	2	3	9	2	2	999												\image\item\other\skius_009a1.spr	\image\item\other\skius_009a0.spr	"Có thể phân rồng thành rồng, phân hổ thành hổ."		Tiêu hao		1									
ảnh Nguyệt phù	2	3	10	2	2	999												\image\item\other\skius_010a1.spr	\image\item\other\skius_010a0.spr	Đệ tử Tục Gia Võ Đang sử dụng nhanh chóng phục hồi công lực.		Tiêu hao		1									
