Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Ng©n phiÕu cña D· TÈu	2	0	1	2	0	1												\image\item\other\spec_002a1.spr	\image\item\other\spec_002a0.spr	Lo¹i tiÒn th«ng hµnh thêi nhµ Tèng.		NhiÖm vô		1	1	1		
MËt tŞch cña D· TÈu	2	0	2	2	0	1												\image\item\book\book_gra001a1.spr	\image\item\book\book_gra001a0.spr	Ghi chĞp h­íng dÉn nh÷ng kü n¨ng cÇn thiÕt cho t©n thñ		NhiÖm vô	\script\item\yesoumiji.lua	1	1	1		
Liªu Th«ng lÖnh	2	0	3	2	0	1												\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Cã thÓ tù do ra vµo Nh¹n M«n Quan, vµo biªn giíi Tèng.		Thu thËp		1	0	0		
Qu©n phôc Tèng binh	2	0	4	2	100	999												\image\item\other\quest_004a1.spr	\image\item\other\quest_004a0.spr	Qu©n phôc qu©n sÜ phe Tèng		Thu thËp		1	0	0		
Ch¸o L¹p B¸t	2	0	5	2	0	1												\image\item\other\holi_027a1.spr	\image\item\other\holi_027a0.spr	1 b¸t ch¸o L¹p B¸t th¬m phøc		NhiÖm vô		1	1	1		
Thuæng s¾t	2	0	6	2	0	1												\image\item\other\quest_006a1.spr	\image\item\other\quest_006a0.spr	Dông cô ®µo ®Êt th­êng dïng		NhiÖm vô	\script\item\tieqiao.lua	1	1	1		
T©n Thñ Ngäc Béi	2	0	7	2	0	1												\image\item\other\quest_013a1.spr	\image\item\other\quest_013a0.spr	Lo¹i ngäc béi thø phÈm, kh«ng cã gi¸ trŞ cao.		NhiÖm vô		1	0	0		
T©n Thñ H­¬ng Nang	2	0	8	2	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Lo¹i h­¬ng nang thø phÈm, kh«ng cã gi¸ trŞ cao.		NhiÖm vô		1	0	0		
B¸t Qu¸i Ên_Cµn	2	0	9	2	0	1												\image\item\other\quest_007a1.spr	\image\item\other\quest_007a0.spr	Vßng b¸t qu¸i phİa trªn cã kh¾c ch÷ Cµn nhá.		NhiÖm vô		1	2	1		
PhØ Thóy Giíi ChØ	2	0	10	2	0	1												\image\item\other\quest_014a1.spr	\image\item\other\quest_014a0.spr	Lµm tõ PhØ Thóy, gióp t¨ng n¨ng lùc phßng ngù nhÊt ®Şnh.		NhiÖm vô		1	2	1		
MËt hµm C¸i Bang	2	0	11	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Vèn lµ mËt hµm cña c¸c th¸m tö C¸i Bang, kh«ng biÕt v× sao r¬i vµo tay tªn l­u manh.		NhiÖm vô		1	2	1		
Kim Cang Hæ Nha	2	0	12	2	0	1												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	R¨ng m·nh hæ ë ThiÕu ThÊt s¬n, lµ vËt liÖu ®óc t¹o vò khİ ®Æc biÖt cña thî rÌn BiÖn Kinh.		NhiÖm vô		1	2	1		
Hµnh trang thÊt l¹c	2	0	13	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Hµnh trang thÊt l¹c cña d©n lµng gÇn Thµnh §« khi bŞ heo rõng tÊn c«ng.		NhiÖm vô		1	2	1		
