Sè trang bŞ	Tªn trang bŞ	Sè hiÖu thuéc tİnh 1: 	§¼ng cÊp thuéc tİnh 1: 	Sè hiÖu thuéc tİnh 2: 	§¼ng cÊp thuéc tİnh 2: 	Sè hiÖu thuéc tİnh 3: 	§¼ng cÊp thuéc tİnh 3: 	Sè hiÖu thuéc tİnh 4: 	§¼ng cÊp thuéc tİnh 4: 	Sè hiÖu thuéc tİnh 5: 	§¼ng cÊp thuéc tİnh 5: 	M· sè 6 thuéc tİnh 	§»ng cÊp 6 thuéc tİnh	M· sè 7 thuéc tİnh 	§»ng cÊp 7 thuéc tİnh	M· sè 8 thuéc tİnh 	§»ng cÊp 8 thuéc tİnh	Mµu s¾c trang bŞ
250101	Dòng sÜ	110	4	27	2	63	4	85	3									<color=Green2>250201	Dòng sÜ	110	4	27	2	63	4	85	3									<color=Green2>
270101	HiÖp sÜ	110	6	27	2	63	5	85	3									<color=Green2>
270201	HiÖp sÜ	110	6	27	2	63	5	85	3									<color=Green2>
350101	NiÕt Bµn	110	4	64	4	24	4	86	4									<color=Green2>
350201	NiÕt Bµn	110	4	64	4	24	4	86	4									<color=Green2>
370101	§¹t Ma	110	6	64	5	24	5	86	4									<color=Green2>
370201	§¹t Ma	110	6	64	5	24	5	86	4									<color=Green2>
450101	Kim Cang	110	4	13	2	24	4	86	3									<color=Green2>
450201	Kim Cang	110	4	13	2	24	4	86	3									<color=Green2>
470101	Khai s¬n	110	6	13	2	24	5	86	4									<color=Green2>
470201	Khai s¬n	110	6	13	2	24	5	86	4									<color=Green2>
650101	§o¹n thñy	110	4	63	4	77	4	85	3									<color=Green2>
650201	§o¹n thñy	110	4	63	4	77	4	85	3									<color=Green2>
650301	§o¹n thñy	110	4	63	4	77	4	85	3									<color=Green2>
650401	§o¹n thñy	110	4	63	4	77	4	85	3									<color=Green2>
670101	Th¸m hoa	110	6	63	5	77	6	85	4									<color=Green2>
670201	Th¸m hoa	110	6	63	5	77	6	85	4									<color=Green2>
670301	Th¸m hoa	110	6	63	5	77	6	85	4									<color=Green2>
670401	Th¸m hoa	110	6	63	5	77	6	85	4									<color=Green2>
