装备显示类型	模型	贴图
马00		
马01	RD_HORSE_001.mesh	RD_HORSE_001a.mtl
马02	RD_HORSE_001.mesh	RD_HORSE_001b.mtl
马03	RD_HORSE_001.mesh	RD_HORSE_001c.mtl
马04	RD_HORSE_001.mesh	RD_HORSE_001d.mtl
马05	RD_HORSE_001.mesh	RD_HORSE_001e.mtl
马06	RD_HORSE_001.mesh	RD_HORSE_001f.mtl
马07	RD_HORSE_001.mesh	RD_HORSE_001g.mtl
马08	RD_HORSE_001.mesh	RD_HORSE_001h.mtl
马09	RD_HORSE_001.mesh	RD_HORSE_001i.mtl
马10	RD_HORSE_001.mesh	RD_HORSE_001j.mtl
马11	RD_HORSE_002a.mesh	RD_HORSE_002a1.mtl
马12	RD_HORSE_002a.mesh	RD_HORSE_002a2.mtl
马13	RD_HORSE_002a.mesh	RD_HORSE_002a3.mtl
马14	RD_HORSE_002a.mesh	RD_HORSE_002a4.mtl
马15	RD_HORSE_002b.mesh	RD_HORSE_002b1.mtl
马16	RD_HORSE_002b.mesh	RD_HORSE_002b2.mtl
马17	RD_HORSE_002b.mesh	RD_HORSE_002b3.mtl
马18	RD_HORSE_002b.mesh	RD_HORSE_002b4.mtl
马19	zuoji-zs03.Mesh	zuoji-zs03.Mtl
龙舟	RD_LZ_001.mesh	RD_LZ_001.mtl
水炮龙舟	RD_LZ_002.Mesh	RD_LZ_002.mtl
水雷龙舟	RD_LZ_003.mesh	RD_LZ_003.mtl
水浪龙舟	RD_LZ_004.mesh	RD_LZ_004.mtl
短兵龙舟	RD_LZ_005.mesh	RD_LZ_005.mtl
土炮龙舟	RD_LZ_006.mesh	RD_LZ_006.mtl
潜行龙舟	RD_LZ_007.mesh	RD_LZ_007.mtl
花轿	167.Mesh	167a.Mtl
年兽	nianshou.mesh	nianshou.mtl
圣诞鹿	shengdanlu.mesh	shengdanlu.mtl
火炬装1	m2_bd_texhuoju.Mesh	m2_bd_texhuoju.Mtl
火炬装2	m1_bd_modhuoju.Mesh	m1_bd_modhuoju.Mtl
火炬装3	f2_bd_modhuoju.Mesh	f2_bd_modhuoju.Mtl
火炬装4	f1_bd_modhuoju.Mesh	f1_bd_modhuoju.Mtl
马20	zuoji-zs01.Mesh	zuoji-zs01.Mtl
马21	zuoji-zs02.Mesh	zuoji-zs02.Mtl
马22	zuoji-zs02.Mesh	zuoji-zs02a.Mtl
马24	zuoji-zs04.Mesh	RD_HORSE_wind_red.Mtl
马25	zuoji-zs04.Mesh	RD_HORSE_wind_yellow.Mtl
马26	zuoji-zs04.Mesh	RD_HORSE_wind_black.Mtl
少阳七星剑	shaoyangqixingjian.Mesh	shaoyangqixingjian.Mtl
文史七君剑	wenshiqijunjian.Mesh	wenshiqijunjian.Mtl
昆虚玉瑶剑	kunxuyuyaojian.Mesh	kunxuyuyaojian.Mtl
仙游剑	xianyoujian.Mesh	xianyoujian.Mtl
太清无尘剑	taiqingwuchenjian.Mesh	taiqingwuchenjian.Mtl
