装备显示类型	模型	贴图
魁梧男下身000	m1_le_mod003.mesh	m1_le_mod003a.mtl
魁梧男下身001	m1_le_mod001.mesh	m1_le_mod001a.mtl
魁梧男下身002	m1_le_mod001.mesh	m1_le_mod001b.mtl
魁梧男下身003	m1_le_mod002.mesh	m1_le_mod002a.mtl
魁梧男下身004	m1_le_mod003.mesh	m1_le_mod003a.mtl
魁梧男下身005	m1_le_mod003.mesh	m1_le_mod003b.mtl
魁梧男下身006	m1_le_mod004.mesh	m1_le_mod004a.mtl
魁梧男下身007	m1_le_mod005.mesh	m1_le_mod005a.mtl
魁梧男下身008	m1_le_mod006.mesh	m1_le_mod006a.mtl
魁梧男下身009	m1_le_mod006.mesh	m1_le_mod006b.mtl
魁梧男下身010	m1_le_mod007.mesh	m1_le_mod007a.mtl
魁梧男下身011	m1_le_mod007.mesh	m1_le_mod007b.mtl
魁梧男下身012	m1_le_mod007.mesh	m1_le_mod007c.mtl
魁梧男下身013	m1_le_mod008.mesh	m1_le_mod008a.mtl
魁梧男下身014	m1_le_mod008.mesh	m1_le_mod008b.mtl
魁梧男下身015	m1_le_mod009.mesh	m1_le_mod009a.mtl
魁梧男下身016	m1_le_mod010.mesh	m1_le_mod010a.mtl
魁梧男下身017	m1_le_mod010.mesh	m1_le_mod010b.mtl
魁梧男下身018	m1_le_mod011.mesh	m1_le_mod011a.mtl
魁梧男外装下身002	m1_wz_le_mod002.mesh	m1_wz_le_mod002a.mtl
魁梧男周年纪念裤	m1_wz_le_mod004.mesh	m1_wz_le_mod004a.mtl
魁梧男冬装裤	m1_wz_le_mod011.mesh	m1_wz_le_mod011a.mtl
魁梧男外装裤16	m1_wz_le_mod012.mesh	m1_wz_le_mod012a.mtl
魁梧男黄金装	m1_wz_le_modjinjia.mesh	m1_wz_le_modjinjia.mtl
魁梧男捕快装	m1_wz_le_modbukuai.mesh	m1_wz_le_modbukuai.mtl
魁梧男逍遥装黑	m1_wz_le_modxiaoyao01.Mesh	m1_wz_le_modxiaoyao01.Mtl
魁梧男逍遥装紫	m1_wz_le_modxiaoyao01.Mesh	m1_wz_le_modxiaoyao02.Mtl
魁梧男逍遥装蓝	m1_wz_le_modxiaoyao01.Mesh	m1_wz_le_modxiaoyao03.Mtl
魁梧男逍遥装绿	m1_wz_le_modxiaoyao01.Mesh	m1_wz_le_modxiaoyao04.Mtl
魁梧男逍遥装棕	m1_wz_le_modxiaoyao01.Mesh	m1_wz_le_modxiaoyao05.Mtl
魁梧男攻城装红	m1_gc_le_modgongcheng01.Mesh	m1_gc_le_modgongcheng01.Mtl
魁梧男攻城装蓝	m1_gc_le_modgongcheng01.Mesh	m1_gc_le_modgongcheng02.Mtl
魁梧男攻城装绿	m1_gc_le_modgongcheng01.Mesh	m1_gc_le_modgongcheng03.Mtl
魁梧男下装8级外	m1_le_mod100.mesh	m1_le_mod100a.mtl
魁梧男下装8级内	m1_le_mod101.mesh	m1_le_mod101a.mtl
魁梧男下装9级	m1_le_mod102.mesh	m1_le_mod102a.mtl
魁梧男客栈下装	M1_wz_le_mod901.Mesh	M1_wz_le_mod901.Mtl
魁梧男转生下装	M1_wz_le_mod903.Mesh	M1_wz_le_mod903.Mtl
魁梧男星宇装	m1_le_mod200903.Mesh	m1_le_mod200903.Mtl
魁梧男惊风装	m1_le_mod200902.Mesh	m1_le_mod200902.Mtl
魁梧男御仙装	m1_le_mod200901.Mesh	m1_le_mod200901.Mtl
魁梧男越北装	m1_YNbeibushoe.Mesh	m1_YNbeibushoe.Mtl
