TotalLevel	Lv1Rate	Lv2Rate	Lv3Rate	Lv4Rate	Lv5Rate	Lv6Rate	Lv7Rate	Lv8Rate	Lv9Rate	Lv10Rate
	10000based	10000based	10000based	10000based	10000based	10000based	10000based	10000based	10000based	10000based
2	8000	2000								
3	5000	5000								
4		8000	2000							
5		5000	5000							
6			8000	2000						
7			5000	5000						
8				8000	2000					
9				5000	5000					
10					9000	1000				
11					5000	5000				
12						10000				
13	10000									
14	10000									
15	10000									
16	10000									
17	10000									
18	10000									
19	10000									
20	10000									
