genre	detail	situation
23	1	1
23	2	1
23	3	1
23	4	1
23	5	1
23	6	1
23	7	1
23	8	1
23	9	1
23	10	1
23	11	1
23	12	1
23	13	1
23	14	1
24	1	1
24	2	1
24	3	1
24	4	1
24	5	1
24	6	1
24	7	1
24	8	1
24	9	1
24	10	1
24	11	1
24	12	1
24	13	1
24	14	1
25	1	1
25	2	1
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1
25	9	1
25	10	1
25	11	1
25	12	1
25	13	1
25	14	1
25	15	1
25	16	1
25	17	1
25	18	1
25	19	1
25	20	1
25	21	1
25	22	1
26	1	1
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	1
26	9	1
26	10	1
26	11	1
26	12	1
26	13	1
26	14	1
26	15	1
26	16	1
26	17	1
26	18	1
26	19	1
26	20	1
26	21	1
26	22	1
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	1
27	9	1
27	10	1
27	11	1
27	12	1
27	13	1
27	14	1
27	15	1
27	16	1
27	17	1
27	18	1
27	19	1
27	20	1
27	21	1
27	22	1
28	1	1
28	2	1
28	3	1
28	4	1
28	5	1
28	6	1
28	7	1
28	8	1
28	9	1
28	10	1
28	11	1
28	12	1
28	13	1
28	14	1
28	15	1
28	16	1
28	17	1
28	18	1
28	19	1
28	20	1
28	21	1
28	22	1
64	1	1
64	2	1
64	3	1
64	4	1
64	5	1
64	6	1
65	1	1
65	2	1
65	3	1
