NpcTemplateName	RevivalName	CorpseType	AIType	AIInterval	Level	Life	WalkSpeed	AttackSeries	DefenceSeries	AttackRate	DodgeRate	AttackSpeed	PhysicalAttackMin	PhysicalAttackMax	PhysicalDefencePercent	PhysicalDefence	MagicAttackMin	MagicAttackMax	MagicDefencePercent	MagicDefence	SkillID_1	SkillLevel_1	SkillRate_1	SkillID_2	SkillLevel_2	SkillRate_2	SkillID_3	SkillLevel_3	SkillRate_3	SkillID_4	SkillLevel_4	SkillRate_4	PctCriticalPoint	PctCriticalDamage	PctDefCriticalPoint	PctDefCriticalDamage
Sãi x¸m	Sãi x¸m	0	1	6	1	160000	10	0	0	200	80	18	22	45	30	50	0	0	30	50	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Sãi xanh	Sãi xanh	0	1	6	1	144000	11	0	0	220	88	16	0	0	27	45	25	51	27	45	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Sãi ®iªn	Sãi ®iªn	0	1	6	1	160000	10	0	0	200	80	18	22	45	30	50	0	0	30	50	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Thá tr¾ng	Thá rõng	0	1	6	1	64000	17	0	0	200	160	9	12	24	10	10	0	0	10	10	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Thá x¸m	Thá x¸m	0	1	6	1	80000	14	0	0	200	140	9	0	0	10	10	13	27	10	10	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
M· HÇu	M· HÇu	0	1	6	1	96000	11	0	0	400	104	9	12	24	15	25	0	0	24	40	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Th­¬ng Viªn	Th­¬ng Viªn	0	1	6	1	96000	10	0	0	320	96	10	0	0	21	35	16	33	24	40	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Hå Ly	Hå Ly	0	1	6	1	144000	12	0	0	240	128	15	16	33	27	45	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Yªu Hå 2	Linh Hå	0	1	6	1	128000	13	0	0	240	144	15	0	0	21	35	18	36	24	40	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ng©n Hå	Ng©n Hå	0	1	6	1	112000	14	0	0	240	160	15	21	42	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Thùc Nh©n Th¶o	Thùc Nh©n Th¶o	0	1	6	1	160000	10	0	0	200	0	18	0	0	10	90	30	60	10	90	704	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ng­ Qu¸i1	§«ng H¶i Thñy Téc	0	1	6	1	176000	10	0	0	160	80	18	25	51	12	90	0	0	12	90	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ng­ Qu¸i2	§«ng H¶i Thñy Téc Binh sÜ	0	1	6	1	176000	10	0	0	180	60	18	27	54	12	90	0	0	12	90	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
