ID	EventType	TriggerType	TargetName	TargetMap	TotalCount	ScriptFile	ScriptFunc
1	0	1	L­u Manh		1	\script\task\world\ox_quest\five_elements_weapon\step002_004_³É¶¼½¼ÇøÁ÷Ã¥.lua	wq_ox_few_002_004
2	0	1	L­u Manh		30	\script\task\world\ox_quest\five_elements_weapon\step003_001a_³É¶¼½¼ÇøÁ÷Ã¥.lua	wq_ox_few_003_001a
3	0	1	C«n ®å		20	\script\task\world\ox_quest\five_elements_weapon\step003_001b_³É¶¼½¼ÇøÎÞÀµ.lua	wq_ox_few_003_001b
4	0	1	Hæ		1	\script\task\world\ox_quest\five_elements_weapon\step005_003_ÉÙÁÖËÂÍâÃÍ»¢.lua	wq_ox_few_005_003
5	0	1	Hñ thi		1	\script\task\world\ox_quest\five_elements_weapon\step004_004_³É¶¼ÄÏ½¼¸¯Ê¬.lua	wq_ox_few_004_004

10	0	1			1	\script\online\motherday\mothersday_head.lua	Drop_Fish
11	0	1			1	\script\online\motherday\mothersday_head.lua	Drop_Rice
12	0	1			1	\script\online\motherday\mothersday_head.lua	Drop_Fruit

51	0	1	Hµnh lý cña d©n lµng		1	\script\task\world\ox_quest\oni_boar_teeth\step001_002_³É¶¼Î÷½¼°ü¹ü.lua	wq_ox_obt_001_002
52	0	1	Heo rõng		20	\script\task\world\ox_quest\oni_boar_teeth\step001_004_³É¶¼Î÷½¼Ò°Öí.lua	wq_ox_obt_001_004
53	0	1	Heo rõng		1	\script\task\world\ox_quest\oni_boar_teeth\step001_006_³É¶¼Î÷½¼Ò°Öí.lua	wq_ox_obt_001_006

101	0	1	Thá x¸m		30	\script\task\world\ox_quest\the_black_blood\step002_003_³É¶¼±±½¼»ÒÍÃ.lua	wq_ox_tbb_002_003
110	0	1				\script\online\newyear08\qingtong_trigger.lua	finishkill
150	0	1			1	\script\²Ø½£É½×¯\ying_xiong_ling.lua	yxl_killed

201	0	1	Thá rõng		10	\script\task\random\task_start.lua	finish_kill
202	0	1	Thá x¸m		10	\script\task\random\task_start.lua	finish_kill
203	0	1	Heo rõng		10	\script\task\random\task_start.lua	finish_kill
204	0	1	ThiÕt Gi¸p Trïng		10	\script\task\random\task_start.lua	finish_kill
205	0	1	Sãi xanh		10	\script\task\random\task_start.lua	finish_kill
206	0	1	KiÕm Kh¸ch		10	\script\task\random\task_start.lua	finish_kill
207	0	1	§ao HiÖp		10	\script\task\random\task_start.lua	finish_kill
208	0	1	M· HÇu		10	\script\task\random\task_start.lua	finish_kill
209	0	1	Sãi ®iªn		10	\script\task\random\task_start.lua	finish_kill
210	0	1	NhÖn		10	\script\task\random\task_start.lua	finish_kill
211	0	1	Nh·n KÝnh Xµ		10	\script\task\random\task_start.lua	finish_kill
212	0	1	§ao TuyÖt		10	\script\task\random\task_start.lua	finish_kill
213	0	1	§ao V­¬ng		10	\script\task\random\task_start.lua	finish_kill
214	0	1	Bé kho¸i		10	\script\task\random\task_start.lua	finish_kill
215	0	1	Tèng ®ao binh		10	\script\task\random\task_start.lua	finish_kill
216	0	1	Tèng qu©n tö sÜ		10	\script\task\random\task_start.lua	finish_kill
217	0	1	Hæ Y Nh©n		10	\script\task\random\task_start.lua	finish_kill
218	0	1	Hoang m¹c ®ao kh¸ch		10	\script\task\random\task_start.lua	finish_kill
219	0	1	L­u KhÊu		10	\script\task\random\task_start.lua	finish_kill
220	0	1	Tµ T¨ng		10	\script\task\random\task_start.lua	finish_kill
221	0	1	Trïng Qu¸i V­¬ng		10	\script\task\random\task_start.lua	finish_kill
222	0	1	Vâ sÜ dÞ téc		10	\script\task\random\task_start.lua	finish_kill
223	0	1	Cung thñ ngo¹i téc		10	\script\task\random\task_start.lua	finish_kill

250	0	1	Ngäc phong		1	\script\task\world\´óÀí\task_trigger.lua	PoisonBee_Killed_1
251	0	1	RÕt ®éc		20	\script\task\world\´óÀí\task_trigger.lua	PoisonSco_Killed_20
252	0	1	Thùc Nh©n Th¶o		1	\script\task\world\´óÀí\task_trigger.lua	AnPlant_Killed_1
253	0	1	Xi Háa B¹ch gi¸o ®å		10	\script\task\world\´óÀí\task_trigger.lua	ChiHuoWhite_Killed_10
254	0	1	Xi Háa H¾c gi¸o ®å		10	\script\task\world\´óÀí\task_trigger.lua	ChiHuoBlack_Killed_10
255	0	1	Xi Háa XÝch gi¸o ®å		15	\script\task\world\´óÀí\task_trigger.lua	ChiHuoRed_Killed_15
256	0	1	Miªu LÜnh Hé Ên		1	\script\task\world\´óÀí\task_trigger.lua	MLHY_Killed_1
257	0	1	Miªu LÜnh Thæ ty		1	\script\task\world\´óÀí\task_trigger.lua	MLTS_Killed_1
