desc	group_id	rate	award_name	award_type	item_g	item_d	item_p	num	neet_body	need_route	bind	expire_hours	msg_type	runtime_stat_id	script	func
		groupSum=1000000	NOT NULL	1=OtherGroup	5=Money	9=XiuWei		if award_type=OtherGroup is refer group_id	-1|1~4	-1|0~30	0=Kh«ng khãa, mÆc ®Þnh		0=None(default)	Eg: 2;3		
				2=Script	6=ZhenQi	10=huoban					4=Khãa, th­êng dïng		1=GlobalMsg			
				3=Item	7=JunGong	11=linglizhi					1=IDENTIFY §· gi¸m ®Þnh					
				4=Exp	8=JingLi	12=ShengWang					2=PICKBIND nhÆt khãa					
				0 = trèng, bæ sung tû lÖ kh«ng ®ñ 100%		13=ShiMenGongXianDu					3=EQUIPBIND khãa					
				14=ShiLiShegnWang		16=ZhanChangJiFen					5=PRESENT_IB_ITEM TÆng ®¹o cô					
				15=ShiLiGongXiandu		17=PetChengZhangZhi					99=default					
				18=FengHuaPoint												
																
act_2xu_free	198		exp	4				1000000								
	198		Nhãm ngÉu nhiªn	1				202								
act_2xu_free2	199		exp	4				1000000								
	199		Nhãm ngÉu nhiªn	1				203								
act_2xu_ib	200		exp	4				1500000								
	200		Nhãm ngÉu nhiªn	1				204								
act_2xu_ib2	201		exp	4				1500000								
	201		Nhãm ngÉu nhiªn	1				205								
act_2xu_free_rand	202	232000	exp	4				4500000								
	202	148000	exp	4				5400000								
	202	100000	exp	4				6800000								
	202	50000	exp	4				7200000								
	202	30000	exp	4				8600000								
	202	20000	exp	4				9900000								
	202	50000	Ch©n khÝ	6				100								
	202	30000	§iÓm tr­ëng thµnh	17				50								
	202	25000	MËt TÞch S­ M«n Cao CÊp Lv70 (NgÉu nhiªn)	1				206								
	202	50000	Th¸i DÞch Hçn Nguyªn C«ng §å	3	2	0	1082	1								
	202	20000	Tiªu KiÕp t¸n	3	2	0	141	1				168				
	202	1000	§Êu hån	3	2	1	1157	1				168				
	202	30000	Danh väng	12				50								
	202	30000	§iÓm s­ m«n	13				50								
	202	30000	§iÓm linh lùc	11				10								
	202	30000	TiÓu Nh©n s©m qu¶	3	2	0	552	1				168				
