ID	ConditionDes	Comment	Type	Value1	Value2	Value3	Value4	Value5						
			0:enumTaskID	task	operator	v			Type	Value1	Value2	Value3	Value4	Value5
	operator		1:enumTaskBit	task	bit	v			9:enumCheckDate	operator	0:ymd 1:y 2:m 3:d 4:h	nCheckVal		
	0: ==		2:enumCheckTong											
	1: >=		3:enumCheckVipCard											
	2: >		4:enumCheckReborn	operator	reborn	level								
	3: <		5:enumCheckLevel(old level restriction in any rebornLv)	operator	v									
	4: <=		6:enumCheckReputation	operator	v									
g:get 			7:enumCheckJunGong	operator	v									
a:award			8:enumCheckTitle	g	d	1 or 0								
1	gVËn Tiªu	cdkey	1	3055	1	1								
2	Hoµn thµnh 1 lÇn nhiÖm vô vËn tiªu	cdkey	1	3055	2	1								
3	aVËn Tiªu	cdkey	1	3055	3	1								
4	g§o¹t Tiªu	cdkey	1	3055	4	1								
5	Hoµn thµnh 1 lÇn nhiÖm vô c­íp tiªu	cdkey	1	3055	5	1								
6	a§o¹t Tiªu	cdkey	1	3055	6	1								
7	gThu thËp Ngäc Ph¸ch	cdkey	1	3055	7	1								
8	Thu thËp 1 Ngäc Ph¸ch	cdkey	1	3055	8	1								
9	aThu thËp Ngäc Ph¸ch	cdkey	1	3055	9	1								
10	gTrém Ngäc Ph¸ch	cdkey	1	3055	10	1								
11	§Õn thÕ lùc kh¸c trém 1 Ngäc Ph¸ch	cdkey	1	3055	11	1								
12	aTrém Ngäc Ph¸ch	cdkey	1	3055	12	1								
13	gT©y Vùc TruyÒn §¹o	cdkey	1	3055	13	1								
14	Tham gia tÝnh n¨ng T©y Vùc TruyÒn §¹o, nhÊp vµo 3 th¸nh vËt ®Ó nhËn th­ëng	cdkey	1	3055	14	1								
15	aT©y Vùc TruyÒn §¹o	cdkey	1	3055	15	1								
16	gBoss ThÕ Lùc	cdkey	1	3055	16	1								
17	NhËn b¶o vÖ BOSS cña thÕ lùc vµ tiªu diÖt BOSS cña thÕ lùc phe ®Þch ®Ó nhËn ®­îc phÇn th­ëng	cdkey	1	3055	17	1								
18	aBoss ThÕ Lùc	cdkey	1	3055	18	1								
19	gThî S¨n TiÒn Th­ëng	cdkey	1	3055	19	1								
20	Hoµn thµnh 1 lÇn nhiÖm vô Thî S¨n TiÒn Th­ëng	cdkey	1	3055	20	1								
21	aThî S¨n TiÒn Th­ëng	cdkey	1	3055	21	1								
22	gNhiÖm vô ®µo kho b¸u	cdkey	1	3055	22	1								
23	Hoµn thµnh 1 lÇn nhiÖm vô §µo Kho B¸u	cdkey	1	3055	23	1								
24	aNhiÖm vô ®µo kho b¸u	cdkey	1	3055	24	1								
25	gL­¬ng S¬n	cdkey	1	2852	1	1								
26	Hoµn thµnh 1 lÇn cöa ¶i L­¬ng S¬n	cdkey	1	2852	2	1								
27	aL­¬ng S¬n	cdkey	1	2852	3	1								
28	gV¹n KiÕm Tròng	cdkey	1	2852	4	1								
29	Tham gia 1 lÇn V¹n KiÕm Tròng	cdkey	1	2852	5	1								
30	aV¹n KiÕm Tròng	cdkey	1	2852	6	1								
31	g§Þa HuyÒn Cung	cdkey	1	2852	7	1								
32	Tham gia 1 lÇn §Þa HuyÒn Cung	cdkey	1	2852	8	1								
33	a§Þa HuyÒn Cung	cdkey	1	2852	9	1								
34	gTh¸i NhÊt Th¸p	cdkey	1	2852	10	1								
35	Tham gia 1 lÇn Th¸i NhÊt Th¸p	cdkey	1	2852	11	1								
36	aTh¸i NhÊt Th¸p	cdkey	1	2852	12	1								
37	gTrång 1 C©y B¸t Nh·-Nhá	cdkey	1	2852	13	1								
38	Trång vµ thu ho¹ch 1 C©y B¸t Nh·-Nhá	cdkey	1	2852	14	1								
39	aTrång 1 C©y B¸t Nh·-Nhá	cdkey	1	2852	15	1								
40	gTrång 1 C©y Tø Linh	cdkey	1	2852	16	1								
41	Trång vµ thu ho¹ch 1 C©y Tø Linh	cdkey	1	2852	17	1								
42	aTrång 1 C©y Tø Linh	cdkey	1	2852	18	1								
43	gTrång 1 C©y H¹t Gièng	cdkey	1	2852	19	1								
44	Trång vµ thu ho¹ch 1 C©y H¹t Gièng	cdkey	1	2852	20	1								
45	aTrång 1 C©y H¹t Gièng	cdkey	1	2852	21	1								
46	gPK ThÕ Lùc Ba Phe	cdkey	1	2852	22	1								
47	§¸nh b¹i 1 ng­êi ch¬i phe ®Þch cña thÕ lùc kh¸c	cdkey	1	2852	23	1								
48	aPK ThÕ Lùc Ba Phe	cdkey	1	2852	24	1								
49	gChiÕn DÞch Th«n Trang	cdkey	1	2852	25	1								
50	Tham gia 1 lÇn Th«n lµng chiÕn	cdkey	1	2852	26	1								
51	aChiÕn DÞch Th«n Trang	cdkey	1	2852	27	1								
52	gChiÕn DÞch Th¶o Cèc	cdkey	1	2852	28	1								
53	Tham gia 1 lÇn Th¶o cèc chiÕn	cdkey	1	2852	29	1								
54	aChiÕn DÞch Th¶o Cèc	cdkey	1	2852	30	1								
55	gPh¸o §µi ChiÕn	cdkey	1	2853	1	1								
56	Tham gia 1 lÇn Ph¸o ®µi chiÕn	cdkey	1	2853	2	1								
57	aPh¸o §µi ChiÕn	cdkey	1	2853	3	1								
58	Hoµn thµnh gia nhËp bang héi	cdkey	2											
59	aGia nhËp bang héi	cdkey	1	3056	1	1								
60	Nép 300 ®iÓm tÝch lòy tö quang (Sau khi giao nhiÖm vô th× hai bªn sÏ bÞ trõ 300 ®iÓm tÝch lòy tö quang)	cdkey	0	652	1	300								
61	aT¸i chiÕn ThÇn Thó	cdkey	1	3056	2	1								
62	Tham gia tÝnh n¨ng Bang Héi Vinh Danh, giao nép 10 ®iÓm cèng hiÕn bang héi	cdkey	1	3056	3	1								
63	aNép ®iÓm cèng hiÕn Bang ph¸i	cdkey	1	3056	4	1								
64	NhËn phÇn th­ëng Bang Héi Vinh Danh	cdkey	1	3056	5	1								
65	aTh­ëng cña Bang Héi Vinh Danh	cdkey	1	3056	6	1								
66	KÝch ho¹t danh phËn §¹i HiÖp	cdkey	3
67	aDanh phËn §¹i HiÖp	cdkey	1	3057	1	1
68	Gia nhËp 1 thÕ lùc trong ba phe	cdkey	0	3286	1	1								
69	aGia nhËpThÕ lùc	cdkey	1	3057	2	1								
70	Hoµn thµnh 1 lÇn vËn tiªu	cdkey	1	3057	3	1								
71	aVËn Tiªu	cdkey	1	3057	4	1								
72	Hoµn thµnh 1 lÇn c­íp tiªu	cdkey	1	3057	5	1								
73	a§o¹t Tiªu	cdkey	1	3057	6	1								
74	Hoµn thµnh 1 lÇn nhiÖm vô trång c©y	cdkey	1	3057	7	1								
75	aTrång c©y	cdkey	1	3057	8	1								
76	Hoµn thµnh 1 lÇn nhiÖm vô ®µo r­¬ng	cdkey	1	3057	9	1								
77	a§µo b¶o r­¬ng	cdkey	1	3057	10	1								
78	Hoµn thµnh 1 lÇn nhiÖm vô Thî S¨n TiÒn Th­ëng	cdkey	1	3057	11	1								
79	aThî S¨n TiÒn Th­ëng	cdkey	1	3057	12	1								
80	Trång vµ thu ho¹ch 1 C©y B¸t Nh· Lín	cdkey	1	3057	13	1								
81	aTrång 1 C©y B¸t Nh· Lín	cdkey	1	3057	14	1								
82	Trång vµ thu ho¹ch 1 C©y B¸t Nh·-Nhá	cdkey	1	3057	15	1								
83	aTrång 1 C©y B¸t Nh·-Nhá	cdkey	1	3057	16	1								
84	Trång vµ thu ho¹ch 1 H¹t Gièng	cdkey	1	3057	17	1								
85	aTrång 1 H¹t Gièng	cdkey	1	3057	18	1								
86	Trång vµ thu ho¹ch 1 C©y Tø Linh	cdkey	1	3057	19	1								
87	aTrång 1 C©y Tø Linh	cdkey	1	3057	20	1								
88	Dïng 8 Ng«i Sao May M¾n	cdkey	1	3057	21	1
89	aSö dông 8 Ng«i Sao May M¾n	cdkey	1	3057	22	1
90	Dïng 100 N÷ Oa B¶o H¹p	cdkey	1	3057	23	1
91	aSö dông 100 N÷ Oa B¶o H¹p	cdkey	1	3057	24	1
92	§¹t cÊp 90	cdkey	5	1	90
93	§¹t cÊp 92	cdkey	5	1	92									
94	§¹t chuyÓn sinh 5	cdkey	4	1	5									
95	§¹t chuyÓn sinh 6	cdkey	4	1	6									
96	§¹t chuyÓn sinh 7	cdkey	4	1	7									
97	§¹t chuyÓn sinh 8	cdkey	4	1	8									
98	§iÓm Danh Väng ®¹t 1000	cdkey	6	1	1000									
99	§iÓm Danh Väng ®¹t 3000	cdkey	6	1	3000									
100	§iÓm Danh Väng ®¹t 6000	cdkey	6	1	6000									
101	§iÓm Danh Väng ®¹t 8000	cdkey	6	1	8000									
102	§iÓm Danh Väng ®¹t 10000	cdkey	6	1	10000									
103	§iÓm Danh Väng ®¹t 12000	cdkey	6	1	12000									
104	§iÓm Danh Väng ®¹t 15000	cdkey	6	1	15000									
105	§iÓm Danh Väng ®¹t 16000	cdkey	6	1	16000									
106	§iÓm S­ M«n ®¹t 1000	cdkey	0	336	1	1000								
107	§iÓm S­ M«n ®¹t 3000	cdkey	0	336	1	3000								
108	§iÓm S­ M«n ®¹t 6000	cdkey	0	336	1	6000								
109	§iÓm S­ M«n 8000	cdkey	0	336	1	8000								
110	§iÓm S­ M«n ®¹t 10000	cdkey	0	336	1	10000								
111	§iÓm S­ M«n ®¹t 12000	cdkey	0	336	1	12000								
112	§iÓm S­ M«n ®¹t 15000	cdkey	0	336	1	15000								
113	§iÓm S­ M«n ®¹t 16000	cdkey	0	336	1	16000								
114	C«ng Tr¹ng ®¹t 10000	cdkey	7	1	10000									
115	C«ng Tr¹ng ®¹t 30000	cdkey	7	1	30000									
116	C«ng Tr¹ng ®¹t 40000	cdkey	7	1	40000									
117	C«ng Tr¹ng ®¹t 80000	cdkey	7	1	80000									
118	C«ng Tr¹ng ®¹t 120000	cdkey	7	1	120000									
119	C«ng Tr¹ng ®¹t 180000	cdkey	7	1	180000									
120	C«ng Tr¹ng ®¹t 250000	cdkey	7	1	250000									
121	§iÓm C«ng Tr¹ng ®¹t 350000	cdkey	7	1	350000									
122	aGia NhËp Giang Hå	cdkey	1	3051	1	1								
123	aTiÓu H÷u Së Thµnh	cdkey	1	3051	2	1								
124	aS¬ XuÊt Mao L­	cdkey	1	3051	3	1								
125	aTiÓu H÷u Danh KhÝ	cdkey	1	3051	4	1								
126	a§¹i Lang §µo Sa	cdkey	1	3051	5	1								
127	aTr¸ng ChÝ L¨ng V©n	cdkey	1	3051	6	1								
128	aUy Phong B¸t DiÖn	cdkey	1	3051	7	1								
129	aKhÝ Tr¸ng Hµ S¬n	cdkey	1	3051	8	1								
130	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 5	cdkey	0	3052	1	5								
131	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 25	cdkey	0	3052	1	25								
132	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 50	cdkey	0	3052	1	50								
133	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 100	cdkey	0	3052	1	100								
134	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 200	cdkey	0	3052	1	200								
135	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 300	cdkey	0	3052	1	300								
136	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 400	cdkey	0	3052	1	400								
137	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 500	cdkey	0	3052	1	500								
138	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 800	cdkey	0	3052	1	800								
139	Tiªu phÝ Thiªn Kiªu LÖnh t¹i phã b¶n hoÆc Tô B¶o Trai ®¹t 1200	cdkey	0	3052	1	1200								
140	aPhong Y Tóc Thùc	cdkey	1	3051	9	1								
141	aUy Phong B¸t DiÖn	cdkey	1	3051	10	1								
142	aGia C¶nh Kh¸ Gi¶	cdkey	1	3051	11	1								
143	a§¹i Phó §¹i Quý	cdkey	1	3051	12	1								
144	aTµi §¹i KhÝ Th«	cdkey	1	3051	13	1								
145	aGia Tµi V¹n Qu¸n	cdkey	1	3051	14	1								
146	aPhó Gi¸p Thiªn H¹	cdkey	1	3051	15	1								
147	aPhó Kh¶ §Þch Quèc	cdkey	1	3051	16	1								
148	aPhó LiÖt Thiªn Tö	cdkey	1	3051	17	1								
149	aHång Phóc Thiªn H¹	cdkey	1	3051	18	1								
150	§iÓm n¨ng ®éng ®¹t 18000	cdkey	0	3053	1	18000								
151	§iÓm n¨ng ®éng ®¹t 1000	cdkey	0	3053	1	1000								
152	§iÓm n¨ng ®éng ®¹t 19000	cdkey	0	3053	1	19000								
153	§iÓm n¨ng ®éng ®¹t 1700	cdkey	0	3053	1	1700								
154	§iÓm n¨ng ®éng ®¹t 2000	cdkey	0	3053	1	2000								
155	§iÓm n¨ng ®éng ®¹t 2400	cdkey	0	3053	1	2400								
156	§iÓm n¨ng ®éng ®¹t 2800	cdkey	0	3053	1	2800								
157	§iÓm n¨ng ®éng ®¹t 3100	cdkey	0	3053	1	3100								
158	§iÓm n¨ng ®éng ®¹t 3500	cdkey	0	3053	1	3500								
159	§iÓm n¨ng ®éng ®¹t 4000	cdkey	0	3053	1	4000								
160	§iÓm n¨ng ®éng ®¹t 5000	cdkey	0	3053	1	5000								
161	§iÓm n¨ng ®éng ®¹t 6000	cdkey	0	3053	1	6000								
162	§iÓm n¨ng ®éng ®¹t 7000	cdkey	0	3053	1	7000								
163	§iÓm n¨ng ®éng ®¹t 8500	cdkey	0	3053	1	8500								
164	§iÓm n¨ng ®éng ®¹t 9500	cdkey	0	3053	1	9500								
165	§iÓm n¨ng ®éng ®¹t 13000	cdkey	0	3053	1	13000								
166	§iÓm n¨ng ®éng ®¹t 15000	cdkey	0	3053	1	15000								
167	§iÓm n¨ng ®éng ®¹t 16000	cdkey	0	3053	1	16000								
168	§iÓm n¨ng ®éng ®¹t 17000	cdkey	0	3053	1	17000								
169	§iÓm n¨ng ®éng ®¹t 20000	cdkey	0	3053	1	20000								
170	§iÓm n¨ng ®éng ®¹t 22000	cdkey	0	3053	1	22000								
171	§iÓm n¨ng ®éng ®¹t 24000	cdkey	0	3053	1	24000								
172	§iÓm n¨ng ®éng ®¹t 25500	cdkey	0	3053	1	25500								
173	§iÓm n¨ng ®éng ®¹t 26000	cdkey	0	3053	1	26000								
174	§iÓm n¨ng ®éng ®¹t 27000	cdkey	0	3053	1	27000								
175	§iÓm n¨ng ®éng ®¹t 28000	cdkey	0	3053	1	28000								
176	a§iÓm n¨ng ®éng ®¹t 18000	cdkey	1	3054	1	1								
177	a§iÓm n¨ng ®éng ®¹t 1000	cdkey	1	3054	2	1								
178	a§iÓm n¨ng ®éng ®¹t 19000	cdkey	1	3054	3	1								
179	a§iÓm n¨ng ®éng ®¹t 1700	cdkey	1	3054	4	1								
180	a§iÓm n¨ng ®éng ®¹t 2000	cdkey	1	3054	5	1								
181	a§iÓm n¨ng ®éng ®¹t 2400	cdkey	1	3054	6	1								
182	a§iÓm n¨ng ®éng ®¹t 2800	cdkey	1	3054	7	1								
183	a§iÓm n¨ng ®éng ®¹t 3100	cdkey	1	3054	8	1								
