id	name	level	count	potential	Attr1Name	Attr1Key	Attr1Value	Attr2Name	Attr2Key	Attr2Value	Attr3Name	Attr3Key	Attr3Value	Attr4Name	Attr4Key	Attr4Value	Attr5Name	Attr5Key	Attr5Value	Attr6Name	Attr6Key	Attr6Value	Attr7Name	Attr7Key	Attr7Value	Attr8Name	Attr8Key	Attr8Value	Attr9Name	Attr9Key	Attr9Value	Attr10Name	Attr10Key	Attr10Value	Attr11Name	Attr11Key	Attr11Value	Attr12Name	Attr12Key	Attr12Value	Attr13Name	Attr13Key	Attr13Value	Attr14Name	Attr14Key	Attr14Value	Attr15Name	Attr15Key	Attr15Value
1	Hãa C¶nh 1	1	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	50	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	50
2	Hãa C¶nh 2	2	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	100	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	100
3	Hãa C¶nh 3	3	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	150	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	150
4	Hãa C¶nh 4	4	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	200	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	200
5	Hãa C¶nh 5	5	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	250	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	250
6	Hãa C¶nh 6	6	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	300	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	300
7	Hãa C¶nh 7	7	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	350	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	350
8	Hãa C¶nh 8	8	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	400	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	400
9	Hãa C¶nh 9	9	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	450	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	450
10	Hãa C¶nh 10	10	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	0	V« Cô t¨ng	state_destiny_armor_point_add	500	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng 	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	500
