id	name	level	count(abandon)	potential	Attr1Name	Attr1Key	Attr1Value	Attr2Name	Attr2Key	Attr2Value	Attr3Name	Attr3Key	Attr3Value	Attr4Name	Attr4Key	Attr4Value	Attr5Name	Attr5Key	Attr5Value	Attr6Name	Attr6Key	Attr6Value	Attr7Name	Attr7Key	Attr7Value	Attr8Name	Attr8Key	Attr8Value	Attr9Name	Attr9Key	Attr9Value	Attr10Name	Attr10Key	Attr10Value	Attr11Name	Attr11Key	Attr11Value	Attr12Name	Attr12Key	Attr12Value	Attr13Name	Attr13Key	Attr13Value	Attr14Name	Attr14Key	Attr14Value	Attr15Name	Attr15Key	Attr15Value
1	Tï Ng­u	1	0	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	0	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
2	Nhai XÕ	2	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	0	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
3	Trµo Phong	3	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	0	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	0	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
4	Bå Lao	4	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	0	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	0	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
5	Toan Nghª	5	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	0	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	0	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
6	B¸ H¹	6	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	8	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	8	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	0	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	0	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
7	BÖ Ng¹n	7	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	8	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	8	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	8	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	8	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	0	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	0	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
8	Phô HÝ	8	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	8	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	8	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	8	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	8	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	8	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	8	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	0	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	0	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
9	Li VÉn	9	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	8	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	8	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	8	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	8	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	8	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	8	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	2	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	2	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	0
10	Thanh Long	10	50	0	Sinh lùc tèi ®a t¨ng	state_life_max_point_add	3000	V« Cô t¨ng	state_destiny_armor_point_add	25	C«ng Ngò Hµnh-Méc t¨ng	state_element_wood_attack_point_add	8	Thñ Ngò Hµnh-Kim t¨ng	state_element_metal_defend_point_add	8	C«ng Ngò Hµnh-Thæ t¨ng	state_element_earth_attack_point_add	8	Thñ Ngò Hµnh-Méc t¨ng	state_element_wood_defend_point_add	8	C«ng Ngò Hµnh-Thñy t¨ng	state_element_water_attack_point_add	8	Thñ Ngò Hµnh-Thæ t¨ng	state_element_earth_defend_point_add	8	C«ng Ngò Hµnh-Háa t¨ng	state_element_fire_attack_point_add	8	Thñ Ngò Hµnh-Thñy t¨ng	state_element_water_defend_point_add	8	C«ng Ngò Hµnh-Kim t¨ng	state_element_metal_attack_point_add	8	Thñ Ngò Hµnh-Háa t¨ng	state_element_fire_defend_point_add	8	C«ng kÝch Ngo¹i c«ng t¨ng	state_p_attack_percent_add	2	C«ng kÝch Néi c«ng t¨ng	state_m_attack_percent_add	2	Ph¸ §Þch t¨ng	state_destiny_attack_point_add	15
