C¸c lo¹i ®¹o cô	§¹o cô cô thÓ	Ph©n lo¹i chi tiÕt	Thuéc tÝnh ngò hµnh	CÊp	Ng©n l­îng	Chän	Danh väng s­ m«n	 ®ång 	Ghi nhí giao ®Þch?	Tªn ®¹o cô (®Æt cuèi cïng, kh«ng ®äc theo tr×nh tù)
0	0	1	0	1	8			0		HiÖp ThiÕu Hé UyÓn
0	0	2	0	1	312			0		Tr¹m Ng©n Hé UyÓn
0	0	3	0	1	1148			0		Phi Ng­ thñ
0	0	4	0	1	2764			0		Hång Ma thñ
0	0	5	0	1	3668			0		Xuyªn V©n thñ
0	0	6	0	1	4648			0		Tam D­¬ng thñ
0	0	7	0	1	6416			0		Thiªn Ng­u thñ
0	0	8	0	1	9704			0		BÝch Xµ thñ
0	0	9	0	1	14244			0		Kh¸ng Long thñ
0	0	10	0	1	21472			0		T­êng Ph­îng
0	0	11	0	1	30868			0		Né Long
0	0	12	0	1	41300			0		Ngò Ph­¬ng Quû Chóng
0	0	13	0	1	56576			0		Nª Lª ®Þa ngôc
0	2	14	0	1	8			0		HiÖp ThiÕu kiÕm
0	2	15	0	1	296			0		Tïng V¨n kiÕm
0	2	16	0	1	1092			0		Linh Xµ kiÕm
0	2	17	0	1	2624			0		XÝch Sa kiÕm
0	2	18	0	1	3484			0		Thanh Minh kiÕm
0	2	19	0	1	4416			0		HuyÕt S¸t kiÕm
0	2	20	0	1	6096			0		Hµm Quang kiÕm
0	2	21	0	1	9216			0		TÝch D­¬ng
0	2	22	0	1	13532			0		HuyÒn §iÖn
0	2	23	0	1	20400			0		Thanh S­¬ng
0	2	24	0	1	29324			0		Dao Quang
0	2	25	0	1	39236			0		BÝch HuyÕt
0	2	26	0	1	53748			0		HuyÒn thiÕt Träng KiÕm
0	5	27	0	1	8			0		HiÖp ThiÕu c«n
0	5	28	0	1	308			0		TÒ Mi c«n
0	5	29	0	1	1136			0		Thñy Háa c«n
