Condition_ID	Type	Value_1	Value_2	Value_3	Value_4	Value_5	Value_6	Remark		
sè hiÖu ®iÒu kiÖn	Lo¹i							Type: ExTask (kh«ng cÇn ghi, thÓ hiÖn nhiÖm vô nµy cÇn ph¶i hoµn thµnh nhiÖm vô tr­íc ®ã)		
30001	Lv	80						Lv (kiÓm tra cÊp ®é, ®iÒn 70 tøc lµ lín h¬n hoÆc b»ng cÊp 70)		
30002	ExTask							Item(kiÓm tra item, sè 1,sè 2,sè 3 ®iÒn vµo id item, sè 4 ®iÒn vµo sè l­îng item, sè 5 ®iÒn vµo tªn item) sè l­îng item<0 nghÜa lµ cã bao nhiªu th× trõ bao nhiªu		
30003	Item	2	0	30008	1	Thanh Lang V­¬ng Nha	NhËn ®­îc %d/1 Thanh Lang V­¬ng Nha	Tv (kiÓm tra biÕn l­îng nhiÖm vô, trÞ 1 lµ biÕn l­îng ID, trÞ 2 lµ trÞ sè biÕn l­îng, trÞ 3 lµ 1 ==, 2 >, 3 >=, 4 <, 5 <=, 6 != biÕn l­îng nhiÖm vô t×m hiÓu thªm t¹i task_id.lua#		
30004	Item	2	0	30007	1	Thæ Lang V­¬ng Nha	NhËn ®­îc %d/1 Thæ Lang V­¬ng Nha			
30005	Item	2	0	30009	10	§Ò HuyÕt Nha HuyÕt	NhËn ®­îc %d/10 giät §Ò HuyÕt Nha HuyÕt	TaskID (kiÓm trang tr¹ng th¸i cña id nhiÖm vô, trÞ 1 lµ id nhiÖm vô, trÞ 2 lµ trÞ sè tr¹ng th¸i: 1 thÓ hiÖn nhiÖm vô nµy cÇn hoµn thµnh, 0 thÓ hiÖn nhiÖm vô nµy vÉn ch­a nhËn		
30006	Item	1	0	14	1	Ngäc Linh t¸n	Mua 1 b×nh Ngäc Linh T¸n	Killer (giÕt qu¸i, trÞ 1 ®iÒn tªn qu¸i, trÞ 2 ®iÒn sè l­îng)		
30007	Item	2	0	351	1	Lé thñy	Mua 1 Lé Thñy	Meridian(Value_1 lµ so s¸nh cÊp ®é, Value_2 lµ 1. b»ng, 2. lín h¬n, 3. lín h¬n hoÆc b»ng, 4. nhá h¬n, 5. nhá h¬n hoÆc b»ng)		
30008	Item	2	0	30011	10	MËt cãc	Tiªu diÖt Cãc §éc,  %d/10 mËt cãc	Sex (yªu cÇu giíi tÝnh, 1 lµ nam, 2 lµ n÷)		
30009	Item	2	0	30029	1	Hoa S¬n LÖnh Kú	Mang theo Hoa S¬n LÖnh Kú	CheckPlayerRoute(1, ch­a gia nhËp nh¸nh ph¸i míi ®­îc nhËn, 2, ®· gia nhËp nh¸nh ph¸i míi ®­îc nhËn)		
