AppendixID	Route	ItemAttr1	Rate1	NeedExp1	ItemAttr2	Rate2	NeedExp2	ItemAttr3	Rate3	NeedExp3	ItemAttr4	Rate4	NeedExp4	ItemAttr5	Rate5	NeedExp5	ItemAttr6	Rate6	NeedExp6	ItemAttr7	Rate7	NeedExp7	ItemAttr8	Rate8	NeedExp8
1	2	14094	1;100	1	14095	1;100	1	14025	1;15	1	14028	10;30	1	14029	10;30	1	14030	1;20	1	14161	1;100	1	14162	1;7	100000000
2	3	14094	1;100	1	14095	1;100	1	14026	1;15	1	14031	30;50	1	14032	10;30	1	14033	1;20	1	14161	1;100	1	14162	1;7	100000000
3	4	14094	1;100	1	14095	1;100	1	14026	1;15	1	14034	30;50	1	14035	10;30	1	14036	1;20	1	14161	1;100	1	14162	1;7	100000000
4	6	14094	1;100	1	14095	1;100	1	14027	5;20	1	14037	30;50	1	14038	10;30	1	14039	1;20	1	14161	1;100	1	14162	1;7	100000000
5	8	14094	1;100	1	14095	1;100	1	14026	1;15	1	14088	50;100	1	14089	1;10	1	14090	15;35	1	14161	1;100	1	14162	1;7	100000000
6	9	14094	1;100	1	14095	1;100	1	14026	1;15	1	14091	30;50	1	14092	30;50	1	14093	1;20	1	14161	1;100	1	14162	1;7	100000000
7	11	14094	1;100	1	14095	1;100	1	14025	1;15	1	14043	30;50	1	14044	30;50	1	14045	1;20	1	14161	1;100	1	14162	1;7	100000000
8	12	14094	1;100	1	14095	1;100	1	14027	5;20	1	14046	30;50	1	14047	10;30	1	14048	1;20	1	14161	1;100	1	14162	1;7	100000000
9	14	14094	1;100	1	14095	1;100	1	14026	1;15	1	14049	30;50	1	14050	10;30	1	14051	1;20	1	14161	1;100	1	14162	1;7	100000000
10	15	14094	1;100	1	14095	1;100	1	14027	5;20	1	14052	30;50	1	14053	10;30	1	14054	1;20	1	14161	1;100	1	14162	1;7	100000000
11	17	14094	1;100	1	14095	1;100	1	14025	1;15	1	14055	30;50	1	14056	10;30	1	14057	1;20	1	14161	1;100	1	14162	1;7	100000000
12	18	14094	1;100	1	14095	1;100	1	14027	5;20	1	14058	30;50	1	14059	10;30	1	14060	1;20	1	14161	1;100	1	14162	1;7	100000000
13	20	14094	1;100	1	14095	1;100	1	14027	5;20	1	14061	30;50	1	14062	10;30	1	14063	1;20	1	14161	1;100	1	14162	1;7	100000000
14	21	14094	1;100	1	14095	1;100	1	14026	1;15	1	14064	30;50	1	14065	10;30	1	14066	1;20	1	14161	1;100	1	14162	1;7	100000000
15	23	14094	1;100	1	14095	1;100	1	14026	1;15	1	14067	30;50	1	14069	1;20	1	14068	10;30	1	14161	1;100	1	14162	1;7	100000000
16	25	14094	1;100	1	14095	1;100	1	14025	1;15	1	14070	30;50	1	14071	1;10	1	14072	1;20	1	14161	1;100	1	14162	1;7	100000000
17	26	14094	1;100	1	14095	1;100	1	14025	1;15	1	14073	30;50	1	14074	1;10	1	14075	1;20	1	14161	1;100	1	14162	1;7	100000000
18	27	14094	1;100	1	14095	1;100	1	14026	1;15	1	14076	30;50	1	14077	30;50	1	14078	1;20	1	14161	1;100	1	14162	1;7	100000000
19	29	14094	1;100	1	14095	1;100	1	14025	1;15	1	14079	10;30	1	14080	30;50	1	14081	1;20	1	14161	1;100	1	14162	1;7	100000000
20	30	14094	1;100	1	14095	1;100	1	14027	5;20	1	14082	30;50	1	14083	10;30	1	14084	1;20	1	14161	1;100	1	14162	1;7	100000000
21	31	14094	1;100	1	14095	1;100	1	14025	1;15	1	14040	10;30	1	14041	30;50	1	14042	1;20	1	14161	1;100	1	14162	1;7	100000000
22	32	14094	1;100	1	14095	1;100	1	14027	5;20	1	14085	30;50	1	14086	10;30	1	14087	1;20	1	14161	1;100	1	14162	1;7	100000000
