ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
1	B¸n Thó c­ìi	0;105;15	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
2	B¸n Thó c­ìi	0;105;16	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
3	B¸n Thó c­ìi	0;105;19	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
4	B¸n Thó c­ìi	0;105;49	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
5	B¸n Thó c­ìi	0;105;50	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
6	B¸n Thó c­ìi	0;105;20	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
7	B¸n Thó c­ìi	0;105;34	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
8	B¸n Thó c­ìi	0;105;30001	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
9	B¸n Thó c­ìi	0;105;30002	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
10	B¸n Thó c­ìi	0;105;30003	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
11	B¸n Thó c­ìi	0;105;30004	7	1;1;1	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
12	UyÓn C©u Ký TuÊn	0;105;1	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
13	UyÓn C©u Ký TuÊn	0;105;2	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
14	UyÓn C©u Ký TuÊn	0;105;3	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
15	UyÓn C©u Ký TuÊn	0;105;4	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
16	UyÓn C©u Ký TuÊn	0;105;5	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
17	UyÓn C©u Ký TuÊn	0;105;6	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
18	UyÓn C©u Ký TuÊn	0;105;7	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
19	UyÓn C©u Ký TuÊn	0;105;8	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	15
20	UyÓn C©u Ký TuÊn	0;105;9	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
21	UyÓn C©u Ký TuÊn	0;105;11	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
22	UyÓn C©u Ký TuÊn	0;105;12	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
23	UyÓn C©u Ký TuÊn	0;105;13	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
24	UyÓn C©u Ký TuÊn	0;105;14	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
25	UyÓn C©u Ký TuÊn	0;105;17	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
26	UyÓn C©u Ký TuÊn	0;105;18	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	30
27	UyÓn C©u Ký TuÊn	0;105;37	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	100
28	D­¬ng M«n chiÕn m·	0;105;10	7	1;1;1	10			3	0.3	0;40	®øng yªn b×nh th­êng	15
29	D­¬ng M«n chiÕn m·	0;105;22	7	1;1;1	10			3	0.3	0;40	®øng yªn b×nh th­êng	15
30	D­¬ng M«n chiÕn m·	0;105;23	7	1;1;1	10			3	0.3	0;40	®øng yªn b×nh th­êng	15
31	D­¬ng M«n chiÕn m·	0;105;24	7	1;1;1	10			3	0.3	0;40	®øng yªn b×nh th­êng	50
32	D­¬ng M«n chiÕn m·	0;105;38	7	1;1;1	10			3	0.3	0;40	®øng yªn b×nh th­êng	100
33	ThÇn C©u	0;105;39	7	1;1;1	10			4	0.3	0;40	®øng yªn b×nh th­êng	50
34	ThÇn C©u	0;105;40	7	1;1;1	10			4	0.3	0;40	®øng yªn b×nh th­êng	50
35	ThÇn C©u	0;105;36	7	1;1;1	10			4	0.3	0;40	®øng yªn b×nh th­êng	100
36	Nguyªn so¸i chiÕn m·	0;105;51	7	1;1;1	10			5	0.3	0;40	®øng yªn b×nh th­êng	15
37	Nguyªn so¸i chiÕn m·	0;105;52	7	1;1;1	10			5	0.3	0;40	®øng yªn b×nh th­êng	15
38	Thiªn LÝ Truy Phong	0;105;107	7	1;1;1	10			6	0.3	0;40	®øng yªn b×nh th­êng	300
39	Thiªn LÝ Truy Phong	0;105;108	7	1;1;1	10			6	0.3	0;40	®øng yªn b×nh th­êng	300
40	Thiªn LÝ Truy Phong	0;105;109	7	1;1;1	10			6	0.3	0;40	®øng yªn b×nh th­êng	300
41	Kú Thó	0;105;30044	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	500
42	Kú Thó	0;105;166	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	300
43	Kú Thó	0;105;30048	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	300
44	Kú Thó	0;105;30000	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	300
45	Kú Thó	0;105;30049	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	300
46	Kú Thó	0;105;33	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	300
47	Kú Thó	0;105;141	7	1;1;1	50			25	0.3	0;40	®øng yªn b×nh th­êng	500
48	Linh Thó	0;105;30017	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
49	Linh Thó	0;105;30018	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
50	Linh Thó	0;105;30019	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
51	Linh Thó	0;105;30020	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
52	Linh Thó	0;105;30021	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
53	Linh Thó	0;105;30031	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
54	Linh Thó	0;105;30032	7	1;1;1	50			7	0.3	0;40	®øng yªn b×nh th­êng	150
55	Hao Ng­u	0;105;30022	7	1;1;1	50			8	0.3	0;40	®øng yªn b×nh th­êng	150
56	Hao Ng­u	0;105;30023	7	1;1;1	50			8	0.3	0;40	®øng yªn b×nh th­êng	150
57	Hao Ng­u	0;105;30024	7	1;1;1	50			8	0.3	0;40	®øng yªn b×nh th­êng	150
58	Hæ	0;105;30025	7	1;1;1	50			9	0.3	0;40	®øng yªn b×nh th­êng	150
59	Hæ	0;105;30026	7	1;1;1	50			9	0.3	0;40	®øng yªn b×nh th­êng	150
60	Hæ	0;105;30027	7	1;1;1	50			9	0.3	0;40	®øng yªn b×nh th­êng	150
61	B¸o tö	0;105;30028	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
62	B¸o tö	0;105;30029	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
