ID	G	D	P	tG	tD	tP	CostPiece
1	0	105	119	0	105	30206	1000
2	0	105	181	0	105	30205	1000
3	0	105	117	0	105	30204	1000
4	0	105	199	0	105	30203	1000
5	0	105	180	0	105	30202	1000
6	0	105	30001	0	105	30100	1000
7	0	105	30002	0	105	30101	1000
8	0	105	30003	0	105	30102	1000
9	0	105	30004	0	105	30103	1000
10	0	105	30005	0	105	30104	1000
11	0	105	30006	0	105	30105	1000
12	0	105	30007	0	105	30106	1000
13	0	105	30008	0	105	30107	1000
14	0	105	30009	0	105	30108	1000
15	0	105	30010	0	105	30109	1000
16	0	105	30011	0	105	30110	1000
17	0	105	30012	0	105	30111	1000
18	0	105	30013	0	105	30112	1000
19	0	105	30014	0	105	30113	1000
20	0	105	30015	0	105	30114	1000
21	0	105	30016	0	105	30115	1000
22	0	105	30017	0	105	30116	1000
23	0	105	30018	0	105	30117	1000
24	0	105	30019	0	105	30118	1000
25	0	105	30020	0	105	30119	1000
26	0	105	30021	0	105	30120	1000
27	0	105	30022	0	105	30121	1000
28	0	105	30023	0	105	30122	1000
29	0	105	30024	0	105	30123	1000
30	0	105	30025	0	105	30124	1000
31	0	105	30026	0	105	30125	1000
32	0	105	30027	0	105	30126	1000
33	0	105	30028	0	105	30127	1000
34	0	105	30029	0	105	30128	1000
35	0	105	30030	0	105	30129	1000
36	0	105	30031	0	105	30130	1000
37	0	105	30032	0	105	30131	1000
38	0	105	30033	0	105	30132	1000
39	0	105	30038	0	105	30133	1000
40	0	105	30039	0	105	30134	1000
41	0	105	30040	0	105	30135	1000
42	0	105	30041	0	105	30136	1000
43	0	105	30042	0	105	30137	1000
44	0	105	30043	0	105	30138	1000
45	0	105	30044	0	105	30139	1000
46	0	105	30045	0	105	30140	1000
47	0	105	30046	0	105	30141	1000
48	0	105	30047	0	105	30142	1000
49	0	105	30051	0	105	30143	1000
50	0	105	30052	0	105	30144	1000
51	0	105	30053	0	105	30145	1000
52	0	105	30054	0	105	30146	1000
53	0	105	30055	0	105	30147	1000
54	0	105	30056	0	105	30148	1000
55	0	105	30057	0	105	30149	1000
56	0	105	30058	0	105	30150	1000
57	0	105	30059	0	105	30151	1000
58	0	105	30060	0	105	30152	1000
59	0	105	30061	0	105	30153	1000
60	0	105	101	0	105	30154	1000
61	0	105	102	0	105	30155	1000
62	0	105	105	0	105	30156	1000
63	0	105	148	0	105	30157	1000
64	0	105	149	0	105	30158	1000
65	0	105	150	0	105	30159	1000
66	0	105	151	0	105	30160	1000
67	0	105	152	0	105	30161	1000
68	0	105	153	0	105	30162	1000
69	0	105	154	0	105	30163	1000
70	0	105	162	0	105	30164	1000
71	0	105	167	0	105	30165	1000
72	0	105	168	0	105	30166	1000
73	0	105	169	0	105	30167	1000
74	0	105	170	0	105	30168	1000
75	0	105	173	0	105	30169	1000
76	0	105	184	0	105	30170	1000
77	0	105	185	0	105	30171	1000
78	0	105	186	0	105	30172	1000
79	0	105	187	0	105	30173	1000
80	0	105	188	0	105	30174	1000
81	0	105	189	0	105	30175	1000
82	0	105	191	0	105	30176	1000
83	0	105	196	0	105	30177	1000
84	0	105	197	0	105	30178	1000
85	0	105	198	0	105	30179	1000
86	0	105	200	0	105	30180	1000
87	0	105	201	0	105	30181	1000
88	0	105	202	0	105	30182	1000
89	0	105	203	0	105	30183	1000
90	0	105	204	0	105	30184	1000
91	0	105	205	0	105	30185	1000
92	0	105	206	0	105	30186	1000
93	0	105	207	0	105	30187	1000
94	0	105	208	0	105	30188	1000
95	0	105	209	0	105	30189	1000
96	0	105	210	0	105	30190	1000
97	0	105	10107	0	105	30191	1000
98	0	105	10108	0	105	30192	1000
99	0	105	10109	0	105	30193	1000
100	0	105	10110	0	105	30194	1000
101	0	105	10111	0	105	30195	1000
102	0	105	10112	0	105	30196	1000
103	0	105	192	0	105	30197	1000
104	0	105	193	0	105	30198	1000
105	0	105	194	0	105	30199	1000
106	0	105	195	0	105	30200	1000
107	0	105	110	0	105	30201	1000
108	0	105	163	0	105	30207	1000
109	0	105	114	0	105	30208	1000
110	0	105	113	0	105	30209	1000
111	0	105	177	0	105	30210	1000
112	0	105	178	0	105	30211	1000
113	0	105	179	0	105	30212	1000
114	0	105	211	0	105	30213	1000
115	0	105	212	0	105	30214	1000
116	0	105	213	0	105	30215	1000
117	0	105	214	0	105	30216	1000
118	0	105	215	0	105	30217	1000
119	0	105	216	0	105	30218	1000
120	0	105	217	0	105	30219	1000
121	0	105	218	0	105	30220	1000
122	0	105	219	0	105	30221	1000
123	0	105	220	0	105	30222	1000
124	0	105	221	0	105	30223	1000
125	0	105	222	0	105	30224	1000
126	0	105	223	0	105	30225	1000
127	0	105	224	0	105	30226	1000
128	0	105	225	0	105	30227	1000
129	0	105	226	0	105	30228	1000
130	0	105	227	0	105	30229	1000
131	0	105	228	0	105	30230	1000
132	0	105	229	0	105	30231	1000
133	0	105	230	0	105	30232	1000
134	0	105	231	0	105	30233	1000
135	0	105	232	0	105	30234	1000
136	0	105	233	0	105	30235	1000
137	0	105	234	0	105	30236	1000
138	0	105	235	0	105	30237	1000
139	0	105	236	0	105	30238	1000
140	0	105	237	0	105	30239	1000
141	0	105	238	0	105	30240	1000
142	0	105	239	0	105	30241	1000
143	0	105	240	0	105	30242	1000
