ItemIndex	GroupName	ItemName	Part	AttributeIndex	AttributeLevel	EnchantLevel
1	初战：所有属性提高	初战	1,1,1	713	1	1
2	五行攻击:全五行攻击点数增加，全属性上限增加	五行攻击等级1	0,1,0	1751	1	2
3		五行攻击等级2	0,1,0	1751	2	3
4	天命：天命点数增加，全属性上限增加	天命等级1	0,1,0	1752	1	2
5		天命等级2	0,1,0	1752	2	3
6	强攻：内外攻提高，全属性上限增加	强攻等级1	0,1,0	1753	1	2
7		强攻等级2	0,1,0	1753	2	3
8	伤害：伤害增加，全属性增加，全属性上限提高	伤害等级1	0,1,0	1754	1	2
9		伤害等级2	0,1,0	1754	2	3
10	全属：全属性增加，全属性上限增加	全属等级1	0,1,0	1755	1	2
11		全属等级2	0,1,0	1755	2	3
12	施展：施展速度提高，全属性上限增加	施展等级1	1,0,0	1756	1	2
13		施展等级2	1,0,0	1756	2	3
14	破军：破军增加，全属性上限增加	破军等级1	1,0,0	1757	1	2
15		破军等级2	1,0,0	1757	2	3
16	全属：全属性增加，全属性上限增加	全属等级1	1,0,0	1755	1	2
17		全属等级2	1,0,0	1755	2	3
18	五行防御：全五行防御点数增加，全属性上限增加	五行防御等级1	1,0,0	1758	1	2
19		五行防御等级2	1,0,0	1758	2	3
20	傲骨：傲骨增加，全属性上限增加	傲骨等级1	0,0,1	1759	1	2
21		傲骨等级2	0,0,1	1759	2	3
22	半伤：承受伤害减半概率提高，全属性上限增加	半伤等级1	0,0,1	1760	1	2
23		半伤等级2	0,0,1	1760	2	3
24	迅捷：移动速度提高，全属性上限增加	迅捷等级1	0,0,1	1761	1	2
25		迅捷等级2	0,0,1	1761	2	3
26	全属：全属性增加，全属性上限增加	全属等级1	0,0,1	1755	1	2
27		全属等级2	0,0,1	1755	2	3
