EnhanceID	SuccessRate	_type	Item_Count	Item_GDP	NeedMoney	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	SampleItem_1	StuffName_1	Stuff_2_Need	Stuff_2_Count	Stuff_2_GDP	SampleItem_2	StuffName_2	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	SampleItem_3	StuffName_3	Stuff_4_Need	Stuff_4_Count	Stuff_4_GDP	SampleItem_4	StuffName_4
1	100	jiuzhou	1	0;103;3056	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
2	100	jiuzhou	1	0;103;3057	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
3	100	jiuzhou	1	0;103;3058	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
4	100	jiuzhou	1	0;103;3059	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
5	100	jiuzhou	1	0;103;3060	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
6	100	jiuzhou	1	0;103;3061	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
7	100	jiuzhou	1	0;103;3062	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
8	100	jiuzhou	1	0;103;3063	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
9	100	jiuzhou	1	0;100;3056	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
10	100	jiuzhou	1	0;100;3057	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
11	100	jiuzhou	1	0;100;3058	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
12	100	jiuzhou	1	0;100;3059	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
13	100	jiuzhou	1	0;100;3060	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
14	100	jiuzhou	1	0;100;3061	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
15	100	jiuzhou	1	0;100;3062	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
16	100	jiuzhou	1	0;100;3063	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
17	100	jiuzhou	1	0;101;3056	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
18	100	jiuzhou	1	0;101;3057	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
19	100	jiuzhou	1	0;101;3058	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
20	100	jiuzhou	1	0;101;3059	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
21	100	jiuzhou	1	0;101;3060	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
22	100	jiuzhou	1	0;101;3061	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
23	100	jiuzhou	1	0;101;3062	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
24	100	jiuzhou	1	0;101;3063	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
25	100	jiuzhou	1	0;3;8932	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
26	100	jiuzhou	1	0;0;8933	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
27	100	jiuzhou	1	0;8;8934	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
28	100	jiuzhou	1	0;1;8935	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
29	100	jiuzhou	1	0;2;8936	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
30	100	jiuzhou	1	0;10;8937	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
31	100	jiuzhou	1	0;0;8938	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
32	100	jiuzhou	1	0;5;8939	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
33	100	jiuzhou	1	0;2;8940	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
34	100	jiuzhou	1	0;9;8941	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
