EnhanceLevel	SuccessProbability	Item_Count	Item_GDP	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	Fastness_1	Fastness_2	Fastness_3	Fastness_4	Fastness_5	Fastness_6	Fail_1_Level	Fail_1_Item	Fail_2_Level	Fail_2_Item	GlobalMsg	NeedConfirm
0	100	1	0;-1;-1	0	0	2;1;31096	0	0	2;201;13	10	20	30	40	50	60	0	1	0	1	0	0
1	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	16	26	36	46	57	67	1	1	0	1	0	0
2	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	22	32	42	52	64	74	2	1	1	1	0	0
3	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	28	38	48	58	71	81	3	1	2	1	0	0
4	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	34	44	54	64	78	88	2	1	3	1	0	0
5	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	40	50	60	70	85	95	3	1	4	1	0	0
6	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	46	56	66	76	92	102	4	1	5	1	0	0
7	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	52	62	72	82	99	109	5	1	6	1	0	0
8	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	58	68	78	88	106	116	0	1	7	1	0	0
9	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	64	74	84	94	113	123	0	1	8	1	0	0
10	20	1	0;-1;-1	1	5	2;1;31096	2	1	2;201;13	70	80	90	100	120	130	0	1	9	1	0	0
11	20	1	0;-1;-1	1	5	2;1;31096	1	1	2;201;13	76	86	96	106	127	138	0	0	10	1	0	1
12	15	1	0;-1;-1	1	5	2;1;31096	1	2	2;201;13	82	92	102	112	134	146	0	0	11	1	0	1
13	15	1	0;-1;-1	1	5	2;1;31096	1	3	2;201;13	88	98	108	118	141	154	0	0	12	1	1	1
14	10	1	0;-1;-1	1	5	2;1;31096	1	4	2;201;13	94	104	114	124	148	162	0	0	13	1	1	1
15	5	1	0;-1;-1	1	5	2;1;31096	1	5	2;201;13	100	110	120	130	155	170	0	0	14	1	1	1
