EnhanceLevel	SuccessProbability	NeedLevel	NeedEnhance	NeedQuality	Item_Count	Item_GDP	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	Award_1_Count	Award_1_GDP	Award_2_Count	Award_2_GDP	Award_3_Count	Award_3_GDP	Award_4_Count	Award_4_GDP	NeedRoom	NeedWeight
0	100	0	0	0	1	0;-1;-1																
1	100	1	10	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1							3	0
2	100	1	10	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1							3	0
3	100	1	11	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1	2	2;201;13					4	0
4	100	1	11	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1	2	2;201;13					4	0
5	100	1	12	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1	6	2;201;13					4	0
6	100	1	12	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1	6	2;201;13					4	0
7	100	1	13	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1	12	2;201;13					4	0
8	100	1	13	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1	12	2;201;13					4	0
9	100	1	14	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1	20	2;201;13					4	0
10	100	1	14	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1	20	2;201;13					4	0
11	100	1	15	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1	30	2;201;13					4	0
12	100	1	15	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1	30	2;201;13					4	0
13	100	2	10	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1							3	0
14	100	2	10	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1							3	0
15	100	2	11	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1	2	2;201;13					4	0
16	100	2	11	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1	2	2;201;13					4	0
17	100	2	12	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1	6	2;201;13					4	0
18	100	2	12	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1	6	2;201;13					4	0
19	100	2	13	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1	12	2;201;13					4	0
20	100	2	13	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1	12	2;201;13					4	0
21	100	2	14	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1	20	2;201;13					4	0
22	100	2	14	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1	20	2;201;13					4	0
23	100	2	15	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1	30	2;201;13					4	0
24	100	2	15	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1	30	2;201;13					4	0
25	100	1	0	2	1	0;-1;-1	1	5	2;201;12	1	1	2;95;1231	1	2;95;-1							3	0
26	100	1	0	3	1	0;-1;-1	1	15	2;201;12	1	4	2;95;1231	4	2;95;-1							3	0
27	100	2	0	2	1	0;-1;-1	1	300	2;201;12	1	16	2;111;118	8	2;95;-1							3	0
28	100	2	0	3	1	0;-1;-1	1	999	2;201;12	1	64	2;111;118	32	2;95;-1							3	0
