EnhanceLevel	SuccessProbability	Item_Count	Item_GDP	Award_GDP	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	GlobalMsg
0	100%	1	2;20;-1					
1	100%	1	2;20;100		1	10	2;1;30533	
2	100%	1	2;20;100		1	10	2;1;30533	
3	100%	1	2;20;100		1	10	2;1;30533	
4	100%	1	2;20;100		1	10	2;1;30533	
5	100%	1	2;20;100		1	10	2;1;30533	
6	100%	1	2;20;100		1	10	2;1;30533	
7	100%	1	2;20;100		1	10	2;1;30533	
8	100%	1	2;20;100		1	10	2;1;30533	
9	100%	1	2;20;100		1	10	2;1;30533	
10	100%	1	2;20;100		1	20	2;1;30533	
11	100%	1	2;20;100		1	20	2;1;30533	
12	100%	1	2;20;100		1	20	2;1;30533	
13	100%	1	2;20;100		1	20	2;1;30533	
14	100%	1	2;20;100		1	20	2;1;30533	
15	100%	1	2;20;100		1	20	2;1;30533	
16	100%	1	2;20;100		1	20	2;1;30533	
17	100%	1	2;20;100		1	20	2;1;30533	
18	100%	1	2;20;100		1	20	2;1;30533	
19	100%	1	2;20;100		1	40	2;1;30533	
20	100%	1	2;20;100		1	40	2;1;30533	
21	100%	1	2;20;100		1	40	2;1;30533	
22	100%	1	2;20;100		1	40	2;1;30533	
23	100%	1	2;20;100		1	40	2;1;30533	
24	100%	1	2;20;100		1	40	2;1;30533	
25	100%	1	2;20;100		1	40	2;1;30533	
26	100%	1	2;20;100		1	40	2;1;30533	
27	100%	1	2;20;100		1	40	2;1;30533	
28	100%	1	2;20;100		1	40	2;1;30533	
29	100%	1	2;20;100		1	40	2;1;30533	
30	100%	1	2;20;100		1	20	2;1;30534	
31	100%	1	2;20;100		1	20	2;1;30534	
32	100%	1	2;20;100		1	20	2;1;30534	
33	100%	1	2;20;100		1	20	2;1;30534	
34	100%	1	2;20;100		1	20	2;1;30534	
35	100%	1	2;20;100		1	20	2;1;30534	
36	100%	1	2;20;100		1	20	2;1;30534	
37	100%	1	2;20;100		1	20	2;1;30534	
38	100%	1	2;20;100		1	20	2;1;30534	
39	100%	1	2;20;100		1	20	2;1;30534	
40	100%	1	2;20;100	2;20;101	1	30	2;1;30534	
41	100%	1	2;20;101		1	30	2;1;30534	
42	100%	1	2;20;101		1	30	2;1;30534	
43	100%	1	2;20;101		1	30	2;1;30534	
44	100%	1	2;20;101		1	30	2;1;30534	
45	100%	1	2;20;101		1	30	2;1;30534	
46	100%	1	2;20;101		1	30	2;1;30534	
47	100%	1	2;20;101		1	30	2;1;30534	
48	100%	1	2;20;101		1	30	2;1;30534	
49	100%	1	2;20;101		1	40	2;1;30534	
50	100%	1	2;20;101		1	40	2;1;30534	
51	100%	1	2;20;101		1	40	2;1;30534	
52	100%	1	2;20;101		1	40	2;1;30534	
53	100%	1	2;20;101		1	40	2;1;30534	
54	100%	1	2;20;101		1	40	2;1;30534	
55	100%	1	2;20;101		1	40	2;1;30534	
56	100%	1	2;20;101		1	40	2;1;30534	
57	100%	1	2;20;101		1	40	2;1;30534	
58	100%	1	2;20;101		1	40	2;1;30534	
59	100%	1	2;20;101		1	40	2;1;30534	
60	100%	1	2;20;101	2;20;102	1	15	2;1;30535	
61	100%	1	2;20;102		1	15	2;1;30535	
62	100%	1	2;20;102		1	15	2;1;30535	
63	100%	1	2;20;102		1	15	2;1;30535	
64	100%	1	2;20;102		1	15	2;1;30535	
65	100%	1	2;20;102		1	15	2;1;30535	
66	100%	1	2;20;102		1	15	2;1;30535	
67	100%	1	2;20;102		1	15	2;1;30535	
68	100%	1	2;20;102		1	15	2;1;30535	
69	100%	1	2;20;102		1	15	2;1;30535	
70	100%	1	2;20;102		1	20	2;1;30535	
71	100%	1	2;20;102		1	20	2;1;30535	
72	100%	1	2;20;102		1	20	2;1;30535	
73	100%	1	2;20;102		1	20	2;1;30535	
74	100%	1	2;20;102		1	20	2;1;30535	
75	100%	1	2;20;102		1	20	2;1;30535	
76	100%	1	2;20;102		1	20	2;1;30535	
77	100%	1	2;20;102		1	20	2;1;30535	
78	100%	1	2;20;102		1	20	2;1;30535	
79	100%	1	2;20;102		1	20	2;1;30535	
80	100%	1	2;20;102	2;20;103	1	40	2;1;30535	
81	100%	1	2;20;103		1	40	2;1;30535	
82	100%	1	2;20;103		1	40	2;1;30535	
83	100%	1	2;20;103		1	40	2;1;30535	
84	100%	1	2;20;103		1	40	2;1;30535	
85	100%	1	2;20;103		1	40	2;1;30535	
86	100%	1	2;20;103		1	40	2;1;30535	
87	100%	1	2;20;103		1	40	2;1;30535	
88	100%	1	2;20;103		1	40	2;1;30535	
89	100%	1	2;20;103		1	40	2;1;30535	
90	100%	1	2;20;103		1	20	2;1;30612	
91	100%	1	2;20;103		1	20	2;1;30612	
92	100%	1	2;20;103		1	20	2;1;30612	
93	100%	1	2;20;103		1	20	2;1;30612	
94	100%	1	2;20;103		1	20	2;1;30612	
95	100%	1	2;20;103		1	20	2;1;30612	
96	100%	1	2;20;103		1	20	2;1;30612	
97	100%	1	2;20;103		1	20	2;1;30612	
98	100%	1	2;20;103		1	20	2;1;30612	
99	100%	1	2;20;103	2;20;104	1	1	2;201;20	1
100	100%	0			0	0	0	
