LineId	Name	GroupID	AttrId	AttrLv	Rate	AttrWorth	ConflictGroupID	
ID duy nhÊt	unuse line(2~10)	ID ®­îc tham chiÕu						
	unuse line(2~10)	Cã thÓ trïng lÆp						
	unuse line(2~10)							
	unuse line(2~10)							
	unuse line(2~10)							
	unuse line(2~10)							
	unuse line(2~10)							
	unuse line(2~10)							
	unuse line(2~10)							
1	Ph¸t triÓn D-C	0						
2	Ph¸t triÓn nhãm ®iÒn vµo D	1						
3	Hao mßn vò khÝ gi¶m: /1% 	1	13141	1	192	200	21	
4	Søc lùc+/1	1	13142	1	184	200	22	
5	T¨ng giíi h¹n träng l­îng/1%	1	13143	1	184	200	23	
6	ThÓ lùc	1	13144	1	184	200	24	
7	ThÓ lùc 1%	1	13145	1	184	200	25	
8	§iÓm kinh nghiÖm nhËn ®­îc t¨ng: /1% 	1	13146	1	184	200	26	
9	Täa thiÒn mçi 10 gi©y håi phôc sinh lùc/1	1	13147	1	184	200	27	
10	Täa thiÒn mçi 10 gi©y håi phôc néi lùc/1	1	13148	1	184	200	28	
11	Täa thiÒn mçi 10 gi©y håi phôc thÓ lùc/1	1	13149	1	184	200	29	
12	HiÖu qu¶ d­îc phÈm håi néi/1%	1	13150	1	184	200	30	
13	yªu cÇu ®¼ng cÊp gi¶m /1	1	13151	1	184	200	31	
14	Tiªu diÖt ®Þch nh©n kh«i phôc sinh lùc	1	13152	1	184	200	32	
15	Tiªu diÖt ®Þch nh©n kh«i phôc néi lùc	1	13153	1	184	200	33	
16	Ph¸t triÓn thuéc tÝnh chÝnh D	1						
17	Søc m¹nh	1	13081	1	266	300	1	
18	Th©n ph¸p	1	13082	1	266	300	2	
19	Néi c«ng 	1	13083	1	266	300	3	
20	Linh ho¹t	1	13084	1	266	300	4	
21	G©n cèt	1	13085	1	266	300	5	
22	Néi lùc 	1	13086	1	266	300	6	
23	Néi lùc %	1	13087	1	266	300	7	
24	§iÓm sinh lùc	1	13088	1	266	300	8	
25	Sinh mÖnh %	1	13089	1	272	300	9	
26	Ph¸t triÓn nhãm c«ng kÝch D	1						
27	Ngäai c«ng lín nhÊt trªn vò khÝ t¨ng 1	1	13108	1	200	400	10	
28	Ngo¹i c«ng nhá nhÊt trªn vò khÝ t¨ng /1	1	13109	1	200	400	11	
29	Néi c«ng lín nhÊt trªn vò khÝ t¨ng /1	1	13110	1	200	400	12	
30	Néi c«ng nhá nhÊt trªn vò khÝ t¨ng /1	1	13111	1	200	400	13	
31	T¨ng ®iÓm sè tæng lùc c«ng kÝch ngo¹i c«ng	1	13112	1	200	400	14	
32	T¨ng ®iÓm sè tæng lùc c«ng kÝch néi c«ng	1	13113	1	200	400	15	
33	S¸t th­¬ng t¨ng /1	1	13114	1	0	400	16	
34	S¸t th­¬ng ®éc	1	13115	1	0	400	17	
35	§éc s¸t t¨ng /1	1	13116	1	0	400	18	
36	Ngo¹i c«ng t¨ng: /1% 	1	13117	1	0	400	19	
37	Néi c«ng t¨ng /1% 	1	13118	1	0	400	20	
38	Ph¸t triÓn nhãm ®iÒn vµo C	1						
39	Hao mßn vò khÝ gi¶m: /1% 	1	13154	1	124	300	21	
40	Søc lùc+/1	1	13155	1	123	300	22	
41	T¨ng giíi h¹n träng l­îng/1%	1	13156	1	123	300	23	
42	ThÓ lùc	1	13157	1	123	300	24	
43	ThÓ lùc 1%	1	13158	1	123	300	25	
44	§iÓm kinh nghiÖm nhËn ®­îc t¨ng: /1% 	1	13159	1	123	300	26	
45	Täa thiÒn mçi 10 gi©y håi phôc sinh lùc/1	1	13160	1	123	300	27	
46	Täa thiÒn mçi 10 gi©y håi phôc néi lùc/1	1	13161	1	123	300	28	
47	Täa thiÒn mçi 10 gi©y håi phôc thÓ lùc/1	1	13162	1	123	300	29	
48	HiÖu qu¶ d­îc phÈm håi néi/1%	1	13163	1	123	300	30	
49	yªu cÇu ®¼ng cÊp gi¶m /1	1	13164	1	123	300	31	
50	Tiªu diÖt ®Þch nh©n kh«i phôc sinh lùc	1	13165	1	123	300	32	
51	Tiªu diÖt ®Þch nh©n kh«i phôc néi lùc	1	13166	1	123	300	33	
52	Ph¸t triÓn thuéc tÝnh chÝnh C	1						
53	Søc m¹nh	1	13090	1	177	400	1	
54	Th©n ph¸p	1	13091	1	177	400	2	
55	Néi c«ng 	1	13092	1	177	400	3	
56	Linh ho¹t	1	13093	1	177	400	4	
57	G©n cèt	1	13094	1	177	400	5	
58	Néi lùc 	1	13095	1	177	400	6	
59	Néi lùc %	1	13096	1	177	400	7	
60	§iÓm sinh lùc	1	13097	1	177	400	8	
61	Sinh mÖnh %	1	13098	1	184	400	9	
62	Ph¸t triÓn nhãm c«ng kÝch C	1						
63	Ngäai c«ng lín nhÊt trªn vò khÝ t¨ng 1	1	13119	1	90	500	10	
64	Ngo¹i c«ng nhá nhÊt trªn vò khÝ t¨ng /1	1	13120	1	90	500	11	
65	Néi c«ng lín nhÊt trªn vò khÝ t¨ng /1	1	13121	1	90	500	12	
66	Néi c«ng nhá nhÊt trªn vò khÝ t¨ng /1	1	13122	1	90	500	13	
67	T¨ng ®iÓm sè tæng lùc c«ng kÝch ngo¹i c«ng	1	13123	1	88	500	14	
68	T¨ng ®iÓm sè tæng lùc c«ng kÝch néi c«ng	1	13124	1	88	500	15	
69	S¸t th­¬ng t¨ng /1	1	13125	1	88	500	16	
70	S¸t th­¬ng ®éc	1	13126	1	88	500	17	
71	§éc s¸t t¨ng /1	1	13127	1	88	500	18	
72	Ngo¹i c«ng t¨ng: /1% 	1	13128	1	0	500	19	
