ID	Name	EquipWorth	AttrGroup1	GrowStep1	GrowLvUp1	AttrGroup2	GrowStep2	GrowLvUp2	AttrGroup3	GrowStep3	GrowLvUp3	
ID duy nh t	unuse line(2~10)	Gi∏ trﬁ l≠Óng trang bﬁ mang theo tÊng th”										
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
1	Ph∏t tri”n trang bﬁ xanh b◊nh th≠Íng	900	1	1	1	2	2	2				
2	Ph∏t tri”n trang bﬁ lam b◊nh th≠Íng	1100	1	1	1	2	2	2				
3	Ph∏t tri”n trang bﬁ t›m b◊nh th≠Íng	1200	1	1	1	2	2	2	2	3	3	
4	Ph∏t tri”n trang bﬁ t›m kim	1700	3	1	1	2	2	2	2	3	3	
5	Ph∏t tri”n trang bﬁ t›m mÈc	1700	4	1	1	2	2	2	2	3	3	
6	Ph∏t tri”n trang bﬁ t›m thÒy	1700	5	1	1	2	2	2	2	3	3	
7	Ph∏t tri”n trang bﬁ t›m h·a	1700	6	1	1	2	2	2	2	3	3	
8	Ph∏t tri”n trang bﬁ t›m thÊ	1700	7	1	1	2	2	2	2	3	3	
9	Ph∏t tri”n trang bﬁ t›m ©m	1800	8	1	1	2	2	2	2	3	3	
10	T≠Ìng Qu©n Trang	2000	14	1	1	14	1	1				
11	Nguy™n So∏i Trang	2000	15	1	1	15	1	1				
12	Thi™n Hπ V´ Song Kh´i	3000	24	0	0	27	0	0	28	0	0	
13	Thi™n Hπ V´ Song Gi∏p	3000	25	0	0	27	0	0	28	0	0	
14	Thi™n Hπ V´ Song Trang	3000	26	0	0	27	0	0	28	0	0	
15	∏o Choµng Du Hi÷p	5000	30	1	1	31	1	1				
16	∏o Choµng Thi’t Huy’t	5000	36	1	1	37	1	1				
17	∏o Choµng V©n Du	5000	42	1	1	43	1	1				
18	Huy Ch≠¨ng Du Hi÷p	5000	30	1	1	31	1	1				
19	Huy Ch≠¨ng Thi’t Huy’t	5000	36	1	1	37	1	1				
