ID	Name	EquipWorth	UnlockLv1	AttrGroup1	AttrLv1	UnlockLv2	AttrGroup2	AttrLv2	UnlockLv3	AttrGroup3	AttrLv3	
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
	unuse line(2~10)											
1	MÎ kh„a 1 sao	800	4	9		8	9					
2	MÎ kh„a 2 sao	1200	4	9		9	10					
3	MÎ kh„a 3 sao	1600	2	10		6	10		10	10		
4	3+ mÎ kh„a huy ch≠¨ng	1800	2	10		6	11		10	11		
5	3+mÎ kh„a ∏o choµng	1800	2	10		6	12		10	12		
6	3+ mÎ kh„a giµy	1800	2	10		6	13		10	13		
7	3++ mÎ kh„a huy ch≠¨ng	2000	2	10		6	11		10	11		
8	3++mÎ kh„a ∏o choµng	2000	2	10		6	12		10	12		
9	3++ mÎ kh„a giµy	2000	2	10		6	13		10	13		
10	Huy Ch≠¨ng T≠Ìng Qu©n mÎ kh„a	2000	5	16		10	17					
11	Huy Ch≠¨ng Nguy™n So∏i mÎ kh„a	2000	5	20		10	21					
12	∏o Choµng T≠Ìng Qu©n mÎ kh„a	2000	5	18		10	17					
13	∏o Choµng Nguy™n So∏i mÎ kh„a	2000	5	22		10	21					
14	Chi’n Hµi T≠Ìng Qu©n mÎ kh„a	2000	5	19		10	17					
15	Chi’n Hµi Nguy™n So∏i mÎ kh„a	2000	5	23		10	21					
16	Thi™n Hπ V´ Song mÎ kh„a	2000	10	29								
17	MÎ kh„a ∏o Choµng Du Hi÷p	3000	6	32		11	33					
18	MÎ kh„a ∏o Choµng Thi’t Huy’t 	3000	6	38		11	39					
19	MÎ kh„a ∏o Choµng V©n Du 	3000	6	44		11	45					
20	MÎ kh„a Huy Ch≠¨ng Du Hi÷p 	3000	6	32		11	34					
21	MÎ kh„a Huy Ch≠¨ng Thi’t Huy’t 	3000	6	38		11	40					
22	MÎ kh„a Huy Ch≠¨ng V©n Du 	3000	6	44		11	46					
23	MÎ kh„a Tr≠Íng Hµi Du Hi÷p	3000	6	32		11	35					
24	MÎ kh„a Tr≠Íng Hµi Thi’t Huy’t	3000	6	38		11	41					
25	MÎ kh„a ßπo Hµi V©n Du	3000	6	44		11	47					
