ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey	
1	B¸t Bé Thiªn Long §Çu Kh«i	0;103;231;1	1	1	2			30000;30028;30033;30196			
2	B¸t Bé Thiªn Long §Çu Kh«i	0;103;232;1	1	2	2			30000;30028;30033;30196			
3	V« L­îng Ph¸p T«n ThiÒn §ÞnhM·o	0;103;331;1	1	1	3			30000;30028;30033;30196			
4	V« L­îng Ph¸p T«n ThiÒn §ÞnhM·o	0;103;332;1	1	2	3			30000;30028;30033;30196			
5	B¸t B¶o La H¸n §¹i Thõa §ÇuKh«i	0;103;431;1	1	1	4			30000;30028;30033;30196			
6	B¸t B¶o La H¸n §¹i Thõa §ÇuKh«i	0;103;432;1	1	2	4			30000;30028;30033;30196			
7	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;103;631;1	1	1	6			30000;30028;30033;30196			
8	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;103;632;1	1	2	6			30000;30028;30033;30196			
9	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;103;633;1	2	3	6			30000;30028;30033;30196			
10	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;103;634;1	2	4	6			30000;30028;30033;30196			
11	B¹ch Liªn Tiªn Tö B¶o UÈn KÕ	0;103;831;1	2	3	8			30000;30028;30033;30196			
12	B¹ch Liªn Tiªn Tö B¶o UÈn KÕ	0;103;832;1	2	4	8			30000;30028;30033;30196			
13	Ngäc VËn Tiªn Tö HuyÒn Hån KÕ	0;103;931;1	2	3	9			30000;30028;30033;30196			
14	Ngäc VËn Tiªn Tö HuyÒn Hån KÕ	0;103;932;1	2	4	9			30000;30028;30033;30196			
15	Long §Çu ThÇn C¸i §»ng V©n C©n	0;103;1131;1	1	1	11			30000;30028;30033;30196			
16	Long §Çu ThÇn C¸i §»ng V©n C©n	0;103;1132;1	1	2	11			30000;30028;30033;30196			
17	Long §Çu ThÇn C¸i §»ng V©n C©n	0;103;1133;1	2	3	11			30000;30028;30033;30196			
18	Long §Çu ThÇn C¸i §»ng V©n C©n	0;103;1134;1	2	4	11			30000;30028;30033;30196			
19	KhÊt Thiªn ThÇn C¸i V©n Du C©n	0;103;1231;1	1	1	12			30000;30028;30033;30196			
20	KhÊt Thiªn ThÇn C¸i V©n Du C©n	0;103;1232;1	1	2	12			30000;30028;30033;30196			
21	KhÊt Thiªn ThÇn C¸i V©n Du C©n	0;103;1233;1	2	3	12			30000;30028;30033;30196			
22	KhÊt Thiªn ThÇn C¸i V©n Du C©n	0;103;1234;1	2	4	12			30000;30028;30033;30196			
23	Ch­ëng Kinh Thanh Quang C©n	0;103;1431;1	1	1	14			30000;30028;30033;30196			
24	Ch­ëng Kinh Thanh Quang C©n	0;103;1432;1	1	2	14			30000;30028;30033;30196			
25	Ch­ëng Kinh Thanh Quang C©n	0;103;1433;1	2	3	14			30000;30028;30033;30196			
26	Ch­ëng Kinh Thanh Quang C©n	0;103;1434;1	2	4	14			30000;30028;30033;30196			
27	Th¸i Êt T¶n Nh©n H¹o Nhiªn C©n	0;103;1531;1	1	1	15			30000;30028;30033;30196			
28	Th¸i Êt T¶n Nh©n H¹o Nhiªn C©n	0;103;1532;1	1	2	15			30000;30028;30033;30196			
29	Th¸i Êt T¶n Nh©n H¹o Nhiªn C©n	0;103;1533;1	2	3	15			30000;30028;30033;30196			
30	Th¸i Êt T¶n Nh©n H¹o Nhiªn C©n	0;103;1534;1	2	4	15			30000;30028;30033;30196			
31	Long T­¬ng T­íng Qu©n Kh«i	0;103;1731;1	1	1	17			30000;30028;30033;30196			
32	Long T­¬ng T­íng Qu©n Kh«i	0;103;1732;1	1	2	17			30000;30028;30033;30196			
33	Long T­¬ng T­íng Qu©n Kh«i	0;103;1733;1	2	3	17			30000;30028;30033;30196			
34	Long T­¬ng T­íng Qu©n Kh«i	0;103;1734;1	2	4	17			30000;30028;30033;30196			
35	Hæ Dùc T­íng Qu©n  ChiÕn Kh«i	0;103;1831;1	1	1	18			30000;30028;30033;30196			
36	Hæ Dùc T­íng Qu©n  ChiÕn Kh«i	0;103;1832;1	1	2	18			30000;30028;30033;30196			
37	Hæ Dùc T­íng Qu©n  ChiÕn Kh«i	0;103;1833;1	2	3	18			30000;30028;30033;30196			
38	Hæ Dùc T­íng Qu©n  ChiÕn Kh«i	0;103;1834;1	2	4	18			30000;30028;30033;30196			
39	U Minh Quû S¸t Tu La C©n	0;103;2031;1	1	1	20			30000;30028;30033;30196			
40	U Minh Quû S¸t Tu La C©n	0;103;2032;1	1	2	20			30000;30028;30033;30196			
41	U Minh Quû S¸t Tu La C©n	0;103;2033;1	2	3	20			30000;30028;30033;30196			
42	U Minh Quû S¸t Tu La C©n	0;103;2034;1	2	4	20			30000;30028;30033;30196			
43	V« §éng La S¸t TrÊm HuyÕt C©n	0;103;2131;1	1	1	21			30000;30028;30033;30196			
44	V« §éng La S¸t TrÊm HuyÕt C©n	0;103;2132;1	1	2	21			30000;30028;30033;30196			
45	V« §éng La S¸t TrÊm HuyÕt C©n	0;103;2133;1	2	3	21			30000;30028;30033;30196			
46	V« §éng La S¸t TrÊm HuyÕt C©n	0;103;2134;1	2	4	21			30000;30028;30033;30196			
47	Tö Vi §¹o Nh©n - Thiªn Thanh §Çu C©n	0;103;23131;1	1	1	23			30000;30028;30033;30196			
48	Tö Vi §¹o Nh©n - Thiªn Thanh §Çu C©n	0;103;23132;1	1	2	23			30000;30028;30033;30196			
49	Tiªu Dao ThÇn Sø - K×nh Phong §Çu C©n	0;103;25131;1	1	1	25			30000;30028;30033;30196			
50	Tiªu Dao ThÇn Sø - K×nh Phong §Çu C©n	0;103;25132;1	1	2	25			30000;30028;30033;30196			
51	Tiªu Dao ThÇn Sø - K×nh Phong §Çu C©n	0;103;25133;1	2	3	25			30000;30028;30033;30196			
52	Tiªu Dao ThÇn Sø - K×nh Phong §Çu C©n	0;103;25134;1	2	4	25			30000;30028;30033;30196			
53	Thiªn Cuång §¹i T­íng - Th¸nh Háa §Çu Kh«i	0;103;26131;1	1	1	26			30000;30028;30033;30196			
54	Thiªn Cuång §¹i T­íng - Th¸nh Háa §Çu Kh«i	0;103;26132;1	1	2	26			30000;30028;30033;30196			
55	Thiªn Cuång §¹i T­íng - Th¸nh Háa §Çu Kh«i	0;103;26133;1	2	3	26			30000;30028;30033;30196			
56	Thiªn Cuång §¹i T­íng - Th¸nh Háa §Çu Kh«i	0;103;26134;1	2	4	26			30000;30028;30033;30196			
57	NguyÖt ¶nh Ma T«n - Cæ Mé §Çu Qu¸n	0;103;27131;1	1	1	27			30000;30028;30033;30196			
58	NguyÖt ¶nh Ma T«n - Cæ Mé §Çu Qu¸n	0;103;27132;1	1	2	27			30000;30028;30033;30196			
59	NguyÖt ¶nh Ma T«n - Cæ Mé §Çu Qu¸n	0;103;27133;1	2	3	27			30000;30028;30033;30196			
60	NguyÖt ¶nh Ma T«n - Cæ Mé §Çu Qu¸n	0;103;27134;1	2	4	27			30000;30028;30033;30196			
61	Cöu Thiªn Th¸i Ph­îng - Ng©n Ph­îng §Çu Søc	0;103;29131;1	2	3	29			30000;30028;30033;30196			
62	Cöu Thiªn Th¸i Ph­îng - Ng©n Ph­îng §Çu Søc	0;103;29132;1	2	4	29			30000;30028;30033;30196			
63	B¨ng T©m Ngäc N÷ - Linh Long Ph¸t Tr©m	0;103;30131;1	2	3	30			30000;30028;30033;30196			
64	B¨ng T©m Ngäc N÷ - Linh Long Ph¸t Tr©m	0;103;30132;1	2	4	30			30000;30028;30033;30196			
