ID	G	D	P	Quality	tG	tD	tP	tBind	CostPrestige
1	0	116	21	3	2	1	31261	1	540000
2	0	116	22	3	2	1	31261	1	540000
3	0	116	23	3	2	1	31261	1	540000
4	0	116	24	3	2	1	31261	1	540000
5	0	116	25	3	2	1	31261	1	540000
6	0	113	21	3	2	1	31262	1	540000
7	0	113	22	3	2	1	31262	1	540000
8	0	113	23	3	2	1	31262	1	540000
9	0	113	24	3	2	1	31262	1	540000
10	0	113	25	3	2	1	31262	1	540000
11	0	114	21	3	2	1	31263	1	540000
12	0	114	22	3	2	1	31263	1	540000
13	0	114	23	3	2	1	31263	1	540000
14	0	114	24	3	2	1	31263	1	540000
15	0	114	25	3	2	1	31263	1	540000
16	0	115	21	3	2	1	31264	1	540000
17	0	115	22	3	2	1	31264	1	540000
18	0	115	23	3	2	1	31264	1	540000
19	0	115	24	3	2	1	31264	1	540000
20	0	115	25	3	2	1	31264	1	540000
21	0	117	21	3	2	1	31265	1	540000
22	0	117	22	3	2	1	31265	1	540000
23	0	117	23	3	2	1	31265	1	540000
24	0	117	24	3	2	1	31265	1	540000
25	0	117	25	3	2	1	31265	1	540000
