ID	G	D	P	tG	tD	tP	tBind	CostPrestige
1	0	103	30610	2	1	31313	1	2500000
2	0	100	30610	2	1	31314	1	2500000
3	0	101	30610	2	1	31315	1	2500000
4	0	102	31272	2	1	31317	1	4500000
5	0	102	31273	2	1	31317	1	4500000
6	0	102	31414	2	1	31317	1	4500000
7	0	102	31415	2	1	31317	1	4500000
8	0	3	30884	2	1	31316	1	5800000
9	0	8	30885	2	1	31316	1	5800000
10	0	0	30886	2	1	31316	1	5800000
11	0	1	30887	2	1	31316	1	5800000
12	0	2	30888	2	1	31316	1	5800000
13	0	10	30889	2	1	31316	1	5800000
14	0	0	30890	2	1	31316	1	5800000
15	0	5	30891	2	1	31316	1	5800000
16	0	2	30892	2	1	31316	1	5800000
17	0	9	30893	2	1	31316	1	5800000
18	0	6	30894	2	1	31316	1	5800000
19	0	4	30895	2	1	31316	1	5800000
20	0	7	30896	2	1	31316	1	5800000
21	0	11	30897	2	1	31316	1	5800000
22	0	2	30898	2	1	31316	1	5800000
23	0	3	30899	2	1	31316	1	5800000
24	0	9	30900	2	1	31316	1	5800000
25	0	11	30901	2	1	31316	1	5800000
26	0	13	30902	2	1	31316	1	5800000
27	0	12	30903	2	1	31316	1	5800000
28	0	14	32164	2	1	31316	1	5800000
29	0	2	32192	2	1	31316	1	5800000
