Tªn lo¹i ®éc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Yªu cÇu: ®éc hÖ	Yªu cÇu: huyÕt hÖ	Yªu cÇu: linh hÖ	Yªu cÇu: ma hÖ	Suy gi¶m hÖ §éc	Suy gi¶m hÖ HuyÕt	Suy gi¶m hÖ Linh	Suy gi¶m hÖ Ma	Suy gi¶m tuæi thä	Suy gi¶m ®ãi bông	Ph©n lo¹i	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	L­u ( Ch÷ sè)	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)
cæ	2	17	1	0	1	999	1	1	1	1					5	10	0	\image\item\gu\¹Æ_a1.spr	\image\item\gu\¹Æ_a0.spr	Lo¹i s©u nhá ë Miªu C­¬ng, cã thÓ chÕ biÕn ®éc d­îc		Sinh ho¹t			0	0		
§éc cæ	2	17	2	0	1	999	25	0	0	0					5	20	1	\image\item\gu\¶¾¹Æ_a1.spr	\image\item\gu\¶¾¹Æ_a0.spr	Lo¹i s©u nhá cã ®éc tİnh khiÕn ng­êi kh¸c tróng ®éc mµ kh«ng biÕt nguyªn nh©n		Sinh ho¹t			0	0		
M·nh ®éc cæ	2	17	3	0	1	999	65	35	35	35					50	50	1	\image\item\gu\ÃÍ¶¾¹Æ_a1.spr	\image\item\gu\ÃÍ¶¾¹Æ_a0.spr	§éc tİnh m·nh liÖt, ng­êi Miªu thİch dïng ®Ó ®èi phã ®èi ph­¬ng		Sinh ho¹t			0	0		
§éc yªu cæ	2	17	4	0	1	999	90	60	60	60					300	100	1	\image\item\gu\¶¾Ñı¹Æ_a1.spr	\image\item\gu\¶¾Ñı¹Æ_a0.spr	Kú ®éc m·nh liÖt h¬n c¶ bïa chó		Sinh ho¹t			0	0		
HuyÕt cæ	2	17	5	0	1	999	0	25	0	0					5	20	2	\image\item\gu\Ñª¹Æ_a1.spr	\image\item\gu\Ñª¹Æ_a0.spr	RÊt thİch mïi m¸u, mét khi vËt chñ bŞ ch¶y m¸u sÏ bŞ hót m¸u liªn tôc		Sinh ho¹t			0	0		
ThŞ huyÕt cæ	2	17	6	0	1	999	35	65	35	35					50	50	2	\image\item\gu\ÊÈÑª¹Æ_a1.spr	\image\item\gu\ÊÈÑª¹Æ_a0.spr	L¹i s©u nhá toµn th©n ®Çy miÖng hót, rÊt thİch hót m¸u.		Sinh ho¹t			0	0		
HuyÕt Tinh cæ	2	17	7	0	1	999	60	90	60	60					300	100	2	\image\item\gu\Ñª¾«¹Æ_a1.spr	\image\item\gu\Ñª¾«¹Æ_a0.spr	Hót m¸u t­¬i vµ tinh khİ cña vËt chñ khiÕn toµn th©n lë loĞt mµ chÕt		Sinh ho¹t			0	0		
H­¬ng cæ	2	17	8	0	1	999	0	0	30	0					10	20	3	\image\item\gu\Ïã¹Æ_a1.spr	\image\item\gu\Ïã¹Æ_a0.spr	Lo¹i trïng nhá mµu tr¾ng, táa ra mïi h­¬ng dŞu nhÑ		Sinh ho¹t			0	0		
Mª h­¬ng cæ	2	17	9	0	1	999	35	35	65	35					60	50	3	\image\item\gu\ÃÔÏã¹Æ_a1.spr	\image\item\gu\ÃÔÏã¹Æ_a0.spr	Phİa sau cã h­¬ng nang táa ra h­¬ng nång mª ng­êi gióp vËt chñ tr¸nh s¸t th­¬ng		Sinh ho¹t			0	0		
§Ò Hå cæ	2	17	10	0	1	999	60	60	90	60					300	100	3	\image\item\gu\õ®õ­¹Æ_a1.spr	\image\item\gu\õ®õ­¹Æ_a0.spr	Ng­êi th­êng kh«ng thÓ chèng l¹i mïi h­¬ng ®Æc biÖt cña chóng		Sinh ho¹t			0	0		
Thi cæ	2	17	11	0	1	999	0	0	0	25					5	20	4	\image\item\gu\Ê¬¹Æ_a1.spr	\image\item\gu\Ê¬¹Æ_a0.spr	Th©n h×nh kú qu¸i nh­ ch©n vŞt, cã thÓ phñ kİn kinh m¹ch cña vËt chñ		Sinh ho¹t			0	0		
Tam thi cæ	2	17	12	0	1	999	35	35	35	65					50	50	4	\image\item\gu\ÈıÊ¬¹Æ_a1.spr	\image\item\gu\ÈıÊ¬¹Æ_a0.spr	Lo¹i s©u nµy cã 3 ®«i ch©n mãc, mãc lÊy vµ lµm ®øt ®o¹n kinh m¹ch cña ng­êi		Sinh ho¹t			0	0		
Quú V­¬ng cæ	2	17	13	0	1	999	60	60	60	90					300	100	4	\image\item\gu\¹íÍõ¹Æ_a1.spr	\image\item\gu\¹íÍõ¹Æ_a0.spr	Tr­íc cã cao thñ tróng ph¶i, trong mét ®ªm kinh m¹ch ®øt ®o¹n, mÊt hÕt vâ c«ng		Sinh ho¹t			0	0		
Yªu cæ	2	17	14	0	1	999	40	0	0	0					10	20	1	\image\item\gu\Ñı¹Æ_a1.spr	\image\item\gu\Ñı¹Æ_a0.spr	RÊt thİch hót c¸c lo¹i néi khİ		Sinh ho¹t			0	0		
