G	D	P	ITEM_COLOR	ITEM_EFFECT
2	95	4141	White	2
0	102	40	Green2	3
2	95	4143	Blue1	4
2	95	4144	Purple	5
2	95	4145	Gold	6
2	95	4148	Green2	6
2	95	4148	White	6
2	95	4148	White	6
2	95	41482	White	6
2	95	4148	Green2	3
2	95	4149	Blue1	4
2	95	4150	Purple	5
2	95	4151	Gold	6
2	95	4152	Fire	7
2	95	4153	White	2
2	95	4154	Green2	3
2	95	4155	Blue1	4
2	95	4156	Purple	5
2	95	4157	Gold	6
2	95	4158	Fire	7
2	95	4159	White	2
2	95	4160	Green2	3
2	95	4161	Blue1	4
2	95	4162	Purple	5
2	95	4163	Gold	6
2	95	4164	Fire	7
2	95	4165	White	2
2	95	4166	Green2	3
2	95	4167	Blue1	4
2	95	4168	Purple	5
2	95	4169	Gold	6
2	95	4170	Fire	7
2	95	4171	White	2
2	95	4172	Green2	3
2	95	4173	Blue1	4
2	95	4174	Purple	5
2	95	4175	Gold	6
2	95	4176	Fire	7
2	95	4177	White	2
2	95	4178	Green2	3
2	95	4179	Blue1	4
2	95	4180	Purple	5
2	95	4181	Gold	6
2	95	4182	Fire	7
2	95	4183	White	2
2	95	4184	Green2	3
2	95	4185	Blue1	4
2	95	4186	Purple	5
2	95	4187	Gold	6
2	95	4188	Fire	7
2	95	4189	White	2
2	95	4190	Green2	3
2	95	4191	Blue1	4
2	95	4192	Purple	5
2	95	4193	Gold	6
2	95	4194	Fire	7
2	95	4195	White	2
2	95	4196	Green2	3
2	95	4197	Blue1	4
2	95	4198	Purple	5
2	95	4199	Gold	6
2	95	4200	Fire	7
2	95	4201	White	2
2	95	4202	Green2	3
2	95	4203	Blue1	4
2	95	4204	Purple	5
2	95	4205	Gold	6
2	95	4206	Fire	7
2	95	4207	White	2
2	95	4208	Green2	3
2	95	4209	Blue1	4
2	95	4210	Purple	5
2	95	4211	Gold	6
2	95	4212	Fire	7
2	95	4213	White	2
2	95	4214	Green2	3
2	95	4215	Blue1	4
2	95	4216	Purple	5
2	95	4217	Gold	6
2	95	4218	Fire	7
2	95	4219	White	2
2	95	4220	Green2	3
2	95	4221	Blue1	4
2	95	4222	Purple	5
2	95	4223	Gold	6
2	95	4224	Fire	7
2	95	4225	White	2
