Tªn tr©n ch©u	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Dù L­u	Ö÷ÊôÐÔID£¬¶ÔÓ¦left_pearl_attr.txt	¸±ÊôÐÔ³ØID£¬¶ÔÓ¦left_pearl_attr_group.txt	Dù L­u	Dù L­u	Dù L­u	Ph©n lo¹i: 1 NhËt 2 NguyÖt 3 Tinh 4 ThÇn 5 Thiªn 6 §Þa 7 S¬n 8 H¶i 9 Phong 10 Vô 11 Xu©n 12 H¹ 13 Thu 14 §«ng 15 Thñy 16 Th¹ch 17 V©n 18 Vò 19 TuyÕt 20 S­¬ng	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bÞ sÏ hiÓn thÞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Gi¸ trÞ	
NhËt-U D­¬ng	0	122	1	0	0			1	1				1	100				\image\item\canghaiyizhu\ÈÕ1a1.spr	\image\item\canghaiyizhu\ÈÕ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		1	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	2	0	0			2	1				1	100				\image\item\canghaiyizhu\ÈÕ1a1.spr	\image\item\canghaiyizhu\ÈÕ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		1	4	1		1	999	
NhËt-Ngu Uyªn	0	122	3	0	0			3	1				1	100				\image\item\canghaiyizhu\ÈÕ1a1.spr	\image\item\canghaiyizhu\ÈÕ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		1	4	1		1	999	
NhËt-Ngù K×nh	0	122	4	0	0			4	1				1	100				\image\item\canghaiyizhu\ÈÕ1a1.spr	\image\item\canghaiyizhu\ÈÕ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		1	4	1		1	999	
NhËt-U D­¬ng	0	122	5	0	0			1	1				1	100				\image\item\canghaiyizhu\ÈÕ2a1.spr	\image\item\canghaiyizhu\ÈÕ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		2	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	6	0	0			2	1				1	100				\image\item\canghaiyizhu\ÈÕ2a1.spr	\image\item\canghaiyizhu\ÈÕ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		2	4	1		1	999	
NhËt-Ngu Uyªn	0	122	7	0	0			3	1				1	100				\image\item\canghaiyizhu\ÈÕ2a1.spr	\image\item\canghaiyizhu\ÈÕ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		2	4	1		1	999	
NhËt-Ngù K×nh	0	122	8	0	0			4	1				1	100				\image\item\canghaiyizhu\ÈÕ2a1.spr	\image\item\canghaiyizhu\ÈÕ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		2	4	1		1	999	
NhËt-U D­¬ng	0	122	9	0	0			1	1				1	100				\image\item\canghaiyizhu\ÈÕ3a1.spr	\image\item\canghaiyizhu\ÈÕ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		3	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	10	0	0			2	1				1	100				\image\item\canghaiyizhu\ÈÕ3a1.spr	\image\item\canghaiyizhu\ÈÕ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		3	4	1		1	999	
NhËt-Ngu Uyªn	0	122	11	0	0			3	1				1	100				\image\item\canghaiyizhu\ÈÕ3a1.spr	\image\item\canghaiyizhu\ÈÕ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		3	4	1		1	999	
NhËt-Ngù K×nh	0	122	12	0	0			4	1				1	100				\image\item\canghaiyizhu\ÈÕ3a1.spr	\image\item\canghaiyizhu\ÈÕ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		3	4	1		1	999	
NhËt-U D­¬ng	0	122	13	0	0			1	1				1	100				\image\item\canghaiyizhu\ÈÕ4a1.spr	\image\item\canghaiyizhu\ÈÕ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		4	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	14	0	0			2	1				1	100				\image\item\canghaiyizhu\ÈÕ4a1.spr	\image\item\canghaiyizhu\ÈÕ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		4	4	1		1	999	
NhËt-Ngu Uyªn	0	122	15	0	0			3	1				1	100				\image\item\canghaiyizhu\ÈÕ4a1.spr	\image\item\canghaiyizhu\ÈÕ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		4	4	1		1	999	
NhËt-Ngù K×nh	0	122	16	0	0			4	1				1	100				\image\item\canghaiyizhu\ÈÕ4a1.spr	\image\item\canghaiyizhu\ÈÕ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		4	4	1		1	999	
NhËt-U D­¬ng	0	122	17	0	0			1	41				1	100				\image\item\canghaiyizhu\ÈÕ5a1.spr	\image\item\canghaiyizhu\ÈÕ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		5	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	18	0	0			2	41				1	100				\image\item\canghaiyizhu\ÈÕ5a1.spr	\image\item\canghaiyizhu\ÈÕ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		5	4	1		1	999	
NhËt-Ngu Uyªn	0	122	19	0	0			3	41				1	100				\image\item\canghaiyizhu\ÈÕ5a1.spr	\image\item\canghaiyizhu\ÈÕ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		5	4	1		1	999	
NhËt-Ngù K×nh	0	122	20	0	0			4	41				1	100				\image\item\canghaiyizhu\ÈÕ5a1.spr	\image\item\canghaiyizhu\ÈÕ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		5	4	1		1	999	
NhËt-U D­¬ng	0	122	21	0	0			1	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		6	4	1		1	999	
NhËt-D­¬ng Cèc	0	122	22	0	0			2	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		6	4	1		1	999	
NhËt-Ngu Uyªn	0	122	23	0	0			3	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		6	4	1		1	999	
NhËt-Ngù K×nh	0	122	24	0	0			4	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bÝ		6	4	1		1	999	
