AttrID	Attribute	EventType	Description	Value1	Probability1	Time1	Value2	Probability2	Time2	Value3	Probability3	Time3	Value4	Probability4	Time4	Value5	Probability5	Time5	Value6	Probability6	Time6	Value7	Probability7	Time7	Value8	Probability8	Time8
																											
1	state_p_attack_percent_add	0	Ngo¹i c«ng + /v1%	40			80			120			150			180			210			250			300		
2	state_m_attack_percent_add	0	Néi c«ng t¨ng /v1%	40			80			120			150			180			210			250			300		
3	state_damage_point	0	S¸t th­¬ng t¨ng /v1	500			1000			1500			2000			3000			4000			5000			8000		
4	state_armor_add	0	§iÓm hé gi¸p t¨ng /v1	200			300			400			500			600			700			800			1000		
5	state_add_strength	0	Søc m¹nh t¨ng /v1	50			100			150			200			300			400			500			600		
6	state_add_vitality	0	G©n cèt t¨ng /v1	50			100			150			200			300			400			500			600		
7	state_add_observe	0	Linh ho¹t t¨ng /v1	50			100			150			200			300			400			500			600		
8	state_add_energy	0	Néi c«ng t¨ng /v1	50			100			150			200			300			400			500			600		
9	state_add_dexterity	0	Th©n ph¸p t¨ng /v1	50			100			150			200			300			400			500			600		
10	state_add_allability	0	Kh¸ng tÊt c¶ t¨ng /v1	50			100			150			200			300			400			500			600		
11	state_accuracy_point_increase	0	ChÝnh x¸c t¨ng /v1	1000			1500			2000			2500			3000			3500			4000			4800		
12	state_dodge_point_increase	0	NÐ tr¸nh t¨ng /v1	1500			2500			3500			4500			5500			6500			7500			9000		
13	state_medicine_time_increase	0	HiÖu qu¶ th­¬ng d­îc t¨ng /v1%	50			70			90			100			120			150			200			240		
14	state_receive_half_damage	0	Gi¶m thä th­¬ng t¨ng /v1%	20			40			60			80			100			120			140			170		
15	state_life_max_percent_add	0	Sinh lùc tèi ®a t¨ng /v1%	50			80			110			140			200			260			300			380		
16	state_stamina_max_point_add	0	ThÓ lùc + /v1	100			150			200			250			300			350			400			450		
17	state_physical_def_point_dec	5	TÊn c«ng lµm ngo¹i phßng ®Þch gi¶m /v1	100	2000	180	200	2000	180	250	2000	180	300	2000	180	350	2000	180	400	2000	180	500	2000	180	600	2000	180
18	state_physical_parmor_per_dec	5	TÊn c«ng lµm ngo¹i phßng ®Þch gi¶m /v1%	20	2000	180	30	2000	180	40	2000	180	50	2000	180	60	2000	180	70	2000	180	90	2000	180	110	2000	180
19	state_neili_defence_point_dec	5	TÊn c«ng lµm néi phßng ®Þch gi¶m /v1	100	2000	180	200	2000	180	250	2000	180	300	2000	180	350	2000	180	400	2000	180	500	2000	180	600	2000	180
20	state_magic_parmor_per_dec	5	TÊn c«ng lµm néi phßng ®Þch gi¶m /v1%	20	2000	180	30	2000	180	40	2000	180	50	2000	180	60	2000	180	70	2000	180	90	2000	180	110	2000	180
21	state_inc_max_physics_damage	0	Vò khÝ ngo¹i c«ng lín nhÊt t¨ng /v1	100			200			300			400			500			600			700			800		
22	state_inc_min_physics_damage	0	Vò khÝ ngo¹i c«ng thÊp nhÊt t¨ng /v1	100			200			300			400			500			600			700			800		
23	state_inc_max_neili_damage	0	Vò khÝ néi c«ng lín nhÊt t¨ng /v1	100			200			300			400			500			600			700			800		
24	state_inc_min_neili_damage	0	Vò khÝ néi c«ng thÊp nhÊt t¨ng /v1	100			200			300			400			500			600			700			800		
25	state_npc_event_2_magic|state_npc_event_2_magic|state_none	0	H¹ gôc ®èi ph­¬ng sinh lùc håi phôc /v3	920|930|1000			940|950|2000			960|970|2500			980|990|3000			1000|1010|3500			1020|1030|4000			1040|1050|5000			1250|1260|6000		
26	state_npc_event_2_magic|state_npc_event_2_magic|state_none	0	H¹ gôc ®èi ph­¬ng néi lùc håi phôc /v3	1060|1070|500			1080|1090|1000			1100|1110|1500			1120|1130|2000			1140|1150|2500			1160|1170|3000			1180|1190|3500			1270|1280|4000		
27	state_attack_speed_add	0	Tèc ®é ®¸nh t¨ng /v1%	50			100			120			140			160			180			200			240		
28	state_def_critical_point_increase	0	Phßng thñ b¹o kÝch /v1	40			80			120			160			200			240			300			360		
