GroupID	AttrID	AppearProbability	QuenchProbabiliy

1	74	10	10
1	75	10	10
1	62	2500	300
1	63	500	20
1	64	1500	80
1	65	480	20
1	66	2000	260
1	67	1500	140
1	68	1500	140
1	60	0	10
1	61	0	10
2	65	1000	80
2	69	500	80
2	70	2000	220
2	66	2480	220
2	71	10	10
2	72	10	10
2	73	1000	80
2	74	1500	150
2	75	1500	150
3	76	10	30
3	77	500	80
3	78	500	80
3	79	1000	150
3	80	1500	80
3	69	500	80
3	70	2000	150
3	65	1000	150
3	66	2990	200
4	81	100	50
4	82	500	100
4	83	500	100
4	84	500	100
4	85	800	100
4	86	1000	100
4	69	100	50
4	70	3000	150
4	65	1000	100
4	66	2500	150
5	87	100	40
5	88	1500	80
5	89	1500	80
5	90	1500	150
5	91	500	150
5	69	1000	100
5	70	1000	150
5	65	1000	100
5	66	1900	150
6	82	1000	100
6	83	1000	100
6	84	1000	100
6	85	1000	100
6	86	2000	100
6	89	2000	250
6	88	2000	250
7	60	50	50
7	61	50	50
7	62	3900	300
7	63	1000	100
7	64	1000	200
7	65	2000	100
7	66	2000	200
8	87	100	20
8	88	1500	150
8	89	1500	150
8	90	1500	100
8	91	500	75
8	69	500	75
8	70	1500	150
8	65	1000	100
8	66	1900	180
9	92	10	30
9	88	1500	150
9	89	1500	150
9	90	1000	100
9	91	1000	75
9	69	1000	75
9	70	1000	150
9	65	1000	100
9	66	1990	170
10	76	10	20
10	88	1500	150
10	89	1500	150
10	90	1000	100
10	91	1000	75
10	69	1000	75
10	70	1000	150
10	65	1000	100
10	66	1990	180
11	69	500	100
11	80	500	120
11	63	500	100
11	70	2400	120
11	65	1000	120
11	66	3000	120
11	60	50	50
11	61	50	50
11	93	2000	220
12	64	5230	100
12	73	1500	150
12	94	3000	200
12	95	50	220
12	96	10	50
12	97	10	50
12	98	50	80
12	99	50	50
12	102	50	50
12	100	50	50
13	98	50	100
13	99	50	50
13	100	50	50
13	102	50	50
13	88	2250	150
13	89	2250	150
13	90	800	100
13	91	500	100
13	69	1000	100
13	70	3000	150
14	78	0	10
14	77	0	10
14	60	10	70
14	61	10	70
14	72	10	80
14	71	10	80
14	91	1280	100
14	69	1500	100
14	80	1500	100
14	68	2200	190
14	93	3500	190
15	98	200	50
15	99	100	20
15	100	100	20
15	102	100	20
15	88	2950	215
15	89	2950	215
15	90	1200	100
15	91	200	80
15	69	200	80
15	70	2000	200
16	101	100	10
16	82	1000	100
16	83	1000	100
16	84	1000	100
16	85	1000	100
16	86	1000	100
16	88	1700	170
16	89	1700	170
16	93	1500	150
17	64	2900	320
17	73	600	75
17	94	1500	75
17	95	500	35
17	88	2000	200
17	89	2000	200
17	98	200	35
17	99	100	20
17	100	100	20
17	102	100	20
18	64	2000	150
18	73	750	75
18	94	1500	75
18	95	1000	50
18	88	1000	150
18	89	1000	150
18	77	500	100
18	78	500	100
18	93	1750	150
19	87	10	20
19	82	1000	100
19	83	1000	100
19	84	1000	100
19	85	1000	100
19	86	1000	100
19	69	650	55
19	70	1500	150
19	65	750	75
19	66	2090	200
20	73	500	120
20	74	1500	150
20	94	1500	100
20	87	10	20
20	76	10	20
20	95	200	40
20	69	1500	150
20	70	1780	200
20	67	3000	200
21	74	1000	100
21	75	1000	100
21	62	800	80
21	63	1000	100
21	64	800	80
21	65	1000	100
21	66	800	80
21	67	1300	80
21	68	1300	80
21	60	500	100
21	61	500	100
22	65	1000	150
22	69	500	150
22	70	2000	125
22	66	2300	125
22	71	100	100
22	72	100	100
22	73	1000	125
22	74	1500	125
22	75	1500	125
23	76	500	90
23	77	500	100
23	78	500	100
23	79	1000	130
23	80	1500	80
23	69	500	150
23	70	2000	100
23	65	1000	150
23	66	2500	100
24	81	100	75
24	82	500	100
24	83	500	100
24	84	500	100
24	85	800	100
24	86	1000	100
24	69	100	100
24	70	3000	150
24	65	1000	75
24	66	2500	150
25	87	500	100
25	88	1500	125
25	89	1500	125
25	90	1500	100
25	91	500	150
25	69	1000	100
25	70	1000	100
25	65	1000	100
25	66	1500	100
26	87	500	50
26	91	500	100
26	82	1000	120
26	83	1000	120
26	84	1000	120
26	85	1000	120
26	86	2000	120
26	89	1500	125
26	88	1500	125
27	60	500	150
27	61	500	150
27	62	3000	100
27	63	1000	200
27	64	1000	100
27	65	2000	200
27	66	2000	100
28	87	500	100
28	88	1500	125
28	89	1500	125
28	90	1500	100
28	91	500	100
28	69	1000	100
28	70	1500	100
28	65	1000	150
28	66	1000	100
29	92	100	80
29	88	1500	125
29	89	1500	125
29	90	1000	100
