QuenchNum	Level	ItemNum	
0	1	10	
1	1	10	
2	1	10	
3	1	10	
4	1	10	
5	1	10	
6	1	10	
7	1	10	
8	1	10	
9	1	10	
10	1	10	
11	1	10	
12	1	10	
13	1	10	
14	1	10	
15	1	10	
16	1	10	
17	1	10	
18	1	10	
19	1	10	
20	1	10	
0	2	20	
1	2	20	
2	2	20	
3	2	20	
4	2	20	
5	2	20	
6	2	20	
7	2	20	
8	2	20	
9	2	20	
10	2	20	
11	2	20	
12	2	20	
13	2	20	
14	2	20	
15	2	20	
16	2	20	
17	2	20	
18	2	20	
19	2	20	
20	2	20	
0	3	30	
1	3	30	
2	3	30	
3	3	30	
4	3	30	
5	3	30	
6	3	30	
7	3	30	
8	3	30	
9	3	30	
10	3	30	
11	3	30	
12	3	30	
13	3	30	
14	3	30	
15	3	30	
16	3	30	
17	3	30	
18	3	30	
19	3	30	
20	3	30	
0	4	60	
1	4	60	
2	4	60	
3	4	60	
4	4	60	
5	4	60	
6	4	60	
7	4	60	
8	4	60	
9	4	60	
10	4	60	
11	4	60	
12	4	60	
13	4	60	
14	4	60	
15	4	60	
16	4	60	
17	4	60	
18	4	60	
19	4	60	
20	4	60	
0	5	100	
1	5	100	
2	5	100	
3	5	100	
4	5	100	
5	5	100	
6	5	100	
7	5	100	
8	5	100	
9	5	100	
10	5	100	
11	5	100	
12	5	100	
13	5	100	
14	5	100	
15	5	100	
16	5	100	
17	5	100	
18	5	100	
19	5	100	
20	5	100	
0	6	150	
1	6	150	
2	6	150	
3	6	150	
4	6	150	
5	6	150	
6	6	150	
7	6	150	
8	6	150	
9	6	150	
10	6	150	
11	6	150	
12	6	150	
13	6	150	
14	6	150	
15	6	150	
16	6	150	
17	6	150	
18	6	150	
19	6	150	
20	6	150	
0	7	200	
1	7	200	
2	7	200	
3	7	200	
4	7	200	
5	7	200	
6	7	200	
7	7	200	
8	7	200	
9	7	200	
10	7	200	
11	7	200	
12	7	200	
13	7	200	
14	7	200	
15	7	200	
16	7	200	
17	7	200	
18	7	200	
19	7	200	
20	7	200	
0	8	250	
1	8	250	
2	8	250	
3	8	250	
4	8	250	
5	8	250	
6	8	250	
7	8	250	
8	8	250	
9	8	250	
10	8	250	
11	8	250	
12	8	250	
13	8	250	
14	8	250	
15	8	250	
16	8	250	
17	8	250	
18	8	250	
19	8	250	
20	8	250	
21	8	250	
22	8	250	
23	8	250	
24	8	250	
25	8	250	
26	8	250	
27	8	250	
28	8	250	
29	8	250	
30	8	250	
