Level	Name	Category	G	D	P	Weight

1	NhËt-U D­¬ng	1	0	122	1	1000
1	NhËt-D­¬ng Cèc	1	0	122	2	1000
1	NhËt-Ngu Uyªn	1	0	122	3	4000
1	NhËt-Ngù K×nh	1	0	122	4	4000
2	NhËt-U D­¬ng	1	0	122	5	1000
2	NhËt-D­¬ng Cèc	1	0	122	6	1000
2	NhËt-Ngu Uyªn	1	0	122	7	4000
2	NhËt-Ngù K×nh	1	0	122	8	4000
3	NhËt-U D­¬ng	1	0	122	9	1000
3	NhËt-D­¬ng Cèc	1	0	122	10	1000
3	NhËt-Ngu Uyªn	1	0	122	11	4000
3	NhËt-Ngù K×nh	1	0	122	12	4000
4	NhËt-U D­¬ng	1	0	122	13	1000
4	NhËt-D­¬ng Cèc	1	0	122	14	1000
4	NhËt-Ngu Uyªn	1	0	122	15	4000
4	NhËt-Ngù K×nh	1	0	122	16	4000
5	NhËt-U D­¬ng	1	0	122	17	1000
5	NhËt-D­¬ng Cèc	1	0	122	18	1000
5	NhËt-Ngu Uyªn	1	0	122	19	4000
5	NhËt-Ngù K×nh	1	0	122	20	4000
6	NhËt-U D­¬ng	1	0	122	21	1000
6	NhËt-D­¬ng Cèc	1	0	122	22	1000
6	NhËt-Ngu Uyªn	1	0	122	23	4000
6	NhËt-Ngù K×nh	1	0	122	24	4000
7	NhËt-U D­¬ng	1	0	122	25	1000
7	NhËt-D­¬ng Cèc	1	0	122	26	1000
7	NhËt-Ngu Uyªn	1	0	122	27	4000
7	NhËt-Ngù K×nh	1	0	122	28	4000
1	NguyÖt-Väng Th­	2	0	122	29	1100
1	NguyÖt-H¶i KÝnh	2	0	122	30	1100
1	NguyÖt-Hµn BÝch	2	0	122	31	1100
1	NguyÖt-Ngäc Bµn	2	0	122	32	1100
1	NguyÖt-Ng©n C©u	2	0	122	33	1100
1	NguyÖt-Hån Uyªn	2	0	122	34	100
1	NguyÖt-Ngù K×nh	2	0	122	35	4400
2	NguyÖt-Väng Th­	2	0	122	36	1100
2	NguyÖt-H¶i KÝnh	2	0	122	37	1100
2	NguyÖt-Hµn BÝch	2	0	122	38	1100
2	NguyÖt-Ngäc Bµn	2	0	122	39	1100
2	NguyÖt-Ng©n C©u	2	0	122	40	1100
2	NguyÖt-Hån Uyªn	2	0	122	41	100
2	NguyÖt-Ngù K×nh	2	0	122	42	4400
3	NguyÖt-Väng Th­	2	0	122	43	1100
3	NguyÖt-H¶i KÝnh	2	0	122	44	1100
3	NguyÖt-Hµn BÝch	2	0	122	45	1100
3	NguyÖt-Ngäc Bµn	2	0	122	46	1100
3	NguyÖt-Ng©n C©u	2	0	122	47	1100
3	NguyÖt-Hån Uyªn	2	0	122	48	100
3	NguyÖt-Ngù K×nh	2	0	122	49	4400
4	NguyÖt-Väng Th­	2	0	122	50	1100
4	NguyÖt-H¶i KÝnh	2	0	122	51	1100
4	NguyÖt-Hµn BÝch	2	0	122	52	1100
4	NguyÖt-Ngäc Bµn	2	0	122	53	1100
4	NguyÖt-Ng©n C©u	2	0	122	54	1100
4	NguyÖt-Hån Uyªn	2	0	122	55	100
4	NguyÖt-Ngù K×nh	2	0	122	56	4400
5	NguyÖt-Väng Th­	2	0	122	57	1100
5	NguyÖt-H¶i KÝnh	2	0	122	58	1100
5	NguyÖt-Hµn BÝch	2	0	122	59	1100
5	NguyÖt-Ngäc Bµn	2	0	122	60	1100
5	NguyÖt-Ng©n C©u	2	0	122	61	1100
5	NguyÖt-Hån Uyªn	2	0	122	62	100
5	NguyÖt-Ngù K×nh	2	0	122	63	4400
6	NguyÖt-Väng Th­	2	0	122	64	1100
6	NguyÖt-H¶i KÝnh	2	0	122	65	1100
6	NguyÖt-Hµn BÝch	2	0	122	66	1100
6	NguyÖt-Ngäc Bµn	2	0	122	67	1100
6	NguyÖt-Ng©n C©u	2	0	122	68	1100
6	NguyÖt-Hån Uyªn	2	0	122	69	100
6	NguyÖt-Ngù K×nh	2	0	122	70	4400
7	NguyÖt-Väng Th­	2	0	122	71	1100
7	NguyÖt-H¶i KÝnh	2	0	122	72	1100
7	NguyÖt-Hµn BÝch	2	0	122	73	1100
7	NguyÖt-Ngäc Bµn	2	0	122	74	1100
7	NguyÖt-Ng©n C©u	2	0	122	75	1100
7	NguyÖt-Hån Uyªn	2	0	122	76	100
7	NguyÖt-Ngù K×nh	2	0	122	77	4400
1	Tinh-Thiªn Du	3	0	122	78	2000
1	Tinh-Quúnh TiÕt	3	0	122	79	2000
1	Tinh-TuyÒn C¬	3	0	122	80	2000
1	Tinh-Ngù K×nh	3	0	122	81	4000
2	Tinh-Thiªn Du	3	0	122	82	2000
2	Tinh-Quúnh TiÕt	3	0	122	83	2000
2	Tinh-TuyÒn C¬	3	0	122	84	2000
2	Tinh-Ngù K×nh	3	0	122	85	4000
3	Tinh-Thiªn Du	3	0	122	86	2000
3	Tinh-Quúnh TiÕt	3	0	122	87	2000
3	Tinh-TuyÒn C¬	3	0	122	88	2000
3	Tinh-Ngù K×nh	3	0	122	89	4000
4	Tinh-Thiªn Du	3	0	122	90	2000
4	Tinh-Quúnh TiÕt	3	0	122	91	2000
4	Tinh-TuyÒn C¬	3	0	122	92	2000
4	Tinh-Ngù K×nh	3	0	122	93	4000
5	Tinh-Thiªn Du	3	0	122	94	2000
5	Tinh-Quúnh TiÕt	3	0	122	95	2000
5	Tinh-TuyÒn C¬	3	0	122	96	2000
5	Tinh-Ngù K×nh	3	0	122	97	4000
6	Tinh-Thiªn Du	3	0	122	98	2000
6	Tinh-Quúnh TiÕt	3	0	122	99	2000
6	Tinh-TuyÒn C¬	3	0	122	100	2000
6	Tinh-Ngù K×nh	3	0	122	101	4000
7	Tinh-Thiªn Du	3	0	122	102	2000
7	Tinh-Quúnh TiÕt	3	0	122	103	2000
7	Tinh-TuyÒn C¬	3	0	122	104	2000
7	Tinh-Ngù K×nh	3	0	122	105	4000
1	ThÇn-Khèn §«n	4	0	122	106	500
1	ThÇn-§¬n KhuyÕt	4	0	122	107	1000
1	ThÇn-ChÊp Tõ	4	0	122	108	500
1	ThÇn-Ngù K×nh	4	0	122	109	8000
2	ThÇn-Khèn §«n	4	0	122	110	500
2	ThÇn-§¬n KhuyÕt	4	0	122	111	1000
2	ThÇn-ChÊp Tõ	4	0	122	112	500
2	ThÇn-Ngù K×nh	4	0	122	113	8000
3	ThÇn-Khèn §«n	4	0	122	114	500
3	ThÇn-§¬n KhuyÕt	4	0	122	115	1000
3	ThÇn-ChÊp Tõ	4	0	122	116	500
3	ThÇn-Ngù K×nh	4	0	122	117	8000
4	ThÇn-Khèn §«n	4	0	122	118	500
4	ThÇn-§¬n KhuyÕt	4	0	122	119	1000
4	ThÇn-ChÊp Tõ	4	0	122	120	500
4	ThÇn-Ngù K×nh	4	0	122	121	8000
5	ThÇn-Khèn §«n	4	0	122	122	500
5	ThÇn-§¬n KhuyÕt	4	0	122	123	1000
5	ThÇn-ChÊp Tõ	4	0	122	124	500
5	ThÇn-Ngù K×nh	4	0	122	125	8000
6	ThÇn-Khèn §«n	4	0	122	126	500
6	ThÇn-§¬n KhuyÕt	4	0	122	127	1000
6	ThÇn-ChÊp Tõ	4	0	122	128	500
6	ThÇn-Ngù K×nh	4	0	122	129	8000
7	ThÇn-Khèn §«n	4	0	122	130	500
7	ThÇn-§¬n KhuyÕt	4	0	122	131	1000
7	ThÇn-ChÊp Tõ	4	0	122	132	500
7	ThÇn-Ngù K×nh	4	0	122	133	8000
1	Thiªn-Hång Qu©n	5	0	122	134	2000
1	Thiªn-H¹o Th­¬ng	5	0	122	135	1000
1	Thiªn-Ngù K×nh	5	0	122	136	7000
2	Thiªn-Hång Qu©n	5	0	122	137	2000
2	Thiªn-H¹o Th­¬ng	5	0	122	138	1000
2	Thiªn-Ngù K×nh	5	0	122	139	7000
3	Thiªn-Hång Qu©n	5	0	122	140	2000
3	Thiªn-H¹o Th­¬ng	5	0	122	141	1000
3	Thiªn-Ngù K×nh	5	0	122	142	7000
4	Thiªn-Hång Qu©n	5	0	122	143	2000
4	Thiªn-H¹o Th­¬ng	5	0	122	144	1000
4	Thiªn-Ngù K×nh	5	0	122	145	7000
5	Thiªn-Hång Qu©n	5	0	122	146	2000
5	Thiªn-H¹o Th­¬ng	5	0	122	147	1000
5	Thiªn-Ngù K×nh	5	0	122	148	7000
6	Thiªn-Hång Qu©n	5	0	122	149	2000
6	Thiªn-H¹o Th­¬ng	5	0	122	150	1000
6	Thiªn-Ngù K×nh	5	0	122	151	7000
7	Thiªn-Hång Qu©n	5	0	122	152	2000
7	Thiªn-H¹o Th­¬ng	5	0	122	153	1000
7	Thiªn-Ngù K×nh	5	0	122	154	7000
1	§Þa-Kh«n Linh	6	0	122	155	2000
1	§Þa-Th¸i Ninh	6	0	122	156	1000
1	§Þa-Ngù K×nh	6	0	122	157	7000
2	§Þa-Kh«n Linh	6	0	122	158	2000
2	§Þa-Th¸i Ninh	6	0	122	159	1000
2	§Þa-Ngù K×nh	6	0	122	160	7000
3	§Þa-Kh«n Linh	6	0	122	161	2000
3	§Þa-Th¸i Ninh	6	0	122	162	1000
3	§Þa-Ngù K×nh	6	0	122	163	7000
4	§Þa-Kh«n Linh	6	0	122	164	2000
4	§Þa-Th¸i Ninh	6	0	122	165	1000
4	§Þa-Ngù K×nh	6	0	122	166	7000
5	§Þa-Kh«n Linh	6	0	122	167	2000
5	§Þa-Th¸i Ninh	6	0	122	168	1000
5	§Þa-Ngù K×nh	6	0	122	169	7000
6	§Þa-Kh«n Linh	6	0	122	170	2000
6	§Þa-Th¸i Ninh	6	0	122	171	1000
6	§Þa-Ngù K×nh	6	0	122	172	7000
7	§Þa-Kh«n Linh	6	0	122	173	2000
7	§Þa-Th¸i Ninh	6	0	122	174	1000
7	§Þa-Ngù K×nh	6	0	122	175	7000
1	S¬n-Sïng A	7	0	122	176	3000
1	S¬n-Ngäc Ch­íng	7	0	122	177	3000
1	S¬n-Ngù K×nh	7	0	122	178	4000
2	S¬n-Sïng A	7	0	122	179	3000
2	S¬n-Ngäc Ch­íng	7	0	122	180	3000
2	S¬n-Ngù K×nh	7	0	122	181	4000
3	S¬n-Sïng A	7	0	122	182	3000
3	S¬n-Ngäc Ch­íng	7	0	122	183	3000
3	S¬n-Ngù K×nh	7	0	122	184	4000
4	S¬n-Sïng A	7	0	122	185	3000
4	S¬n-Ngäc Ch­íng	7	0	122	186	3000
4	S¬n-Ngù K×nh	7	0	122	187	4000
5	S¬n-Sïng A	7	0	122	188	3000
5	S¬n-Ngäc Ch­íng	7	0	122	189	3000
5	S¬n-Ngù K×nh	7	0	122	190	4000
6	S¬n-Sïng A	7	0	122	191	3000
6	S¬n-Ngäc Ch­íng	7	0	122	192	3000
6	S¬n-Ngù K×nh	7	0	122	193	4000
7	S¬n-Sïng A	7	0	122	194	3000
7	S¬n-Ngäc Ch­íng	7	0	122	195	3000
7	S¬n-Ngù K×nh	7	0	122	196	4000
1	H¶i-Th­¬ng Minh	8	0	122	197	3000
1	H¶i-Minh M«ng	8	0	122	198	3000
1	H¶i-Ngù K×nh	8	0	122	199	4000
2	H¶i-Th­¬ng Minh	8	0	122	200	3000
2	H¶i-Minh M«ng	8	0	122	201	3000
2	H¶i-Ngù K×nh	8	0	122	202	4000
3	H¶i-Th­¬ng Minh	8	0	122	203	3000
3	H¶i-Minh M«ng	8	0	122	204	3000
3	H¶i-Ngù K×nh	8	0	122	205	4000
4	H¶i-Th­¬ng Minh	8	0	122	206	3000
4	H¶i-Minh M«ng	8	0	122	207	3000
4	H¶i-Ngù K×nh	8	0	122	208	4000
5	H¶i-Th­¬ng Minh	8	0	122	209	3000
5	H¶i-Minh M«ng	8	0	122	210	3000
5	H¶i-Ngù K×nh	8	0	122	211	4000
6	H¶i-Th­¬ng Minh	8	0	122	212	3000
6	H¶i-Minh M«ng	8	0	122	213	3000
6	H¶i-Ngù K×nh	8	0	122	214	4000
7	H¶i-Th­¬ng Minh	8	0	122	215	3000
7	H¶i-Minh M«ng	8	0	122	216	3000
7	H¶i-Ngù K×nh	8	0	122	217	4000
1	Phong-Tïng Xuy	9	0	122	218	2000
1	Phong-Nam Hu©n	9	0	122	219	2000
1	Phong-Long TiÒm	9	0	122	220	2000
1	Phong-Ngù K×nh	9	0	122	221	4000
2	Phong-Tïng Xuy	9	0	122	222	2000
2	Phong-Nam Hu©n	9	0	122	223	2000
2	Phong-Long TiÒm	9	0	122	224	2000
2	Phong-Ngù K×nh	9	0	122	225	4000
3	Phong-Tïng Xuy	9	0	122	226	2000
3	Phong-Nam Hu©n	9	0	122	227	2000
3	Phong-Long TiÒm	9	0	122	228	2000
3	Phong-Ngù K×nh	9	0	122	229	4000
4	Phong-Tïng Xuy	9	0	122	230	2000
4	Phong-Nam Hu©n	9	0	122	231	2000
4	Phong-Long TiÒm	9	0	122	232	2000
4	Phong-Ngù K×nh	9	0	122	233	4000
5	Phong-Tïng Xuy	9	0	122	234	2000
5	Phong-Nam Hu©n	9	0	122	235	2000
5	Phong-Long TiÒm	9	0	122	236	2000
5	Phong-Ngù K×nh	9	0	122	237	4000
6	Phong-Tïng Xuy	9	0	122	238	2000
6	Phong-Nam Hu©n	9	0	122	239	2000
6	Phong-Long TiÒm	9	0	122	240	2000
6	Phong-Ngù K×nh	9	0	122	241	4000
7	Phong-Tïng Xuy	9	0	122	242	2000
7	Phong-Nam Hu©n	9	0	122	243	2000
7	Phong-Long TiÒm	9	0	122	244	2000
7	Phong-Ngù K×nh	9	0	122	245	4000
1	Vô-Thñy V©n	10	0	122	246	2000
1	Vô-Tè TrÇn	10	0	122	247	500
1	Vô-Thanh Huy	10	0	122	248	500
1	Vô-Ngù K×nh	10	0	122	249	7000
2	Vô-Thñy V©n	10	0	122	250	2000
2	Vô-Tè TrÇn	10	0	122	251	500
2	Vô-Thanh Huy	10	0	122	252	500
2	Vô-Ngù K×nh	10	0	122	253	7000
3	Vô-Thñy V©n	10	0	122	254	2000
3	Vô-Tè TrÇn	10	0	122	255	500
3	Vô-Thanh Huy	10	0	122	256	500
3	Vô-Ngù K×nh	10	0	122	257	7000
4	Vô-Thñy V©n	10	0	122	258	2000
