QuenchNum	MoneyNeed1	ItemNeed1	SuccessRate1	MoneyNeed2	ItemNeed2	SuccessRate2	MoneyNeed3	ItemNeed3	SuccessRate3	MoneyNeed4	ItemNeed4	SuccessRate4	MoneyNeed5	ItemNeed5	SuccessRate5	MoneyNeed6	ItemNeed6	SuccessRate6	MoneyNeed7	ItemNeed7	SuccessRate7	MoneyNeed8	ItemNeed8	SuccessRate8	
																									
1	10	2;102;215;20	2000	10	2;102;215;20	2000	10	2;102;215;20	2000	10	2;102;215;20	4000	10	2;102;215;20	5000	10	2;102;215;20	6000	10	2;102;215;20	10000	10	2;102;215;20	7000	
2	20	2;102;215;40	2000	20	2;102;215;40	2000	20	2;102;215;40	2000	20	2;102;215;40	4000	20	2;102;215;40	5000	20	2;102;215;40	6000	20	2;102;215;40	10000	20	2;102;215;40	7000	
3	30	2;102;215;60	2000	30	2;102;215;60	2000	30	2;102;215;60	2000	30	2;102;215;60	4000	30	2;102;215;60	5000	30	2;102;215;60	6000	30	2;102;215;60	10000	30	2;102;215;60	7000	
4	40	2;102;215;80	2000	40	2;102;215;80	2000	40	2;102;215;80	2000	40	2;102;215;80	4000	40	2;102;215;80	5000	40	2;102;215;80	6000	40	2;102;215;80	10000	40	2;102;215;80	7000	
5	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	50	2;102;215;100	10000	
6	60	2;102;215;120	2000	60	2;102;215;120	2000	60	2;102;215;120	2000	60	2;102;215;120	4000	60	2;102;215;120	5000	60	2;102;215;120	6000	60	2;102;215;120	10000	60	2;102;215;120	7000	
7	70	2;102;215;140	2000	70	2;102;215;140	2000	70	2;102;215;140	2000	70	2;102;215;140	4000	70	2;102;215;140	5000	70	2;102;215;140	6000	70	2;102;215;140	10000	70	2;102;215;140	7000	
8	80	2;102;215;160	2000	80	2;102;215;160	2000	80	2;102;215;160	2000	80	2;102;215;160	4000	80	2;102;215;160	5000	80	2;102;215;160	6000	80	2;102;215;160	10000	80	2;102;215;160	7000	
9	90	2;102;215;180	2000	90	2;102;215;180	2000	90	2;102;215;180	2000	90	2;102;215;180	4000	90	2;102;215;180	5000	90	2;102;215;180	6000	90	2;102;215;180	10000	90	2;102;215;180	7000	
10	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	100	2;102;215;200	10000	
11	110	2;102;215;220	3000	110	2;102;215;220	3000	110	2;102;215;220	3000	110	2;102;215;220	5000	110	2;102;215;220	6000	110	2;102;215;220	7000	110	2;102;215;220	10000	110	2;102;215;220	7000	
12	120	2;102;215;240	3000	120	2;102;215;240	3000	120	2;102;215;240	3000	120	2;102;215;240	5000	120	2;102;215;240	6000	120	2;102;215;240	7000	120	2;102;215;240	10000	120	2;102;215;240	7000	
13	130	2;102;215;260	3000	130	2;102;215;260	3000	130	2;102;215;260	3000	130	2;102;215;260	5000	130	2;102;215;260	6000	130	2;102;215;260	7000	130	2;102;215;260	10000	130	2;102;215;260	7000	
14	140	2;102;215;280	3000	140	2;102;215;280	3000	140	2;102;215;280	3000	140	2;102;215;280	5000	140	2;102;215;280	6000	140	2;102;215;280	7000	140	2;102;215;280	10000	140	2;102;215;280	7000	
15	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	150	2;102;215;300	10000	
16	160	2;102;215;320	4000	160	2;102;215;320	4000	160	2;102;215;320	4000	160	2;102;215;320	6000	160	2;102;215;320	7000	160	2;102;215;320	7000	160	2;102;215;320	10000	160	2;102;215;320	7000	
17	170	2;102;215;340	4000	170	2;102;215;340	4000	170	2;102;215;340	4000	170	2;102;215;340	6000	170	2;102;215;340	7000	170	2;102;215;340	7000	170	2;102;215;340	10000	170	2;102;215;340	7000	
18	180	2;102;215;360	4000	180	2;102;215;360	4000	180	2;102;215;360	4000	180	2;102;215;360	6000	180	2;102;215;360	7000	180	2;102;215;360	7000	180	2;102;215;360	10000	180	2;102;215;360	7000	
19	190	2;102;215;380	4000	190	2;102;215;380	4000	190	2;102;215;380	4000	190	2;102;215;380	6000	190	2;102;215;380	7000	190	2;102;215;380	7000	190	2;102;215;380	10000	190	2;102;215;380	7000	
20	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	200	2;102;215;400	10000	
21																						210	2;102;215;420	7000	
22																						220	2;102;215;440	7000	
23																						230	2;102;215;460	7000	
24																						240	2;102;215;480	7000	
25																						250	2;102;215;500	10000	
26																						260	2;102;215;520	7000	
27																						270	2;102;215;540	7000	
28																						280	2;102;215;560	7000	
29																						290	2;102;215;580	7000	
30																						300	2;102;215;600	10000	
