SuitID	SuitName	SuitPermutation	SuitLv	SuitColor	AttrID1	AttrLv1	AttrID2	AttrLv2	AttrID3_3	AttrLv3_3	AttrID3_4	AttrLv3_4	AttrID3_2	AttrLv3_2	AttrID3_14	AttrLv3_14	AttrID3_15	AttrLv3_15	AttrID3_17	AttrLv3_17	AttrID3_18	AttrLv3_18	AttrID3_11	AttrLv3_11	AttrID3_12	AttrLv3_12	AttrID3_8	AttrLv3_8	AttrID3_9	AttrLv3_9	AttrID3_30	AttrLv3_30	AttrID3_29	AttrLv3_29	AttrID3_32	AttrLv3_32	AttrID3_23	AttrLv3_23	AttrID3_6	AttrLv3_6	AttrID3_31	AttrLv3_31	AttrID3_26	AttrLv3_26	AttrID3_27	AttrLv3_27	AttrID3_25	AttrLv3_25	AttrID3_21	AttrLv3_21	AttrID3_20	AttrLv3_20	AttrID4	AttrLv4	
																																																							
1	Hoa Tri“u	2,3,7,9,12,15,16,	1	<color=Green>	14786	1	14787	1																																															
1	Hoa Tri“u	2,3,7,9,12,15,16	2	<color=Green>	14786	2	14787	2																																															
1	Hoa Tri“u	2,3,7,9,12,15,16	3	<color=Green>	14786	3	14787	3																																															
1	Hoa Tri“u	2,3,7,9,12,15,16	4	<color=Green>	14786	4	14787	4																																															
1	Hoa Tri“u	2,3,7,9,12,15,16	5	<color=Green>	14786	5	14787	5																																															
1	Hoa Tri“u	2,3,7,9,12,15,16	6	<color=Gold>	14786	6	14787	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
1	Hoa Tri“u	2,3,7,9,12,15,16	7	<color=Gold>	14786	7	14787	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
2	Qu t Nh≠	11,12,17,6,4,2,14	1	<color=Green>	14786	1	14788	1																																															
2	Qu t Nh≠	11,12,17,6,4,2,14	2	<color=Green>	14786	2	14788	2																																															
2	Qu t Nh≠	11,12,17,6,4,2,14	3	<color=Green>	14786	3	14788	3																																															
2	Qu t Nh≠	11,12,17,6,4,2,14	4	<color=Green>	14786	4	14788	4																																															
2	Qu t Nh≠	11,12,17,6,4,2,14	5	<color=Green>	14786	5	14788	5																																															
2	Qu t Nh≠	11,12,17,6,4,2,14	6	<color=Gold>	14786	6	14788	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
2	Qu t Nh≠	11,12,17,6,4,2,14	7	<color=Gold>	14786	7	14788	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
3	Vu Phong	1,4,5,7,13,18,16	1	<color=Green>	14789	1	14786	1																																															
3	Vu Phong	1,4,5,7,13,18,16	2	<color=Green>	14789	2	14786	2																																															
3	Vu Phong	1,4,5,7,13,18,16	3	<color=Green>	14789	3	14786	3																																															
3	Vu Phong	1,4,5,7,13,18,16	4	<color=Green>	14789	4	14786	4																																															
3	Vu Phong	1,4,5,7,13,18,16	5	<color=Green>	14789	5	14786	5																																															
3	Vu Phong	1,4,5,7,13,18,16	6	<color=Gold>	14789	6	14786	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
3	Vu Phong	1,4,5,7,13,18,16	7	<color=Gold>	14789	7	14786	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
4	Thanh HÓp	3,5,12,11,20,8,9	1	<color=Green>	14791	1	14792	1																																															
4	Thanh HÓp	3,5,12,11,20,8,9	2	<color=Green>	14791	2	14792	2																																															
4	Thanh HÓp	3,5,12,11,20,8,9	3	<color=Green>	14791	3	14792	3																																															
4	Thanh HÓp	3,5,12,11,20,8,9	4	<color=Green>	14791	4	14792	4																																															
4	Thanh HÓp	3,5,12,11,20,8,9	5	<color=Green>	14791	5	14792	5																																															
4	Thanh HÓp	3,5,12,11,20,8,9	6	<color=Gold>	14791	6	14792	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
4	Thanh HÓp	3,5,12,11,20,8,9	7	<color=Gold>	14791	7	14792	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
5	Cao Nguy÷t	4,2,7,12,15,20,19	1	<color=Green>	14793	1	14786	1																																															
5	Cao Nguy÷t	4,2,7,12,15,20,19	2	<color=Green>	14793	2	14786	2																																															
5	Cao Nguy÷t	4,2,7,12,15,20,19	3	<color=Green>	14793	3	14786	3																																															
5	Cao Nguy÷t	4,2,7,12,15,20,19	4	<color=Green>	14793	4	14786	4																																															
5	Cao Nguy÷t	4,2,7,12,15,20,19	5	<color=Green>	14793	5	14786	5																																															
5	Cao Nguy÷t	4,2,7,12,15,20,19	6	<color=Gold>	14793	6	14786	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
5	Cao Nguy÷t	4,2,7,12,15,20,19	7	<color=Gold>	14793	7	14786	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
6	L©m Chung	19,12,8,2,20,15,4	1	<color=Green>	14794	1	14786	1																																															
6	L©m Chung	19,12,8,2,20,15,4	2	<color=Green>	14794	2	14786	2																																															
6	L©m Chung	19,12,8,2,20,15,4	3	<color=Green>	14794	3	14786	3																																															
6	L©m Chung	19,12,8,2,20,15,4	4	<color=Green>	14794	4	14786	4																																															
6	L©m Chung	19,12,8,2,20,15,4	5	<color=Green>	14794	5	14786	5																																															
6	L©m Chung	19,12,8,2,20,15,4	6	<color=Gold>	14794	6	14786	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
6	L©m Chung	19,12,8,2,20,15,4	7	<color=Gold>	14794	7	14786	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
7	Di Tæc	6,14,13,11,15,3,17	1	<color=Green>	14795	1	14790	1																																															
7	Di Tæc	6,14,13,11,15,3,17	2	<color=Green>	14795	2	14790	2																																															
7	Di Tæc	6,14,13,11,15,3,17	3	<color=Green>	14795	3	14790	3																																															
7	Di Tæc	6,14,13,11,15,3,17	4	<color=Green>	14795	4	14790	4																																															
7	Di Tæc	6,14,13,11,15,3,17	5	<color=Green>	14795	5	14790	5																																															
7	Di Tæc	6,14,13,11,15,3,17	6	<color=Gold>	14795	6	14790	6	14809	1	14811	1	14813	1	14815	1	14817	1	14819	1	14821	1	14823	1	14825	1	14827	1	14829	1	14831	1	14833	1	14835	1	14837	1	14839	1	14841	1	14843	1	14845	1	14847	1	14849	1	14851	1			
7	Di Tæc	6,14,13,11,15,3,17	7	<color=Gold>	14795	7	14790	7	14810	1	14812	1	14814	1	14816	1	14818	1	14820	1	14822	1	14824	1	14826	1	14828	1	14830	1	14832	1	14834	1	14836	1	14838	1	14840	1	14842	1	14844	1	14846	1	14848	1	14850	1	14852	1			
8	Vﬁ ¶¨ng	7,5,10,16,17,4,9	1	<color=Green>	14796	1	14790	1																																															
8	Vﬁ ¶¨ng	7,5,10,16,17,4,9	2	<color=Green>	14796	2	14790	2																																															
8	Vﬁ ¶¨ng	7,5,10,16,17,4,9	3	<color=Green>	14796	3	14790	3																																															
8	Vﬁ ¶¨ng	7,5,10,16,17,4,9	4	<color=Green>	14796	4	14790	4																																															
8	Vﬁ ¶¨ng	7,5,10,16,17,4,9	5	<color=Green>	14796	5	14790	5																																															
