ItemsID	Genre	Detail	Particular	Num	Name
Tra cøu vËt phÈm	Lo¹i lín	Lo¹i trung	Lo¹i tiÓu	Chän	Tªn vËt phÈm
1353	1	2	1	10	Tµng Hång Hoa
1354	1	2	2	10	C¸t C¸nh
1355	1	2	3	10	Hoµng liªn
1356	1	2	4	10	X¹ h­¬ng
1357	1	2	5	10	Nh©n s©m
1358	1	2	6	10	MËt gÊu
1359	1	2	7	10	Ngäc Linh chi
1360	1	2	8	10	Ba ®Ëu
1361	1	2	9	10	X¸c ve
1362	1	2	10	10	§iÒn thÊt
1363	1	2	11	10	Xuyªn s¬n gi¸p
1364	1	2	12	10	TuyÕt liªn tö
1365	1	3	1	10	ThÞt Thá
1366	1	3	2	10	ThÞt Gµ
1367	1	3	3	10	L« ng­
1368	1	3	4	10	Tay GÊu
1369	1	3	5	10	Hång Cao L­¬ng
1370	1	3	6	10	Kim Thùc §¹o
1371	1	3	7	10	Men r­îu
1372	1	3	8	10	Gia vÞ
1373	1	3	9	10	Quang Th«ng Ma
1374	1	3	10	10	Khuynh ly ®Ëu
1375	1	3	11	10	NhiÔu minh ®Ëu
1376	1	3	12	10	Dung tr¹ch cèc
1377	1	3	13	10	MÝa
1378	1	3	14	10	Diªn Tinh m¹ch
1379	1	3	15	10	ThuÇn hßa m¹ch
1380	1	3	16	10	Du long tóc
1381	1	3	17	10	Phông Qu¸n Tóc
1382	1	3	18	10	Dao Chi Tóc
1383	1	3	19	10	Méc nhÜ
1384	1	3	20	10	Th¹ch khuÈn
1385	1	3	21	10	M¨ng
1386	1	3	22	10	Hå tiªu
1387	1	1	1	10	B¸nh Ng«
1388	1	1	2	10	C¬m n¾m
1389	1	1	3	10	Mµn thÇu
1390	1	1	4	10	B¸nh xÕp
1391	1	1	5	10	B¸nh bao thÞt
1392	1	1	6	10	M¨ng xµo
1393	1	1	7	10	Tø Quý ®Ëu
1394	1	1	8	10	§Ëu xµo
1395	1	1	9	10	C¶i xµo tái
1396	1	1	10	10	Thiªu §ao Tö
1397	1	1	11	10	N÷ Nhi Hång
1398	1	1	12	10	§¹o Hoa H­¬ng
1399	1	1	13	10	Tóy Méng Töu
1400	1	0	1	10	B¨ng
1401	1	0	2	10	Kim S¸ng T¸n
1402	1	0	3	10	ChØ HuyÕt T¸n
1403	1	0	4	10	B¹ch V©n t¸n
1404	1	0	5	10	Thiªn H­¬ng CÈm Tôc
1405	1	0	6	10	H¾c Ngäc §o¹n Tôc Cao
1406	1	0	7	10	TiÓu Hoµn ®¬n
1407	1	0	8	10	Hoµn D­¬ng ®¬n
1408	1	0	9	10	§¹i Hoµn ®¬n
1409	1	0	10	10	NhÊt Nguyªn Phôc Thñy §¬n
