装备名称	大类型	副类型	详细类别	在界面上显示的小图（标准男）	在界面上显示的大图（标准男）	在界面上显示的小图（魁梧男）	在界面上显示的大图（魁梧男）	在界面上显示的小图（性感女）	在界面上显示的大图（性感女）	在界面上显示的小图（娇小女）	在界面上显示的大图（娇小女）	装备在身上的时候，使用的显示类型名字（标准男）	装备在身上的时候，使用的显示类型名字（魁梧男）	装备在身上的时候，使用的显示类型名字（性感女）	装备在身上的时候，使用的显示类型名字（娇小女）	装备在身上的时候，使用的显示类型名字（武器）	
豪侠头	0	103	30567	\image\item\cap\m1_hd_026a1.spr	\image\item\cap\m1_hd_026a0.spr	\image\item\cap\m2_hd_026a1.spr	\image\item\cap\m2_hd_026a0.spr	\image\item\cap\f2_hd_026a1.spr	\image\item\cap\f2_hd_026a0.spr	\image\item\cap\f1_hd_026a1.spr	\image\item\cap\f1_hd_026a0.spr	标准男豪侠冠	魁梧男豪侠冠	性感女豪侠簪	娇小女豪侠簪		
豪侠衣	0	100	30567	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	标准男豪侠袍	魁梧男豪侠袍	性感女豪侠裳	娇小女豪侠裳		
豪侠装	0	101	30567	\image\item\shoe\m1_le_026a1.spr	\image\item\shoe\m1_le_026a0.spr	\image\item\shoe\m2_le_026a1.spr	\image\item\shoe\m2_le_026a0.spr	\image\item\shoe\f2_le_026a1.spr	\image\item\shoe\f2_le_026a0.spr	\image\item\shoe\f1_le_026a1.spr	\image\item\shoe\f1_le_026a0.spr	标准男豪侠装	魁梧男豪侠装	性感女豪侠裙	娇小女豪侠裙		
豪侠刀	0	3	30704	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr					少林刀14	
豪侠杖	0	8	30705	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr					少林禅14	
豪侠手	0	0	30706	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr						
豪侠针	0	1	30707	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr						
豪侠剑	0	2	30708	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr					峨眉剑14	
豪侠琴	0	10	30709	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr					峨眉琴14	
豪侠手	0	0	30710	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr						
豪侠棍	0	5	30711	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr					丐帮棍14	
豪侠剑	0	2	30712	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr					武当剑14	
豪侠笔	0	9	30713	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr					武当笔14	
豪侠枪	0	6	30714	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr					杨门枪14	
豪侠弓	0	4	30715	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr					杨门弓14	
豪侠刀	0	7	30716	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr					五毒刀14	
