蕴灵名称	大类型	副类型	详细类别	重量	价格	五行	蕴灵消耗 (金)	防御力(外，内)	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	等级	是否能交易(0能1不能2只能卖店3只能卖玩家)	是否能丢弃(0能1不能)	是否可维修（0是/1否）		
鹰袭（头部）等级1	2	144	2	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：鹰袭（头部）等级1，效果：提高命中100点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
鹰袭（头部）等级2	2	144	3	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：鹰袭（头部）等级2，效果：提高命中210点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
鹰袭（头部）等级3	2	144	4	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：鹰袭（头部）等级3，效果：提高命中350点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
怒吟（衣服）等级1	2	144	5	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：怒吟（衣服）等级1，效果：内外攻增加3%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
怒吟（衣服）等级2	2	144	6	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：怒吟（衣服）等级2，效果：内外攻增加7%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
怒吟（衣服）等级3	2	144	7	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：怒吟（衣服）等级3，效果：内外攻增加11%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
无量（下装）等级1	2	144	8	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：无量（下装）等级1，效果：提高生命上限5%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
无量（下装）等级2	2	144	9	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：无量（下装）等级2，效果：提高生命上限10%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
无量（下装）等级3	2	144	10	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：无量（下装）等级3，效果：提高生命上限15%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
目冥（下装）等级1	2	144	11	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：目冥（下装）等级1，效果：提高内力上限5%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
