Level	Life	Exp	AI	AttackSpeed	MoveSpeed	PhysicalAttack	MagicAttack	PhysicalDefence	MagicDefence	DropItemCount	MagicEquip1	MagicEquip2	MagicEquip3	BornRate	BornPercent	MaxCoexistNum	BornDelay	DropSuperItemCount	DropRateFile
1	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	5	
2	887	500	5	0	0	103	103	103	103	5	0	0	0	40	1	1	60	5	
3	875	500	5	0	0	106	106	106	106	5	0	0	0	40	1	1	60	5	
4	862	500	5	0	0	109	109	109	109	5	0	0	0	40	1	1	60	5	
5	850	500	5	0	0	112	112	112	112	5	0	0	0	40	1	1	60	5	
6	837	500	5	0	0	115	115	115	115	5	0	0	0	40	1	1	60	5	
7	825	500	5	0	0	118	118	118	118	5	0	0	0	40	1	1	60	5	
8	812	500	5	0	0	121	121	121	121	5	0	0	0	40	1	1	60	5	
9	800	500	5	0	0	124	124	124	124	5	0	0	0	40	1	1	60	5	
10	787	500	5	0	0	127	127	127	127	5	0	0	0	40	1	1	60	5	
11	775	500	5	0	0	130	130	130	130	5	0	0	0	40	1	1	60	5	
12	762	500	5	0	0	133	133	133	133	5	0	0	0	40	1	1	60	5	
13	750	500	5	0	0	136	136	136	136	5	0	0	0	40	1	1	60	5	
14	737	500	5	0	0	139	139	139	139	5	0	0	0	40	1	1	60	5	
15	725	500	5	0	0	142	142	142	142	5	0	0	0	40	1	1	60	5	
16	712	500	5	0	0	145	145	145	145	5	0	0	0	40	1	1	60	5	
17	700	500	5	0	0	148	148	148	148	5	0	0	0	40	1	1	60	5	
18	687	500	5	0	0	151	151	151	151	5	0	0	0	40	1	1	60	5	
19	675	500	5	0	0	154	154	154	154	5	0	0	0	40	1	1	60	5	
20	662	500	5	0	0	157	157	157	157	5	0	0	0	40	1	1	60	5	
21	650	500	5	0	0	160	160	160	160	5	0	0	0	40	1	1	60	4	
22	637	500	5	0	0	163	163	163	163	5	0	0	0	40	1	1	60	4	
23	625	500	5	0	0	166	166	166	166	5	0	0	0	40	1	1	60	4	
24	612	500	5	0	0	169	169	169	169	5	0	0	0	40	1	1	60	4	
25	600	500	5	0	0	172	172	172	172	5	0	0	0	40	1	1	60	4	
26	587	500	5	0	0	175	175	175	175	5	0	0	0	40	1	1	60	4	
27	575	500	5	0	0	178	178	178	178	5	0	0	0	40	1	1	60	4	
28	562	500	5	0	0	181	181	181	181	5	0	0	0	40	1	1	60	4	
29	550	500	5	0	0	184	184	184	184	5	0	0	0	40	1	1	60	4	
30	537	500	5	0	0	187	187	187	187	5	0	0	0	40	1	1	60	4	
31	525	500	5	0	0	190	190	190	190	5	0	0	0	40	1	1	60	4	
32	512	500	5	0	0	193	193	193	193	5	0	0	0	40	1	1	60	4	
33	500	500	5	0	0	196	196	196	196	5	0	0	0	40	1	1	60	4	
34	487	500	5	0	0	199	199	199	199	5	0	0	0	40	1	1	60	4	
35	475	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
36	462	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
37	450	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
38	437	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
39	425	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
40	412	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
41	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
42	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
43	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
44	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
45	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
46	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
47	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
48	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
49	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
50	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
51	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
52	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
53	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
54	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
55	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
56	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
57	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
58	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
59	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
60	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	
61	450	500	5	0	0	190	190	190	190	5	0	0	0	40	1	1	60	4	
62	500	500	5	0	0	180	180	180	180	5	0	0	0	40	1	1	60	4	
63	550	500	5	0	0	170	170	170	170	5	0	0	0	40	1	1	60	4	
64	600	500	5	0	0	160	160	160	160	5	0	0	0	40	1	1	60	4	
65	650	500	5	0	0	150	150	150	150	5	0	0	0	40	1	1	60	4	
66	700	500	5	0	0	140	140	140	140	5	0	0	0	40	1	1	60	4	
67	750	500	5	0	0	130	130	130	130	5	0	0	0	40	1	1	60	4	
68	800	500	5	0	0	120	120	120	120	5	0	0	0	40	1	1	60	4	
69	850	500	5	0	0	110	110	110	110	5	0	0	0	40	1	1	60	4	
70	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
71	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
72	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
73	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
74	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
75	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
76	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
77	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
78	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
79	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
80	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
81	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
82	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
83	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
84	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
85	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
86	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
87	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
88	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
89	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
90	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
91	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
92	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
93	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
94	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
95	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
96	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
97	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
98	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
99	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	
