NpcName	Level	Reputation	Exp	Money	TaskID1	TaskValue1	TaskID2	TaskValue2	TaskID3	TaskValue3	EventType	说明
野叟	1	0	0	0	1	100	-1	-1	-1	-1	0	/0 - 接任务/1 - 交任务
武器店老板	1	0	0	0	1	1	-1	-1	-1	-1	1	
男装店老板	1	0	0	0	1	2	-1	-1	-1	-1	1	
女装店老板	1	0	0	0	1	2	-1	-1	-1	-1	1	
饰品店老板	1	0	0	0	1	3	-1	-1	-1	-1	1	
药店老板	1	0	0	0	1	4	-1	-1	-1	-1	1	
杂货店老板	1	0	0	0	1	5	-1	-1	-1	-1	1	
野叟	1	0	0	0	1	6	-1	-1	-1	-1	1	
野叟	4	0	0	0	1	7	-1	-1	-1	-1	0	
城门卫兵	1	0	0	0	1	8	-1	-1	-1	-1	1	
武师	1	0	0	0	1	9	-1	-1	-1	-1	1	
野叟	1	0	0	0	1	10	-1	-1	-1	-1	1	
野叟	6	0	0	0	1	11	-1	-1	-1	-1	0	
酒楼老板	1	0	0	0	1	12	-1	-1	-1	-1	1	
镖师	1	0	0	0	1	13	-1	-1	-1	-1	1	
野叟	1	0	0	0	1	14	-1	-1	-1	-1	1	
野叟	1	0	0	0	1	15	-1	-1	-1	-1	1	
野叟	8	0	0	0	1	16	-1	-1	-1	-1	0	
野叟	1	0	0	0	1	17	-1	-1	-1	-1	1	
百晓生	1	0	0	0	1	18	-1	-1	-1	-1	1	
野叟	1	0	0	0	1	19	-1	-1	-1	-1	1	
野叟	9	0	0	0	1	20	-1	-1	-1	-1	0	
赵延年	9	0	0	0	1	21	-1	-1	-1	-1	1	
赵延年	9	0	0	0	1	22	-1	-1	-1	-1	1	
赵延年	10	0	0	0	1	23	-1	-1	-1	-1	1	
野叟	10	0	0	0	1	24	-1	-1	-1	-1	1	
物品保管人	1	0	0	0	805	0	-1	-1	-1	-1	0	
物品保管人	1	0	0	0	805	1	-1	-1	-1	-1	1	
店小二	15	0	0	0	1401	0	-1	-1	-1	-1	0	
江湖人士	15	0	0	0	1401	5	-1	-1	-1	-1	1	
江湖人士	15	0	0	0	1401	10	-1	-1	-1	-1	1	
曹大力	15	0	0	0	1401	15	-1	-1	-1	-1	1	
曹大力	15	0	0	0	1401	20	-1	-1	-1	-1	1	
军营守卫	15	0	0	0	1401	25	-1	-1	-1	-1	1	
兵部侍郎	15	0	0	0	1401	30	-1	-1	-1	-1	1	
兵部侍郎	15	0	0	0	1401	35	-1	-1	-1	-1	1	
佘太君	15	0	0	0	1401	40	-1	-1	-1	-1	1	
杨业	15	0	0	0	1401	45	-1	-1	-1	-1	1	
杨业	15	0	0	0	1401	50	-1	-1	-1	-1	1	
韩智让邻居	15	0	0	0	1401	55	-1	-1	-1	-1	1	
