武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	攻击1	攻击2
空手	骑马空手战斗站立	骑马空手站立	骑马空手站立	骑马空手行走	骑马空手奔跑	骑马被击	骑马空手格档				骑马死亡		
暗器	骑马空手战斗站立	骑马空手站立	骑马空手站立	骑马空手行走	骑马空手奔跑	骑马被击	骑马空手格档				骑马死亡		
单刀1a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀1b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀1c	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀2a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀2b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀3a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀3b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀4a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀4b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀5a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀5b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀6a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
