index	effect
901	\Image\effect\sfx\其他\主角升级.3e
902	\Image\effect\sfx\其他\技能招式发.3e
903	\Image\effect\sfx\其他\技能招式被.3e
904	\Image\effect\sfx\其他\主角上线.3e
905	\Image\effect\sfx\其他\npc刷新.3e
906	\Image\effect\sfx\其他\接任务状态.3e
907	\Image\effect\sfx\其他\完成任务状态.3e
908	\Image\effect\sfx\其他\火炬圣火.3e
909	\Image\effect\sfx\其他\火炬台圣火.3e
910	\Image\effect\sfx\其他\圣火台圣火.3e
911	\Image\effect\sfx\其他\使用药品.3e
912	\Image\effect\sfx\其他\回城.3e
913	\Image\effect\sfx\其他\盛世火炬台圣火.3e
914	\Image\effect\sfx\其他\物品提示.3e
915	\Image\effect\sfx\其他\
916	\Image\effect\sfx\其他\
917	\Image\effect\sfx\其他\
918	\Image\effect\sfx\其他\精练打造.3e
919	\Image\effect\sfx\其他\
921	\Image\effect\sfx\其他\脚底光环.3e
922	\Image\effect\sfx\其他\暴击_a.3e
923	\Image\effect\sfx\其他\暴击_b.3e
924	\Image\effect\sfx\其他\点击目标提示.3e
925	\Image\effect\sfx\其他\友好度.3e
926	\Image\effect\sfx\其他\睡眠.3e
927	\Image\effect\sfx\其他\减速.3e
928	\Image\effect\sfx\其他\迟缓.3e
929	\Image\effect\sfx\其他\混乱.3e
930	\Image\effect\sfx\其他\晕眩.3e
931	\Image\effect\sfx\其他\定身.3e
932	\Image\effect\sfx\其他\麻痹.3e
933	\Image\effect\sfx\其他\中毒.3e
934	\Image\effect\sfx\其他\睡眠.3e
935	\Image\effect\sfx\其他\星星.3e
936	\Image\effect\sfx\其他\烟花.3e
937	\Image\effect\sfx\其他\圣诞树特效1 20%.3e
938	\Image\effect\sfx\其他\圣诞树特效1 40%.3e
939	\Image\effect\sfx\其他\圣诞树特效1 60%.3e
940	\Image\effect\sfx\其他\圣诞树特效2 20%.3e
941	\Image\effect\sfx\其他\圣诞树特效2 40%.3e
942	\Image\effect\sfx\其他\圣诞树特效2 60%.3e
943	\Image\effect\sfx\其他\圣诞树特效3 20%.3e
944	\Image\effect\sfx\其他\圣诞树特效3 40%.3e
945	\Image\effect\sfx\其他\圣诞树特效3 60%.3e
946	\Image\effect\sfx\其他\圣诞树特效20%.3e
947	\Image\effect\sfx\其他\圣诞树特效40%.3e
948	\Image\effect\sfx\其他\圣诞树特效60%.3e
949	\Image\effect\sfx\其他\积气球.3e
950	\Image\effect\sfx\其他\结婚特效1.3e
