CÊp	danh väng cao nhÊt	Danh väng m«n ph¸i cao nhÊt	M«n ph¸i_danh väng mçi ngµy cao nhÊt (th­êng)	M«n ph¸i_danh väng mçi ngµy cao nhÊt (cao cÊp)
1	500	20000	500	1000
2	500	20000	500	1000
3	500	20000	500	1000
4	500	20000	500	1000
5	500	20000	500	1000
6	500	20000	500	1000
7	500	20000	500	1000
8	500	20000	500	1000
9	500	20000	500	1000
10	500	20000	500	1000
11	1000	20000	500	1000
12	1000	20000	500	1000
13	1000	20000	500	1000
14	1000	20000	500	1000
15	1000	20000	500	1000
16	1000	20000	500	1000
17	1000	20000	500	1000
18	1000	20000	500	1000
19	1000	20000	500	1000
20	1000	20000	500	1000
21	1000	20000	500	1000
22	1000	20000	500	1000
23	1000	20000	500	1000
24	1000	20000	500	1000
25	1000	20000	500	1000
26	1000	20000	500	1000
27	1000	20000	500	1000
28	1000	20000	500	1000
29	1000	20000	500	1000
30	1000	20000	500	1000
31	9000	20000	500	1000
32	9000	20000	500	1000
33	9000	20000	500	1000
34	9000	20000	500	1000
35	9000	20000	500	1000
36	9000	20000	500	1000
37	9000	20000	500	1000
38	9000	20000	500	1000
39	9000	20000	500	1000
40	9000	20000	500	1000
41	9000	20000	500	1000
42	9000	20000	500	1000
43	9000	20000	500	1000
44	9000	20000	500	1000
45	9000	20000	500	1000
46	9000	20000	500	1000
47	9000	20000	500	1000
48	9000	20000	500	1000
49	9000	20000	500	1000
50	9000	20000	500	1000
51	22500	20000	500	1000
52	22500	20000	500	1000
53	22500	20000	500	1000
54	22500	20000	500	1000
55	22500	20000	500	1000
56	22500	20000	500	1000
57	22500	20000	500	1000
58	22500	20000	500	1000
59	22500	20000	500	1000
60	22500	20000	500	1000
61	22500	20000	500	1000
62	22500	20000	500	1000
63	22500	20000	500	1000
64	22500	20000	500	1000
65	22500	20000	500	1000
66	22500	20000	500	1000
67	22500	20000	500	1000
68	22500	20000	500	1000
69	22500	20000	500	1000
70	22500	20000	500	1000
71	45000	20000	500	1000
72	45000	20000	500	1000
73	45000	20000	500	1000
74	45000	20000	500	1000
75	45000	20000	500	1000
76	45000		500	1000
77	45000		500	1000
78	45000		500	1000
79	45000		500	1000
80	45000		500	1000
81			500	1000
82			500	1000
83			500	1000
84			500	1000
85			500	1000
86			500	1000
87			500	1000
88			500	1000
89			500	1000
90			500	1000
91			500	1000
92			500	1000
93			500	1000
94			500	1000
95			500	1000
96			500	1000
97			500	1000
98			500	1000
99			500	1000
