ID	Name	Belong	ProduceGenre	ProduceSub	ProduceDetail	SecProduceGenre	SecProduceSub	SecProduceDetail	SecProduceRate	Stuff1Genre	Stuff1Sub	Stuff1Detail	Stuff1Num	Stuff2Genre	Stuff2Sub	Stuff2Detail	Stuff2Num	Stuff3Genre	Stuff3Sub	Stuff3Detail	Stuff3Num	Stuff4Genre	Stuff4Sub	Stuff4Detail	Stuff4Num	ToolGenre	ToolSub	ToolDetail	ToolNum	NeedMore	Level	StaminaCost	ExpGain	RecipeDetail	MakeTime	EquipType	Identify
1	窝头	2	1	1	1																									0	1	1	0	101	36	0	1
2	军用物资	2	2	97	1					2	0	307	15																	0	1	0	0	101	36	0	1
9	黑钨精石	2	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	101	36	0	1
10	铁线精木	2	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	101	36	0	1
11	山狮精皮	2	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	101	36	0	1
12	赤钨灵符	2	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	101	36	0	1
13	金创散	2	1	0	2					1	2	8	5																	0	20	2	2	102	36	0	1
14	止血散	2	1	0	3					1	2	2	2	1	2	1	2	1	2	8	1									0	20	2	2	102	36	0	1
15	小还丹	2	1	0	7					1	2	8	2	1	2	1	2													0	20	2	2	102	36	0	1
16	还阳丹	2	1	0	8					1	2	2	2	1	2	1	2	1	2	8	1									0	20	2	2	102	36	0	1
17	清心散	2	1	0	12					1	2	8	2	1	2	1	2	2	2	28	1									0	20	2	2	102	36	0	1
18	益气散	2	1	0	13					1	2	2	2	1	2	1	2	1	2	3	1	2	2	28	1					0	20	2	2	102	36	0	1
19	白日丹	2	1	0	17					1	2	8	2	1	2	1	2	2	2	28	1									0	20	2	2	102	36	0	1
20	全生丹	2	1	0	18					1	2	2	2	1	2	1	2	2	2	28	1									0	20	2	2	102	36	0	1
21	益阳散	2	1	0	22					1	2	8	2	1	2	1	2	2	2	28	1									0	20	2	2	102	36	0	1
22	千金散	2	1	0	23					1	2	2	2	1	2	1	2	2	2	28	1									0	20	2	2	102	36	0	1
23	白云散	2	1	0	4					1	2	3	2	1	2	10	4	1	2	9	2	2	2	28	3					0	50	3	10	103	36	0	1
24	大还丹	2	1	0	9					1	2	3	2	1	2	10	4	1	2	9	2	2	2	28	3					0	50	3	10	103	36	0	1
25	玉灵散	2	1	0	14					1	2	3	2	1	2	10	4	1	2	11	2	2	2	28	3					0	50	3	10	103	36	0	1
26	召魂丹	2	1	0	19					1	2	11	2	1	2	12	2	1	3	11	1	2	131	82	1					0	50	3	10	103	36	0	1
27	补天散	2	1	0	24					1	2	11	2	1	2	12	2	1	3	11	1	2	131	82	1					0	50	3	10	103	36	0	1
28	天香云锦续	2	1	0	5					1	2	4	2	1	2	5	2	1	2	6	1	2	131	82	1					0	70	5	20	104	36	0	1
29	一元复始丹	2	1	0	10					1	2	4	2	1	2	5	2	1	2	6	1	2	131	82	1					0	70	5	20	104	36	0	1
30	五花玉露丸	2	1	0	15					1	2	4	2	1	2	5	2	1	2	6	1	2	131	82	1					0	70	5	20	104	36	0	1
31	渔神役使丹	2	1	0	20					1	2	6	2	1	2	5	2	1	2	9	1	2	131	82	1					0	70	5	20	104	36	0	1
32	七虫七花散	2	1	0	25					1	2	6	2	1	2	4	2	1	2	2	1	2	131	82	1					0	70	5	20	104	36	0	1
