ID	Name	Belong	ProduceGenre	ProduceSub	ProduceDetail	SecProduceGenre	SecProduceSub	SecProduceDetail	SecProduceRate	Stuff1Genre	Stuff1Sub	Stuff1Detail	Stuff1Num	Stuff2Genre	Stuff2Sub	Stuff2Detail	Stuff2Num	Stuff3Genre	Stuff3Sub	Stuff3Detail	Stuff3Num	Stuff4Genre	Stuff4Sub	Stuff4Detail	Stuff4Num	ToolGenre	ToolSub	ToolDetail	ToolNum	NeedMore	Level	StaminaCost	ExpGain	RecipeDetail	MakeTime	EquipType	Identify
1	窝头	1	1	1	1																									0	1	1	0	201	36	0	1
2	军用物资	1	2	97	1					2	0	307	15																	0	1	0	0	201	36	0	1
3	黑钨精石	1	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	201	36	0	1
4	铁线精木	1	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	201	36	0	1
5	山狮精皮	1	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	201	36	0	1
6	赤钨灵符	1	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	201	36	0	1
7	饭团	1	1	1	2					1	3	9	2	1	3	8	4													0	2	2	2	202	36	0	1
8	馒头	1	1	1	3					1	3	10	2	1	3	20	2	1	3	8	4									0	2	2	2	202	36	0	1
9	素炒竹肉	1	1	1	6					1	3	9	2	1	3	19	2	1	3	8	2									0	2	2	2	202	36	0	1
10	家常四季豆	1	1	1	7					1	3	11	2	1	3	21	2	1	3	8	2									0	2	2	2	202	36	0	1
11	烧刀子	1	1	1	10					1	3	5	2	1	3	19	2	1	3	8	2									0	2	2	2	202	36	0	1
12	女儿红	1	1	1	11					1	3	5	2	1	3	20	2	1	3	19	2	1	3	8	2					0	2	2	2	202	36	0	1
13	花卷	1	1	1	4					1	3	12	2	1	3	22	2	1	3	11	1	1	3	8	2					0	5	3	10	203	36	0	1
14	肉包	1	1	1	5	1	0	411	20	1	3	14	2	1	3	2	2	1	3	8	4									0	5	3	10	203	36	0	1
15	炒豌豆角	1	1	1	8					1	3	13	2	1	3	12	4	1	3	8	2									0	5	3	10	203	36	0	1
16	蒜茸生菜	1	1	1	9					1	3	15	2	1	3	14	2	1	3	13	1	1	3	24	2					0	5	3	10	203	36	0	1
17	稻花香	1	1	1	12					1	3	12	2	1	3	22	2	1	3	21	1	1	3	7	2					0	5	3	10	203	36	0	1
