ID	skillID	Level	Name	gdp	time	tool	cost	award	exp
1101	1	1	松木	2,2,41,1	15	50	100	200,300	100
1102	1	1	杨木	2,2,42,1	15	50	100	200,300	100
1103	1	1	杉木	2,2,43,1	15	50	100	200,300	100
1104	1	1	铁木	2,2,44,1	15	50	100	200,300	100
1201	1	2	梧桐木	2,2,45,1	20	60	120	120,200	400
1202	1	2	重木	2,2,9,1	20	60	120	120,200	400
1203	1	2	铁樟木	2,2,10,1	20	60	120	120,200	400
1204	1	2	铁桦木	2,2,104,1	20	60	120	120,200	400
1301	1	3	铁线木	2,2,11,1	25	75	150	80,120	600
1302	1	3	波罗木	2,2,12,1	25	75	150	80,120	600
1303	1	3	檀木	2,2,13,1	25	75	150	80,120	600
1304	1	3	菩提木	2,2,14,1	25	75	150	80,120	600
1305	1	3	建木	2,2,105,1	25	75	150	80,120	600
1401	1	4	玉树干	2,7,3,1	30	75	150	40,80	0
1402	1	4	婆罗木干	2,7,6,1	30	75	150	40,80	0
1403	1	4	菩提木干	2,7,7,1	30	75	150	40,80	0
2101	2	1	黑犬灵血	2,2,33,1	15	50	100	200,300	100
2102	2	1	青乌灵血	2,2,34,1	15	50	100	200,300	100
2103	2	1	玄鹤灵血	2,2,35,1	15	50	100	200,300	100
2104	2	1	兔毛	2,9,1,1	15	50	100	200,300	100
2105	2	1	狼皮	2,2,15,1	15	50	100	200,300	100
2106	2	1	虎皮	2,2,16,1	15	50	100	200,300	100
2107	2	1	蛇皮	2,2,18,1	15	50	100	200,300	100
2108	2	1	兔肉	1,3,1,1	15	50	100	200,300	100
2109	2	1	鸡肉	1,3,2,1	15	50	100	200,300	100
2201	2	2	狐皮	2,2,17,1	20	60	120	120,200	400
2202	2	2	白虎皮	2,2,19,1	20	60	120	120,200	400
2203	2	2	熊掌	1,3,4,1	20	60	120	120,200	400
2204	2	2	白虎之皮	2,2,46,1	20	60	120	120,200	400
2205	2	2	熊皮	2,2,20,1	20	60	120	120,200	400
2206	2	2	鸾鸟羽披	2,10,7,1	20	60	120	120,200	400
2301	2	3	率然原皮	2,10,2,1	25	75	150	80,120	600
2302	2	3	山狮之皮	2,2,47,1	25	75	150	80,120	600
2303	2	3	朱雀之羽	2,2,49,1	25	75	150	80,120	600
2304	2	3	灵鳌之皮	2,2,50,1	25	75	150	80,120	600
2305	2	3	地龙血	2,2,107,1	25	75	150	80,120	600
2401	2	4	巴蛇原皮	2,10,3,1	30	75	150	40,80	0
2402	2	4	白猿之皮	2,2,48,1	30	75	150	40,80	0
2403	2	4	蕴灵毫	2,2,109,1	30	75	150	40,80	0
3101	3	1	蚕丝	2,9,2,1	15	50	100	200,300	100
3102	3	1	五色丝	2,9,3,1	15	50	100	200,300	100
3103	3	1	红高粱	1,3,5,1	15	50	100	200,300	100
3104	3	1	光通麻	1,3,9,1	15	50	100	200,300	100
3105	3	1	倾篱豆	1,3,10,1	15	50	100	200,300	100
3106	3	1	绕明豆	1,3,11,1	15	50	100	200,300	100
3111	3	1	木耳	1,3,19,1	15	50	100	200,300	100
3112	3	1	石菌	1,3,20,1	15	50	100	200,300	100
3113	3	1	竹肉	1,3,21,1	15	50	100	200,300	100
3201	3	2	狼蛛丝	2,2,52,1	20	60	120	120,200	400
3202	3	2	血蚕丝	2,2,53,1	20	60	120	120,200	400
3203	3	2	灵蛛丝	2,2,54,1	20	60	120	120,200	400
3204	3	2	金蚕丝	2,2,55,1	20	60	120	120,200	400
3205	3	2	金实稻	1,3,6,1	20	60	120	120,200	400
3206	3	2	融泽谷	1,3,12,1	20	60	120	120,200	400
3207	3	2	甘蔗	1,3,13,1	20	60	120	120,200	400
3208	3	2	延精麦	1,3,14,1	20	60	120	120,200	400
3209	3	2	淳和麦	1,3,15,1	20	60	120	120,200	400
3210	3	2	胡椒	1,3,22,1	20	60	120	120,200	400
3301	3	3	冷虫丝	2,9,4,1	25	75	150	80,120	600
3302	3	3	火蛛丝	2,9,5,1	25	75	150	80,120	600
3303	3	3	冰蚕丝	2,9,6,1	25	75	150	80,120	600
3304	3	3	乌蚕丝	2,9,7,1	25	75	150	80,120	600
3305	3	3	天蚕丝	2,2,56,1	25	75	150	80,120	600
3306	3	3	彩云丝	2,2,100,1	25	75	150	80,120	600
3307	3	3	游龙粟	1,3,16,1	25	75	150	80,120	600
3308	3	3	凤冠粟	1,3,17,1	25	75	150	80,120	600
3309	3	3	摇枝粟	1,3,18,1	25	75	150	80,120	600
3401	3	4	瑞麦	2,130,20,1	30	75	150	40,80	0
3402	3	4	半夏稻	2,130,21,1	30	75	150	40,80	0
3403	3	4	竹荪	2,130,22,1	30	75	150	40,80	0
4101	4	1	藏红花	1,2,1,1	15	50	100	200,300	100
4102	4	1	桔梗	1,2,2,1	15	50	100	200,300	100
4103	4	1	巴豆	1,2,8,1	15	50	100	200,300	100
4201	4	2	黄连	1,2,3,1	20	60	120	120,200	400
4202	4	2	蝉蜕	1,2,9,1	20	60	120	120,200	400
4203	4	2	田七	1,2,10,1	20	60	120	120,200	400
4204	4	2	穿山甲	1,2,11,1	20	60	120	120,200	400
4205	4	2	雪莲子	1,2,12,1	20	60	120	120,200	400
4301	4	3	麝香	1,2,4,1	25	75	150	80,120	600
4302	4	3	人参	1,2,5,1	25	75	150	80,120	600
4303	4	3	熊胆	1,2,6,1	25	75	150	80,120	600
4401	4	4	虫草	2,130,24,1	30	75	150	40,80	0
4402	4	4	何首乌	2,130,25,1	30	75	150	40,80	0
4403	4	4	天麻	2,130,26,1	30	75	150	40,80	0
5101	5	1	精铁	2,2,1,1	15	50	100	200,300	100
5102	5	1	百炼钢	2,2,2,1	15	50	100	200,300	100
5103	5	1	乌金石	2,8,5,1	15	50	100	200,300	100
5104	5	1	紫金	2,2,3,1	15	50	100	200,300	100
5105	5	1	朱砂	2,2,30,1	15	50	100	200,300	100
5201	5	2	寒铁	2,2,4,1	20	60	120	120,200	400
5202	5	2	太白精金	2,2,5,1	20	60	120	120,200	400
5203	5	2	玄铁	2,2,6,1	20	60	120	120,200	400
5204	5	2	天青石	2,2,36,1	20	60	120	120,200	400
5205	5	2	丹心砂	2,2,31,1	20	60	120	120,200	400
5206	5	2	碧血砂	2,2,32,1	20	60	120	120,200	400
5301	5	3	玄石	2,8,7,1	25	75	150	80,120	600
5302	5	3	黑钨石	2,2,37,1	25	75	150	80,120	600
5303	5	3	赤铁	2,2,38,1	25	75	150	80,120	600
5304	5	3	云母	2,2,39,1	25	75	150	80,120	600
5305	5	3	天灵砂	2,2,106,1	25	75	150	80,120	600
5401	5	4	紫石英	2,130,16,1	30	75	150	40,80	0
5402	5	4	锆石	2,2,40,1	30	75	150	40,80	0
5403	5	4	催魂砂	2,130,17,1	30	75	150	40,80	0
6101	6	1	鲈鱼	1,3,3,1	15	50	100	200,300	100
6102	6	1	鲤鱼	2,130,1,1	15	50	100	200,300	100
6103	6	1	桂鱼	2,130,2,1	15	50	100	200,300	100
6104	6	1	白珍珠	2,130,3,1	15	50	100	200,300	100
6201	6	2	鲶鱼	2,130,4,1	20	60	120	120,200	400
6202	6	2	黑鱼	2,130,5,1	20	60	120	120,200	400
6203	6	2	鲫鱼	2,130,6,1	20	60	120	120,200	400
6204	6	2	黑珍珠	2,130,7,1	20	60	120	120,200	400
6301	6	3	黄鱼	2,130,8,1	25	75	150	80,120	600
6302	6	3	蟹	2,130,9,1	25	75	150	80,120	600
6303	6	3	虾	2,130,10,1	25	75	150	80,120	600
6304	6	3	河豚	2,130,11,1	25	75	150	80,120	600
6401	6	4	鲢鱼	2,130,12,1	30	75	150	40,80	0
6402	6	4	红珊瑚珠	2,130,13,1	30	75	150	40,80	0
6403	6	4	蓝珊瑚珠	2,130,14,1	30	75	150	40,80	0
