ID	MaxStackCount	NeedSameLauncher	TimeEnhance	AttriType_0	AttriStack_0	AttriValue_0	AttriType_1	AttriStack_1	AttriValue_1	AttriType_2	AttriStack_2	AttriValue_2
1	3	1	1	state_attack_add_spec	1;0	151715880;40						
2	3	1	1	state_attack_add_spec	1;0	150732900;100						
3	3	1	1	state_attack_add_spec	1;0	151650344;40						
4	3	1	1	state_attack_add_spec	1;0	152240228;100	state_skill_cast_interval_dec_spec_1	1;0	152174628;36			
5	3	1	1	state_attack_add_spec	1;0	153157732;100	state_attack_add_spec	1;0	153288804;100			
6	2	1	1	state_attack_add_spec	1;0	154665060;100						
7	3	1	1	state_attack_add_spec	1;0	155123812;100						
8	3	1	1	state_attack_add_spec	1;0	158793828;100						
9	3	1	1	state_burst_enhance_rate_spec_1	1;0	158335026;50						
10	3	1	1	state_attack_add_spec	1;0	160694372;100						
11	3	1	1	state_attack_add_spec	1;0	152633444;100						
12	2	1	1	state_attack_add_spec	1;0	158007446;150						
13	3	1	1	state_attack_add_spec	1;0	160235620;100						
14	100	1	1	state_lost_life_per18	1;0	100;100	state_add_damage_percent	20;0	50;0			
15	5	1	1	state_destiny_attack_point_add	1;0	50;50						
16	25	1	1	state_destiny_armor_point_add	1;0	5;5						
17	10	1	1	state_destiny_armor_point_add	1;0	15;15						
18	10	1	1	state_destiny_attack_point_add	1;0	10;10	state_add_allability	1;0	3;3	state_immune	1;0	3;3
19	3	1	1	state_attack_add_spec	1;0	168230962;50						
20	3	1	1	state_attack_add_spec	1;0	171966514;50						
