C p	Kinh nghi÷m th®ng c p nh©n vÀt ch≠a chuy”n sinh	ExpAdd0	ßi”m ti“m n®ng lÛc ch≠a trÔng sinh	CustomConsumeName	Kinh nghi÷m th®ng c p cÒa nh©n vÀt chuy”n sinh l«n 1	ExpAdd1	ßi”m ti“m n®ng cÒa chuy”n sinh l«n 1	CustomConsumeName1	Kinh nghi÷m th®ng c p cÒa trÔng sinh l«n 2	ExpAdd2	ßi”m ti“m n®ng cÒa trÔng sinh l«n 2	CustomConsumeName2	EXP th®ng c p_PhÙc sinh 3	ExpAdd3	ßi”m ti“m n®ng_PhÙc sinh 3	CustomConsumeName3	Kinh nghi÷m t®ng c p nh©n vÀt phÙc sinh 4	ExpAdd4	ßi”m ti“m n®ng phÙc sinh 4	CustomConsumeName4	Kinh nghi÷m t®ng c p nh©n vÀt Chuy”n Sinh 5	ExpAdd5	Ti“m n®ng Chuy”n Sinh 5	CustomConsumeName5
1	0		0		0		0		0		0		0		0		0		0		0		0	
2	10		3		20		3		30		3		30		3		30		3		30		3	
3	20		3		40		3		60		3		60		3		60		3		60		3	
4	40		3		80		3		120		3		120		3		120		3		120		3	
5	80		3		160		3		240		3		240		3		240		3		240		3	
6	140		3		280		3		420		3		420		3		420		3		420		3	
7	245		3		490		3		735		3		735		3		735		3		735		3	
8	429		3		858		3		1287		3		1287		3		1287		3		1287		3	
9	643		3		1286		3		1929		3		1929		3		1929		3		1929		3	
10	965		4		1930		4		2895		4		2895		4		2895		4		2895		4	
11	1302		4		2604		4		3906		4		3906		4		3906		4		3906		4	
12	1758		4		3516		4		5274		4		5274		4		5274		4		5274		4	
13	2373		4		4746		4		7119		4		7119		4		7119		4		7119		4	
14	3086		4		6172		4		9258		4		9258		4		9258		4		9258		4	
15	3857		4		7714		4		11571		4		11571		4		11571		4		11571		4	
16	4725		4		9450		4		14175		4		14175		4		14175		4		14175		4	
17	5670		4		11340		4		17010		4		17010		4		17010		4		17010		4	
18	6662		4		13324		4		19986		4		19986		4		19986		4		19986		4	
19	7661		4		15322		4		22983		4		22983		4		22983		4		22983		4	
20	8695		5		17390		5		26085		5		26085		5		26085		5		26085		5	
21	9782		5		19564		5		29346		5		29346		5		29346		5		29346		5	
22	11005		5		22010		5		33015		5		33015		5		33015		5		33015		5	
23	12381		5		24762		5		37143		5		37143		5		37143		5		37143		5	
24	13928		5		27856		5		41784		5		41784		5		41784		5		41784		5	
25	15669		5		31338		5		47007		5		47007		5		47007		5		47007		5	
26	17628		5		35256		5		52884		5		52884		5		52884		5		52884		5	
27	19832		5		39664		5		59496		5		59496		5		59496		5		59496		5	
28	22311		5		44622		5		66933		5		66933		5		66933		5		66933		5	
29	25099		5		50198		5		75297		5		75297		5		75297		5		75297		5	
30	28237		6		56474		6		84711		6		84711		6		84711		6		84711		6	
31	32049		6		64098		6		96147		6		96147		6		96147		6		96147		6	
32	36375		6		72750		6		109125		6		109125		6		109125		6		109125		6	
33	41286		6		82572		6		123858		6		123858		6		123858		6		123858		6	
34	46860		6		93720		6		140580		6		140580		6		140580		6		140580		6	
35	53186		6		106372		6		159558		6		159558		6		159558		6		159558		6	
36	60366		6		120732		6		181098		6		181098		6		181098		6		181098		6	
37	68515		6		137030		6		205545		6		205545		6		205545		6		205545		6	
38	77765		6		155530		6		233295		6		233295		6		233295		6		233295		6	
39	88263		6		176526		6		264789		6		264789		6		264789		6		264789		6	
40	100178		7		200356		7		300534		7		300534		7		300534		7		300534		7	
41	117710		7		235420		7		353130		7		353130		7		353130		7		353130		7	
42	138309		7		276618		7		414927		7		414927		7		414927		7		414927		7	
43	162513		7		325026		7		487539		7		487539		7		487539		7		487539		7	
44	190953		7		381906		7		572859		7		572859		7		572859		7		572859		7	
45	224369		7		448738		7		673107		7		673107		7		673107		7		673107		7	
46	263634		7		527268		7		790902		7		790902		7		790902		7		790902		7	
47	309770		7		619540		7		929310		7		929310		7		929310		7		929310		7	
48	363980		7		727960		7		1091940		7		1091940		7		1091940		7		1091940		7	
49	427676		7		855352		7		1283028		7		1283028		7		1283028		7		1283028		7	
50	502519		8		1005038		8		1507557		8		1507557		8		1507557		8		1507557		8	
51	585435		8		1170870		8		1756305		8		1756305		8		1756305		8		1756305		8	
52	682032		8		1364064		8		2046096		8		2046096		8		2046096		8		2046096		8	
